TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L113,0,E,11.39,I,5.05,0.07,02/12/2022,1,1010.0,0.389,0.9373,0.0338,-0.0075,-0.0015,1.1568
L118,0,E,11.89,I,,,,,,,,,,,
L123,0,E,12.39,I,3.37,0.037,18/11/2022,2,10310.0,,,,,,
L128,0,E,12.89,I,3.21,0.019,07/12/2022,2,25014.0,,,,,,
L133,0,E,13.39,I,2.54,-0.08,07/12/2022,1,508.0,,,,,,
L136,0,A,13.64,I,2.4,0.017,07/12/2022,3,23220.0,,,,,,
L138,0,E,13.89,I,2.2,0.0,07/12/2022,3,14910.0,,,,,,
L141,0,A,14.14,I,1.92,-0.059,07/12/2022,3,26968.0,,,,,,
L143,0,E,14.39,I,1.69,-0.045,07/12/2022,5,9935.0,,,,,,
L146,0,A,14.64,I,1.43,-0.014,07/12/2022,12,369120.0,0.403,0.902,0.1416,-0.0188,-0.0131,0.5238
L154,0,E,14.89,I,1.2,0.008,07/12/2022,13,23191.0,0.255,0.8328,0.2269,-0.0138,-0.0115,1.0815
L151,0,A,15.14,I,0.98,0.021,07/12/2022,21,56283.0,0.251,0.7994,0.2899,-0.0154,-0.0158,1.0797
L160,0,E,15.39,I,0.77,-0.013,07/12/2022,27,30750.0,0.281,0.7404,0.4739,-0.0246,-0.0319,0.7882
L161,1,A,15.64,I,0.55,-0.018,07/12/2022,134,190236.0,0.265,0.6132,0.5947,-0.0256,-0.0466,0.9308
L158,0,E,15.89,A,0.39,-0.025,07/12/2022,159,308272.0,0.259,0.4588,0.6295,-0.0247,-0.0633,0.965
L159,1,A,16.14,A,0.25,-0.038,07/12/2022,191,159597.0,0.254,0.3182,0.5771,-0.0211,-0.0842,0.8687
L163,0,E,16.39,O,0.15,0.0,07/12/2022,62,59298.0,0.254,0.1937,0.4439,-0.0158,-0.1052,0.6686
L166,1,A,16.64,O,0.09,-0.1,07/12/2022,137,27636.0,0.254,0.1175,0.3182,-0.0112,-0.1241,0.4812
L168,0,E,16.89,O,0.04,-0.2,07/12/2022,36,7233.0,0.267,0.0703,0.2066,-0.0079,-0.1978,0.3289
L171,1,A,17.14,O,0.03,0.5,07/12/2022,36,2778.0,0.29,0.0364,0.1131,-0.005,-0.1663,0.1938
L173,0,E,17.39,O,0.02,0.0,07/12/2022,3,50.0,,,,,,
L176,0,A,17.64,O,0.01,0.0,07/12/2022,5,17.0,0.258,0.0331,0.0944,-0.0035,-0.3491,0.2236
L178,0,E,17.89,O,0.01,-0.5,06/12/2022,1,2.0,0.321,0.0499,0.1055,-0.006,-0.6013,0.313
L181,0,A,18.14,O,0.02,1.0,07/12/2022,2,553.0,0.285,0.0362,0.0744,-0.0033,-0.1672,0.2984
L183,0,E,18.39,O,0.02,0.0,02/12/2022,3,26.0,0.292,0.0342,0.0667,-0.0032,-0.1584,0.2958
L186,0,A,18.64,O,0.01,0.0,01/12/2022,1,12000.0,0.291,0.0332,0.0627,-0.003,-0.3009,0.3001
L188,0,E,18.89,O,0.01,0.0,24/11/2022,1,100.0,0.325,0.0292,0.0485,-0.0028,-0.2782,0.2811
L193,0,E,19.39,O,0.02,1.0,25/11/2022,1,10.0,0.38,0.0251,0.0362,-0.0027,-0.1357,0.2509
L201,0,A,19.64,O,0.02,0.0,11/11/2022,2,40.0,,,,,,
L198,0,E,19.89,O,0.01,0.0,25/11/2022,1,4.0,0.342,0.0318,0.0428,-0.0029,-0.2852,0.3475
L203,0,E,20.39,O,0.01,-0.667,14/11/2022,2,21.0,0.401,0.0283,0.0337,-0.0029,-0.2941,0.3108
L211,0,A,20.64,O,0.01,-0.975,31/10/2022,3,3.0,0.343,0.0214,0.0262,-0.0017,-0.1653,0.2937
L214,0,E,20.89,O,0.13,5.5,20/10/2022,1,1300.0,,,,,,
L213,0,E,21.39,O,0.01,-0.5,23/11/2022,1,4.0,,,,,,
L218,0,E,21.89,O,0.01,-0.5,22/11/2022,1,5.0,0.419,0.0186,0.0195,-0.0018,-0.1805,0.2526
