TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B900,0,A,9.0,I,,,,,,,,,,,
B940,0,A,9.4,I,,,,,,,,,,,
B98,0,A,9.8,I,,,,,,,,,,,
B105,0,A,10.5,I,,,,,,,,,,,
B115,0,A,11.5,I,,,,,,,,,,,
B125,0,A,12.5,I,,,,,,,,,,,
B135,0,A,13.5,I,,,,,,,,,,,
B145,0,A,14.5,I,,,,,,,,,,,
B150,0,A,15.0,I,,,,,,,,,,,
B155,0,A,15.5,I,,,,,,,,,,,
B160,0,A,16.0,I,2.06,,13/01/2023,1,206000.0,,,,,,
B165,0,A,16.5,I,,,,,,,,,,,
B170,1,A,17.0,I,1.13,0.076,24/01/2023,12,62973.0,0.352,0.7672,0.1865,-0.0215,-0.019,1.4236
B175,1,A,17.5,A,0.74,-0.14,23/01/2023,17,14752.0,0.342,0.6634,0.2289,-0.0231,-0.0312,1.6997
B180,1,A,18.0,A,0.5,0.0,24/01/2023,3,145.0,0.332,0.542,0.2563,-0.023,-0.046,1.8476
B182,0,E,18.25,O,0.43,0.024,24/01/2023,1,86.0,0.337,0.4994,0.253,-0.0231,-0.0537,1.8662
B185,1,A,18.5,O,0.4,0.212,24/01/2023,6,3792.0,0.33,0.4152,0.2539,-0.0214,-0.0536,1.8157
B187,0,E,18.75,O,0.28,0.12,24/01/2023,2,56.0,0.33,0.2874,0.2255,-0.0178,-0.0635,1.5618
B190,1,A,19.0,O,0.22,0.0,24/01/2023,5,2772.0,0.327,0.2979,0.2275,-0.0183,-0.0832,1.6141
B192,0,E,19.25,O,0.18,0.125,24/01/2023,1,36.0,0.328,0.2472,0.2071,-0.0165,-0.0915,1.471
B195,0,A,19.5,O,0.13,-0.071,24/01/2023,3,1386.0,0.327,0.2106,0.1891,-0.0149,-0.1149,1.3483
B197,0,E,19.75,O,0.08,-0.6,24/01/2023,2,206.0,0.343,0.1844,0.1662,-0.0143,-0.1786,1.2448
B200,0,A,20.0,O,0.09,0.125,24/01/2023,4,119.0,0.332,0.1435,0.1457,-0.0117,-0.1299,1.0589
B205,0,A,20.5,O,0.07,-0.417,24/01/2023,3,38.0,0.387,0.1018,0.097,-0.01,-0.1427,0.841
B210,0,A,21.0,O,0.07,0.0,20/01/2023,1,21.0,0.403,0.1784,0.1105,-0.0135,-0.1929,1.527
B220,0,A,22.0,O,,,,,,,,,,,
B225,0,A,22.5,O,,,,,,,,,,,
B235,0,A,23.5,O,,,,,,,,,,,
B245,0,A,24.5,O,,,,,,,,,,,
B255,0,A,25.5,O,,,,,,,,,,,
B265,0,A,26.5,O,,,,,,,,,,,
B275,0,A,27.5,O,,,,,,,,,,,
B285,0,A,28.5,O,,,,,,,,,,,
B295,0,A,29.5,O,,,,,,,,,,,
B312,0,E,31.25,O,,,,,,,,,,,
