TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B623,0,A,62.37,I,,,,,,,,,,,
B633,0,A,63.37,I,,,,,,,,,,,
B643,0,A,64.37,I,,,,,,,,,,,
B653,0,A,65.37,I,,,,,,,,,,,
B663,0,A,66.37,I,,,,,,,,,,,
B673,0,A,67.37,I,,,,,,,,,,,
B683,0,A,68.37,I,,,,,,,,,,,
B693,0,A,69.37,I,,,,,,,,,,,
B703,0,A,70.37,I,,,,,,,,,,,
B713,0,A,71.37,I,4.89,,04/01/2023,1,5379.0,0.431,0.6711,0.0323,-0.0889,-0.0182,9.4092
B730,0,A,72.37,I,,,,,,0.428,0.6376,0.0336,-0.0899,,9.7558
B740,0,A,73.37,I,7.38,0.067,11/01/2023,1,22140.0,0.385,0.7424,0.0329,-0.0863,-0.0117,8.2274
B750,0,A,74.37,I,6.61,0.082,11/01/2023,5,5421.0,0.383,0.7076,0.0352,-0.0886,-0.0134,8.7575
B760,0,A,75.37,I,6.53,0.216,11/01/2023,2,2470.0,0.38,0.7134,0.0347,-0.089,-0.0136,8.807
B770,0,A,76.37,I,5.56,0.236,11/01/2023,5,7982.0,0.373,0.681,0.037,-0.09,-0.0162,9.2483
B780,0,A,77.37,I,5.69,0.193,17/01/2023,3,1726.0,0.357,0.6912,0.0407,-0.0934,-0.0164,8.5294
B790,0,A,78.37,I,6.72,0.925,23/01/2023,1,672.0,0.365,0.6426,0.0422,-0.0971,-0.0144,9.0289
B800,0,A,79.37,I,4.46,-0.022,18/01/2023,3,6990.0,0.358,0.6873,0.0417,-0.0994,-0.0223,8.3923
B810,0,A,80.37,I,4.42,-0.121,24/01/2023,1,3978.0,0.333,0.6913,0.0478,-0.1007,-0.0228,7.7992
B820,1,A,81.37,I,5.32,0.438,25/01/2023,2,4662.0,0.326,0.7345,0.0458,-0.1001,-0.0188,7.2133
B830,1,A,82.37,I,3.69,-0.051,24/01/2023,1,3690.0,0.34,0.6412,0.0504,-0.1085,-0.0294,8.1458
B833,1,A,83.37,A,4.25,0.3,25/01/2023,2,2490.0,0.323,0.6334,0.0529,-0.1058,-0.0249,8.2808
B843,1,A,84.37,A,3.36,0.268,25/01/2023,4,22931.0,0.318,0.5343,0.0573,-0.104,-0.031,8.6615
B853,1,A,85.37,A,2.84,0.262,25/01/2023,2,1850.0,,,,,,
B863,0,A,86.37,O,,,,,,,,,,,
B873,0,A,87.37,O,2.0,0.176,25/01/2023,2,970.0,,,,,,
B883,0,A,88.37,O,1.5,0.128,25/01/2023,2,4950.0,,,,,,
B893,0,A,89.37,O,1.16,0.933,18/01/2023,1,1624.0,,,,,,
B903,0,A,90.37,O,,,,,,,,,,,
B913,0,A,91.37,O,,,,,,,,,,,
B923,0,A,92.37,O,0.63,,25/01/2023,1,126.0,,,,,,
B990,0,A,98.37,O,1.4,,06/12/2022,1,1680.0,,,,,,
