TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B593,0,A,5.86,I,7.36,0.041,02/02/2023,1,7360.0,,,,,,
B613,0,A,6.06,I,,,,,,,,,,,
B633,0,A,6.26,I,,,,,,,,,,,
B653,0,A,6.46,I,,,,,,,,,,,
B673,0,A,6.66,I,,,,,,,,,,,
B700,0,A,6.86,I,,,,,,,,,,,
B720,0,A,7.06,I,,,,,,,,,,,
B740,0,A,7.26,I,,,,,,,,,,,
B760,0,A,7.46,I,,,,,,,,,,,
B780,0,A,7.66,I,,,,,,,,,,,
B800,0,A,7.86,I,5.05,0.014,31/01/2023,1,5050.0,,,,,,
B820,0,A,8.06,I,,,,,,,,,,,
B840,0,A,8.26,I,,,,,,,,,,,
B860,0,A,8.46,I,,,,,,,,,,,
B880,0,A,8.66,I,,,,,,,,,,,
B900,0,A,8.86,I,3.96,,19/01/2023,1,25344.0,,,,,,
B920,0,A,9.06,I,4.2,,18/01/2023,1,97440.0,,,,,,
B940,0,A,9.26,I,,,,,,,,,,,
B960,0,A,9.46,I,,,,,,,,,,,
B980,0,A,9.66,I,,,,,,,,,,,
B100,0,A,9.86,I,,,,,,,,,,,
B102,0,E,10.11,I,2.93,0.149,02/02/2023,1,1758.0,0.51,0.9753,0.034,-0.0082,-0.0028,0.1939
B105,0,A,10.36,I,,,,,,,,,,,
B107,0,E,10.61,I,2.5,-0.101,25/01/2023,1,250.0,,,,,,
B110,0,A,10.86,I,2.3,0.307,25/01/2023,2,4430.0,0.484,0.7525,0.1318,-0.0128,-0.0056,1.5661
B112,0,E,11.11,I,2.2,0.048,02/02/2023,1,12100.0,0.42,0.9599,0.0619,-0.0095,-0.0043,0.2866
B115,0,A,11.36,I,1.96,0.0,31/01/2023,1,196.0,0.549,0.7175,0.1432,-0.0168,-0.0086,1.4524
B117,0,E,11.61,I,1.44,0.059,30/01/2023,1,10080.0,0.446,0.8495,0.1566,-0.0154,-0.0107,0.7818
B120,0,A,11.86,I,1.22,0.13,02/02/2023,4,3318.0,0.525,0.8193,0.1137,-0.0162,-0.0133,1.1599
B122,0,E,12.11,I,1.15,0.337,02/02/2023,1,6900.0,0.401,0.8657,0.1963,-0.0164,-0.0143,0.5949
B125,0,A,12.36,I,0.85,0.288,02/02/2023,6,3370.0,0.432,0.7004,0.2754,-0.0213,-0.0251,1.0149
B127,0,E,12.61,I,0.65,-0.044,02/02/2023,8,2772.0,0.426,0.6504,0.3081,-0.0227,-0.035,1.0446
B130,1,A,12.86,A,0.57,0.036,02/02/2023,182,336011.0,0.406,0.6022,0.3494,-0.0233,-0.0409,1.0494
B131,0,E,13.11,A,0.44,0.023,02/02/2023,104,103322.0,0.402,0.5125,0.365,-0.0232,-0.0527,1.0847
B134,1,A,13.36,O,0.31,0.0,02/02/2023,137,172987.0,0.4,0.4226,0.3601,-0.0222,-0.0715,1.0647
B136,0,E,13.61,O,0.2,-0.13,02/02/2023,53,40656.0,0.4,0.3349,0.3354,-0.0202,-0.1012,0.9901
B139,1,A,13.86,O,0.16,0.0,02/02/2023,148,153728.0,0.393,0.2527,0.2994,-0.0172,-0.1076,0.868
B144,1,A,14.36,O,0.08,0.0,02/02/2023,63,11414.0,0.4,0.1405,0.2056,-0.012,-0.1496,0.6061
B147,0,E,14.61,O,0.05,-0.167,02/02/2023,18,1159.0,0.397,0.101,0.1638,-0.0094,-0.1873,0.481
B149,0,A,14.86,O,0.03,-0.25,02/02/2023,48,4432.0,0.422,0.0716,0.1197,-0.0076,-0.2525,0.3691
B151,0,E,15.11,O,0.03,0.5,02/02/2023,5,423.0,0.431,0.0526,0.0923,-0.006,-0.2012,0.2901
B154,0,A,15.36,O,0.03,2.0,02/02/2023,10,614.0,0.426,0.0342,0.0659,-0.0042,-0.1402,0.205
B159,0,A,15.86,O,0.02,0.0,02/02/2023,7,702.0,0.506,0.0377,0.0598,-0.0054,-0.2694,0.223
B164,0,A,16.36,O,0.01,0.0,02/02/2023,1,500.0,0.512,0.0286,0.0463,-0.0044,-0.4395,0.1802
B169,0,A,16.86,O,0.01,0.0,30/01/2023,2,16.0,0.582,0.0242,0.0328,-0.0037,-0.3683,0.1694
B171,0,E,17.11,O,0.01,-0.667,31/01/2023,1,10.0,0.525,0.0236,0.0313,-0.0029,-0.2914,0.1891
