TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A223,0,E,22.1,I,12.7,0.403,23/12/2022,3,12718.0,,,,,,
A233,0,E,23.1,I,11.72,,23/12/2022,2,11730.0,,,,,,
A243,0,E,24.1,I,10.76,,23/12/2022,2,7535.0,,,,,,
A253,0,E,25.1,I,9.76,0.266,23/12/2022,2,9770.0,,,,,,
A263,0,E,26.1,I,8.8,0.312,23/12/2022,3,15153.0,,,,,,
A273,0,E,27.1,I,8.48,0.213,23/12/2022,32,260992.0,0.497,0.9803,0.0103,-0.0204,-0.0024,0.4472
A310,0,A,27.35,I,8.2,0.049,26/12/2022,2,16390.0,0.497,0.9766,0.0119,-0.0214,-0.0026,0.5169
A315,0,A,27.85,I,7.6,0.121,23/12/2022,5,8609.0,0.513,0.9637,0.0166,-0.0249,-0.0033,0.7439
A320,0,A,28.35,I,7.22,0.054,26/12/2022,1,7220.0,0.498,0.9561,0.02,-0.0264,-0.0037,0.8674
A325,0,A,28.85,I,6.21,0.067,23/12/2022,4,6784.0,0.472,0.9516,0.0228,-0.0269,-0.0043,0.9391
A301,0,E,29.1,I,6.4,0.147,23/12/2022,9,37921.0,0.458,0.9491,0.0245,-0.0271,-0.0042,0.9768
A330,0,A,29.35,I,6.25,0.063,26/12/2022,1,6250.0,0.453,0.943,0.027,-0.0282,-0.0045,1.0688
A335,0,A,29.85,I,5.77,0.125,26/12/2022,1,5770.0,0.437,0.9319,0.0322,-0.0297,-0.0051,1.2277
A340,0,A,30.35,I,5.4,0.222,23/12/2022,5,10185.0,0.421,0.9181,0.0385,-0.0313,-0.0058,1.4122
A345,0,A,30.85,I,4.5,0.0,26/12/2022,2,7070.0,0.408,0.9002,0.046,-0.0332,-0.0074,1.6356
A35,0,A,31.35,I,4.01,0.0,26/12/2022,1,401.0,0.391,0.881,0.0544,-0.0347,-0.0087,1.8567
A355,0,A,31.85,I,3.85,-0.025,26/12/2022,9,53239.0,0.372,0.8601,0.0641,-0.0359,-0.0093,2.0779
A360,0,A,32.35,I,3.32,0.107,26/12/2022,12,6757.0,0.359,0.8298,0.0756,-0.0376,-0.0113,2.3646
A365,0,A,32.85,I,2.8,-0.119,26/12/2022,11,10645.0,0.352,0.7901,0.0876,-0.0398,-0.0142,2.6903
A341,0,E,33.1,I,2.95,-0.072,26/12/2022,14,10824.0,0.347,0.769,0.0939,-0.0406,-0.0138,2.8424
A370,0,A,33.35,I,2.33,-0.131,26/12/2022,7,1752.0,0.346,0.743,0.0998,-0.0418,-0.0179,3.0097
A374,0,E,33.6,I,2.5,0.025,26/12/2022,13,35070.0,0.343,0.7208,0.1048,-0.0425,-0.017,3.1407
A376,0,A,33.85,I,2.44,0.094,26/12/2022,20,84345.0,0.347,0.7313,0.1007,-0.0428,-0.0175,3.1151
A380,1,A,34.35,I,1.97,0.031,26/12/2022,166,1407859.0,0.338,0.6689,0.1139,-0.0439,-0.0223,3.4152
A36,1,A,34.85,A,1.63,0.0,26/12/2022,147,1247795.0,0.334,0.6101,0.1221,-0.0443,-0.0272,3.6134
A351,0,E,35.1,A,1.46,0.0,26/12/2022,20,81652.0,0.335,0.5899,0.1228,-0.0447,-0.0306,3.6709
A364,1,A,35.35,A,1.35,0.0,26/12/2022,156,1233444.0,0.328,0.5479,0.1281,-0.0438,-0.0324,3.7303
A400,1,A,35.85,A,1.09,0.009,26/12/2022,243,1389746.0,0.326,0.4825,0.1297,-0.0427,-0.0392,3.7527
A38,0,E,36.1,O,0.98,0.01,26/12/2022,75,221380.0,0.324,0.449,0.1297,-0.0416,-0.0425,3.7245
A375,1,A,36.35,O,0.88,0.023,26/12/2022,225,1159813.0,0.323,0.4184,0.1286,-0.0405,-0.046,3.6775
A366,0,E,36.6,O,0.83,0.137,26/12/2022,29,34188.0,0.322,0.4014,0.1271,-0.04,-0.0482,3.6523
A410,0,A,36.85,O,0.69,0.015,26/12/2022,110,178644.0,0.32,0.3579,0.1237,-0.0378,-0.0548,3.5163
A397,0,A,37.85,O,0.42,0.024,26/12/2022,92,99648.0,0.317,0.2446,0.1052,-0.0305,-0.0727,2.9567
A383,0,E,38.1,O,0.36,0.091,26/12/2022,44,41427.0,0.316,0.222,0.1,-0.0287,-0.0797,2.8033
A402,0,A,38.35,O,0.32,0.067,26/12/2022,44,145768.0,0.313,0.2013,0.0951,-0.0268,-0.0837,2.6502
A396,0,E,38.6,O,0.28,0.037,26/12/2022,51,46859.0,0.319,0.1814,0.0877,-0.0254,-0.0905,2.4836
A412,0,A,39.35,O,0.2,0.176,26/12/2022,17,11321.0,0.323,0.1296,0.0695,-0.0202,-0.101,1.9871
A415,0,E,39.6,O,0.16,0.067,26/12/2022,50,83237.0,0.322,0.1155,0.0642,-0.0185,-0.1159,1.8343
A408,0,A,39.85,O,0.15,0.154,26/12/2022,14,1650.0,0.324,0.1033,0.0589,-0.0171,-0.1143,1.6928
A418,0,A,40.85,O,0.1,0.25,26/12/2022,12,2203.0,0.335,0.0672,0.0412,-0.0126,-0.1265,1.2246
A426,0,E,41.6,O,0.06,0.0,26/12/2022,14,3391.0,0.346,0.0495,0.0314,-0.0102,-0.1693,0.9629
