TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B994,0,A,9.94,I,,,,,,,,,,,
B101,0,E,10.19,I,,,,,,,,,,,
B83,0,A,10.44,I,,,,,,,,,,,
B95,0,E,10.69,I,4.18,,19/01/2023,5,2087.0,,,,,,
B85,0,A,10.94,I,,,,,,,,,,,
B11,0,E,11.19,I,,,,,,,,,,,
B91,0,A,11.44,I,3.5,,19/01/2023,1,9100.0,,,,,,
B106,0,E,11.69,I,3.24,,19/01/2023,1,19440.0,,,,,,
B119,0,A,11.94,I,2.4,0.004,24/01/2023,3,1432.0,0.42,0.9551,0.0613,-0.0104,-0.0043,0.3478
B12,0,E,12.19,I,2.18,,23/01/2023,22,9247.0,0.4,0.9427,0.0783,-0.0111,-0.0051,0.4225
B13,0,A,12.44,I,1.91,0.073,24/01/2023,1,191.0,0.384,0.9241,0.1012,-0.012,-0.0063,0.5252
B135,0,A,12.94,I,1.55,0.069,24/01/2023,41,23730.0,0.352,0.8665,0.1669,-0.0141,-0.0091,0.7909
B136,0,E,13.19,I,1.25,0.033,24/01/2023,9,12290.0,0.367,0.8092,0.2019,-0.0164,-0.0131,0.9993
B138,0,A,13.44,I,1.05,0.04,24/01/2023,11,34685.0,0.35,0.7348,0.2565,-0.0174,-0.0166,1.1948
B128,0,E,13.69,I,0.87,0.087,24/01/2023,50,282837.0,0.343,0.6984,0.2765,-0.0179,-0.0205,1.281
B143,1,A,13.94,A,0.74,0.139,24/01/2023,121,139259.0,0.341,0.6217,0.3038,-0.0184,-0.0249,1.3964
B146,0,E,14.19,A,0.53,-0.036,24/01/2023,331,980526.0,0.334,0.5436,0.3229,-0.0182,-0.0344,1.4564
B148,1,A,14.44,A,0.47,0.068,24/01/2023,381,551508.0,0.328,0.4589,0.3295,-0.0174,-0.037,1.4563
B130,0,E,14.69,O,0.33,-0.029,24/01/2023,168,361335.0,0.33,0.3876,0.3156,-0.0165,-0.05,1.4076
B141,1,A,14.94,O,0.28,0.0,24/01/2023,246,252859.0,0.334,0.3115,0.2881,-0.015,-0.0537,1.2975
B155,0,E,15.19,O,0.2,0.0,24/01/2023,545,680936.0,0.34,0.2517,0.2553,-0.0136,-0.0678,1.1704
B159,1,A,15.44,O,0.15,-0.062,24/01/2023,528,269549.0,0.338,0.1966,0.2236,-0.0115,-0.077,1.0177
B161,0,E,15.69,O,0.11,0.1,24/01/2023,136,85382.0,0.347,0.15,0.1833,-0.0098,-0.0893,0.8539
B153,1,A,15.94,O,0.08,0.0,24/01/2023,177,33354.0,0.345,0.1172,0.1553,-0.0082,-0.1025,0.7227
B156,0,E,16.19,O,0.05,-0.286,24/01/2023,166,50928.0,0.364,0.0989,0.1304,-0.0076,-0.1515,0.6396
B168,0,A,16.44,O,0.06,0.2,24/01/2023,85,14463.0,0.365,0.0702,0.1007,-0.0058,-0.0968,0.4927
B145,0,E,16.69,O,0.04,-0.2,24/01/2023,61,16004.0,0.394,0.0659,0.0889,-0.0059,-0.148,0.4693
B165,0,A,16.94,O,0.03,0.0,24/01/2023,30,3181.0,0.396,0.0511,0.0722,-0.0049,-0.1619,0.3844
B176,0,E,17.19,O,0.03,0.5,24/01/2023,7,398.0,0.394,0.0436,0.0635,-0.0043,-0.1429,0.3415
B171,0,A,17.44,O,0.02,0.0,24/01/2023,28,715.0,0.374,0.0204,0.0359,-0.0021,-0.1066,0.1802
B163,0,E,17.69,O,0.02,0.0,24/01/2023,5,48.0,,,,,,
B210,0,A,17.94,O,0.02,0.0,24/01/2023,13,322.04,0.412,0.0187,0.0302,-0.0022,-0.1088,0.1679
B181,0,E,18.19,O,0.01,-0.5,24/01/2023,3,252.0,,,,,,
B173,0,A,18.44,O,0.02,1.0,24/01/2023,18,47.0,0.492,0.0233,0.0307,-0.0031,-0.1544,0.2014
B216,0,A,18.85,O,0.01,-0.5,24/01/2023,4,9.76,0.445,0.0236,0.0314,-0.0028,-0.2782,0.2222
B166,0,E,19.1,O,0.01,-0.5,18/01/2023,1,1.0,,,,,,
B191,0,A,19.35,O,0.01,0.0,23/01/2023,2,50.0,0.427,0.0223,0.0281,-0.0023,-0.2348,0.2344
B193,0,E,19.6,O,0.02,1.0,23/01/2023,1,70.0,0.424,0.0224,0.0284,-0.0024,-0.1221,0.2351
B204,0,A,19.85,O,0.02,1.0,18/01/2023,38,570.0,0.46,0.0209,0.0247,-0.0024,-0.1189,0.222
B208,0,E,20.21,O,0.02,1.0,18/01/2023,1,10.0,0.451,0.0259,0.0283,-0.0028,-0.1382,0.284
B211,0,E,20.71,O,0.01,-0.5,02/01/2023,1,18.0,0.439,0.02,0.0227,-0.0021,-0.2147,0.2355
B215,0,A,20.96,O,0.01,0.0,11/01/2023,3,1250.0,0.44,0.0196,0.0218,-0.0021,-0.2086,0.237
B221,0,E,21.71,O,0.01,0.0,18/01/2023,6,1398.0,0.589,0.0173,0.0168,-0.0026,-0.2605,0.185
B231,0,A,22.46,O,0.01,-0.5,27/12/2022,1,800.0,0.505,0.0159,0.0141,-0.0016,-0.1638,0.2227
B262,0,E,22.71,O,0.01,0.0,18/01/2023,1,6.0,0.515,0.0155,0.0136,-0.0016,-0.1635,0.2183
B265,0,A,22.94,O,0.01,0.0,27/12/2022,3,1500.0,0.525,0.0154,0.0132,-0.0016,-0.1649,0.2164
B23,0,E,23.19,O,,,,,,,,,,,
B234,0,A,23.44,O,0.01,,13/01/2023,3,1500.0,,,,,,
B236,0,E,23.69,O,,,,,,,,,,,
B263,0,A,25.94,O,0.01,0.0,27/12/2022,2,1600.0,0.582,0.0132,0.0098,-0.0016,-0.1613,0.2024
B274,0,A,26.94,O,0.01,0.0,27/12/2022,4,3200.0,0.616,0.0126,0.0089,-0.0016,-0.1631,0.1943
