TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H721,0,A,7.21,I,,,,,,,,,,,
H761,0,A,7.61,I,,,,,,,,,,,
H801,0,A,8.01,I,,,,,,,,,,,
H841,0,A,8.41,I,,,,,,,,,,,
H881,0,A,8.81,I,,,,,,,,,,,
H921,0,A,9.21,I,,,,,,,,,,,
H961,0,A,9.61,I,,,,,,,,,,,
H991,0,A,9.91,I,3.32,-0.018,03/08/2022,1,10956.0,,,,,,
H110,0,A,10.66,I,2.8,0.049,08/08/2022,1,1960.0,,,,,,
H111,0,A,11.16,I,2.53,0.304,08/08/2022,2,3611.0,,,,,,
H116,0,A,11.66,I,1.63,-0.181,18/07/2022,2,813.0,,,,,,
H121,0,A,12.16,I,1.08,-0.188,05/08/2022,2,21500.0,0.422,0.8233,0.2365,-0.0195,-0.0181,0.6732
H130,1,A,12.66,I,0.92,0.314,08/08/2022,3,917.0,0.444,0.8363,0.2157,-0.0213,-0.0232,0.636
H13,1,A,13.16,I,0.73,0.921,08/08/2022,8,4483.0,0.46,0.6867,0.2994,-0.028,-0.0384,0.9115
H136,1,A,13.66,A,0.4,1.0,08/08/2022,10,3765.0,0.455,0.5263,0.34,-0.0295,-0.0737,1.0246
H140,1,A,14.16,O,0.25,0.786,08/08/2022,8,5735.0,0.473,0.3655,0.3092,-0.028,-0.112,0.9672
H146,1,A,14.66,O,0.13,2.25,08/08/2022,4,941.0,0.474,0.1831,0.2209,-0.019,-0.1462,0.6717
H155,0,A,15.16,O,0.03,-0.25,05/08/2022,3,102.0,0.512,0.0619,0.0899,-0.008,-0.2667,0.3243
H15,0,A,15.66,O,0.02,-0.667,04/08/2022,1,20.0,0.46,0.0586,0.0805,-0.006,-0.3,0.3694
H161,0,A,16.16,O,0.02,-0.6,01/08/2022,2,6.0,0.377,0.1459,0.1358,-0.0084,-0.42,1.0241
H171,0,A,17.16,O,0.02,-0.333,27/07/2022,1,300.0,0.69,0.023,0.0298,-0.0047,-0.235,0.144
H181,0,A,18.16,O,0.01,-0.8,15/07/2022,2,3.0,0.373,0.0596,0.0576,-0.0035,-0.35,0.6529
H191,0,A,19.16,O,0.02,0.0,11/07/2022,4,10.0,0.393,0.0368,0.0374,-0.0025,-0.125,0.4417
H201,0,A,20.16,O,0.01,-0.5,29/06/2022,2,3.0,0.43,0.0191,0.0203,-0.0016,-0.16,0.2468
H211,0,A,21.16,O,,,,,,,,,,,
H221,0,A,22.16,O,,,,,,,,,,,
H231,0,A,23.16,O,0.02,1.0,04/08/2022,1,210.0,1.27,0.0179,0.013,-0.0069,-0.345,0.1169
