TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
K680,0,A,6.8,I,0.71,0.164,14/10/2022,1,71.0,,,,,,
K700,0,A,7.0,I,,,,,,,,,,,
K720,0,A,7.2,I,0.44,,10/10/2022,1,10560.0,0.585,0.4865,0.3062,-0.0116,-0.0263,0.8875
K740,0,A,7.4,I,,,,,,,,,,,
K760,0,A,7.6,A,,,,,,,,,,,
K780,0,A,7.8,O,,,,,,,,,,,
K800,0,A,8.0,O,,,,,,,,,,,
K820,0,A,8.2,O,,,,,,,,,,,
K840,0,A,8.4,O,,,,,,,,,,,
K860,0,A,8.6,O,,,,,,,,,,,
K880,0,A,8.8,O,0.25,,15/09/2022,1,3750.0,,,,,,
K930,0,E,9.3,O,0.15,-0.694,20/10/2022,1,135.0,,,,,,
