TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B755,0,E,60.0,I,,,,,,,,,,,
B765,0,E,65.0,I,,,,,,,,,,,
B740,0,E,70.0,I,,,,,,,,,,,
B745,0,E,72.0,I,,,,,,,,,,,
B750,0,E,75.0,I,34.5,0.0,23/01/2023,1,34.5,,,,,,
B760,0,E,76.0,I,,,,,,,,,,,
B770,0,E,77.0,I,,,,,,,,,,,
B780,0,E,78.0,I,29.45,0.171,17/01/2023,3,4365.84,,,,,,
B790,0,E,79.0,I,29.88,,20/01/2023,106,2749293.47,,,,,,
B800,0,E,80.0,I,28.91,-0.02,23/01/2023,3,5247.28,0.672,0.9598,0.0041,-0.084,-0.0029,2.7189
B810,0,E,81.0,I,28.06,-0.029,20/01/2023,2,125603.2,,,,,,
B820,0,E,82.0,I,27.7,0.288,12/01/2023,1,2354.5,,,,,,
B830,0,E,83.0,I,,,,,,,,,,,
B840,0,E,84.0,I,,,,,,,,,,,
B850,0,E,85.0,I,24.3,0.013,24/01/2023,1,3013.2,,,,,,
B860,0,E,86.0,I,,,,,,,,,,,
B870,0,E,87.0,I,21.5,-0.023,13/01/2023,12,1281.67,,,,,,
B880,0,E,88.0,I,20.11,-0.048,20/01/2023,2,63020.11,,,,,,
B890,0,E,89.0,I,,,,,,,,,,,
B900,0,E,90.0,I,19.34,0.037,24/01/2023,3,88358.5,0.397,0.9726,0.0055,-0.0671,-0.0035,1.8326
B910,0,E,91.0,I,17.9,-0.011,24/01/2023,2,3620.0,0.201,0.9662,0.0101,-0.0553,-0.0031,2.7662
B920,0,E,92.0,I,16.96,-0.05,20/01/2023,3,5081.0,0.179,0.9787,0.0079,-0.0534,-0.0032,1.8369
B930,0,E,93.0,I,16.16,0.043,20/01/2023,5,7816.7,0.221,0.9506,0.0128,-0.0602,-0.0037,3.7138
B940,0,E,94.0,I,15.8,-0.031,23/01/2023,1,3160.0,0.231,0.9186,0.0171,-0.0651,-0.0041,5.7283
B945,0,A,94.5,I,,,,,,0.207,0.9411,0.0141,-0.0602,,4.7007
B950,0,E,95.0,I,14.25,-0.007,24/01/2023,2,24305.0,,,,,,
B949,0,A,95.5,I,14.7,0.003,18/01/2023,11,69255.5,,,,,,
B960,0,E,96.0,I,13.14,-0.061,24/01/2023,7,1825.68,0.284,0.9664,0.0093,-0.0675,-0.0051,2.1051
B965,0,A,96.5,I,13.8,,18/01/2023,2,27.3,,,,,,
B970,0,E,97.0,I,12.5,-0.043,23/01/2023,1,375.0,,,,,,
B975,0,A,97.5,I,11.14,0.393,19/01/2023,1,5570.0,,,,,,
B980,0,E,98.0,I,11.73,0.107,24/01/2023,1,3519.0,,,,,,
B985,0,A,98.5,I,10.05,-0.087,23/01/2023,1,10.05,,,,,,
B990,0,E,99.0,I,11.04,0.097,24/01/2023,3,162550.0,,,,,,
B995,0,A,99.5,I,10.58,0.058,24/01/2023,3,105949.0,0.251,0.9548,0.0133,-0.071,-0.0067,2.7159
B100,0,E,100.0,I,10.21,0.06,24/01/2023,17,172628.15,,,,,,
B70,0,A,101.0,I,9.02,0.087,24/01/2023,7,90143.16,,,,,,
B102,0,E,102.0,I,8.32,0.149,24/01/2023,44,282384.6,,,,,,
B77,0,A,103.0,I,6.84,0.019,24/01/2023,1023,260132.52,,,,,,
B104,0,E,104.0,I,6.46,0.133,24/01/2023,16,5307.79,0.199,0.9014,0.0306,-0.0791,-0.0123,4.9622
B76,0,A,105.0,I,5.25,0.031,24/01/2023,1106,68805.88,0.186,0.8946,0.0341,-0.0789,-0.015,5.2301
B106,0,E,106.0,I,4.87,0.122,24/01/2023,423,199776.26,0.205,0.8155,0.0454,-0.0919,-0.0189,7.6151
B84,1,A,107.0,I,4.13,0.138,24/01/2023,493,412757.66,0.19,0.8012,0.0513,-0.0902,-0.0218,7.9985
B108,0,E,108.0,A,3.47,0.145,24/01/2023,294,415661.08,0.189,0.7454,0.0593,-0.0937,-0.027,9.1993
B89,1,A,109.0,A,2.85,0.188,24/01/2023,876,1167292.38,0.187,0.6835,0.0663,-0.0954,-0.0335,10.2066
B110,0,E,110.0,A,2.27,0.176,24/01/2023,394,924584.0,0.186,0.6137,0.0716,-0.0955,-0.0421,10.9709
B92,1,A,111.0,A,1.8,0.192,24/01/2023,1437,378015.22,0.186,0.5407,0.0745,-0.0935,-0.0519,11.3788
B112,0,E,112.0,O,1.37,0.142,24/01/2023,714,487720.14,0.184,0.4663,0.0751,-0.0889,-0.0649,11.3975
B97,1,A,113.0,O,1.04,0.169,24/01/2023,671,211635.48,0.184,0.3918,0.0728,-0.0824,-0.0793,11.0127
B114,0,E,114.0,O,0.79,0.145,24/01/2023,225,213499.68,0.184,0.3211,0.0679,-0.0743,-0.0941,10.264
B103,1,A,115.0,O,0.53,0.082,24/01/2023,435,169939.43,0.183,0.2602,0.0619,-0.0653,-0.1231,9.3044
B116,0,E,116.0,O,0.38,0.086,24/01/2023,122,76773.77,0.183,0.2048,0.0542,-0.0558,-0.1469,8.1416
B107,0,A,117.0,O,0.29,0.115,24/01/2023,42,75667.35,0.184,0.1587,0.0459,-0.0468,-0.1615,6.9388
B118,0,E,118.0,O,0.18,-0.053,24/01/2023,26,13188.65,0.188,0.1212,0.0374,-0.039,-0.2167,5.7725
B111,0,A,119.0,O,0.15,-0.062,24/01/2023,256,11961.0,0.189,0.0944,0.031,-0.0324,-0.2161,4.8217
B120,0,E,120.0,O,0.12,0.091,24/01/2023,37,18605.96,0.193,0.0725,0.0249,-0.0267,-0.2226,3.9544
B115,0,A,121.0,O,0.09,-0.1,24/01/2023,14,5446.8,0.198,0.0569,0.0202,-0.0224,-0.2489,3.2766
B122,0,E,122.0,O,0.08,0.0,24/01/2023,13,16418.0,0.201,0.0433,0.016,-0.0181,-0.2264,2.6363
B119,0,A,123.0,O,0.07,0.0,24/01/2023,2,105.0,0.216,0.0257,0.0095,-0.0119,-0.1703,1.7356
B124,0,E,124.0,O,0.05,-0.167,24/01/2023,3,118.95,,,,,,
B123,0,A,125.0,O,0.04,0.0,24/01/2023,6,34.5,0.22,0.0176,0.0068,-0.0088,-0.219,1.2659
B126,0,E,126.0,O,0.03,-0.25,24/01/2023,3,2.97,,,,,,
B127,0,A,127.0,O,0.03,-0.4,24/01/2023,7,1958.0,,,,,,
B129,0,A,129.0,O,0.01,0.0,24/01/2023,7,442.0,0.253,0.0122,0.0044,-0.0075,-0.7468,0.9077
B131,0,A,131.0,O,0.02,0.0,24/01/2023,3,60.02,,,,,,
B133,0,A,133.0,O,0.01,,24/01/2023,3,200.0,0.278,0.0058,0.002,-0.0039,-0.3932,0.4924
B135,0,A,135.0,O,0.02,1.0,19/01/2023,6,1402.0,0.286,0.0056,0.0019,-0.004,-0.1977,0.4823
B137,0,A,137.0,O,0.01,-0.8,23/01/2023,1,100.0,0.316,0.0067,0.002,-0.005,-0.5038,0.559
B139,0,A,139.0,O,0.02,,13/01/2023,1,400.0,,,,,,
B141,0,A,141.0,O,0.02,0.0,19/01/2023,2,600.0,,,,,,
