TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A990,0,A,99.0,I,11.01,0.412,20/12/2022,5,536100.0,0.243,0.9214,0.0189,-0.0745,-0.0068,4.6805
A100,0,A,100.0,I,9.81,0.15,20/12/2022,2,200600.0,0.246,0.8961,0.023,-0.0798,-0.0081,5.7595
A102,1,A,102.0,I,9.21,-0.134,26/12/2022,2,184100.0,0.261,0.8966,0.0241,-0.0882,-0.0096,5.1295
A104,1,A,104.0,I,7.68,0.187,26/12/2022,2,150700.0,0.258,0.8388,0.0332,-0.0991,-0.0129,6.977
A106,1,A,106.0,I,5.49,-0.08,27/12/2022,1,54900.0,0.255,0.7619,0.0426,-0.1086,-0.0198,8.8315
A108,1,A,108.0,A,4.57,0.157,26/12/2022,4,182200.0,0.249,0.6696,0.0511,-0.1133,-0.0248,10.3376
A110,1,A,110.0,A,2.77,0.049,21/12/2022,1,27700.0,0.242,0.5625,0.057,-0.1121,-0.0405,11.2426
A112,1,A,112.0,A,2.05,0.145,13/12/2022,2,93.63,0.236,0.4461,0.0587,-0.1039,-0.0507,11.2772
A114,1,A,114.0,O,1.51,-0.209,27/12/2022,2,30100.0,0.232,0.3332,0.0549,-0.09,-0.0596,10.3723
A116,1,A,116.0,O,1.22,0.794,23/12/2022,2,22400.0,0.221,0.3004,0.0516,-0.0792,-0.0649,10.6043
A118,1,A,118.0,O,0.74,-0.51,23/12/2022,1,7400.0,0.233,0.2198,0.0339,-0.0556,-0.0751,11.1026
A120,0,A,120.0,O,0.24,0.043,19/12/2022,1,4800.0,,,,,,
A122,0,A,122.0,O,,,,,,,,,,,
A124,0,A,124.0,O,,,,,,,,,,,
A126,0,A,126.0,O,,,,,,,,,,,
A128,0,A,128.0,O,,,,,,,,,,,
A130,0,A,130.0,O,,,,,,,,,,,
A132,0,A,132.0,O,,,,,,,,,,,
A134,0,A,134.0,O,,,,,,,,,,,
A136,0,A,136.0,O,,,,,,,,,,,
