TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I130,0,A,12.73,I,,,,,,,,,,,
I140,0,A,13.73,I,,,,,,,,,,,
I150,0,A,14.73,I,,,,,,,,,,,
I160,0,A,15.73,I,,,,,,,,,,,
I170,0,A,16.73,I,,,,,,,,,,,
I180,0,A,17.73,I,,,,,,,,,,,
I190,0,A,18.73,I,,,,,,,,,,,
I200,0,A,19.73,I,,,,,,,,,,,
I210,0,A,20.73,I,5.8,1.624,16/08/2022,2,1155.0,0.432,0.6393,0.0963,-0.0227,-0.0039,3.368
I220,0,A,21.73,I,4.03,-0.067,30/08/2022,1,403.0,0.399,0.8056,0.0828,-0.0243,-0.006,2.2924
I230,0,A,22.73,I,3.6,0.059,24/08/2022,2,7100.0,0.39,0.7578,0.0969,-0.0261,-0.0073,2.5786
I235,0,A,23.23,I,2.63,-0.061,26/08/2022,1,263.0,0.382,0.727,0.1046,-0.0267,-0.0102,2.7654
I240,0,A,23.73,I,2.18,0.043,29/08/2022,2,1964.0,0.43,0.7747,0.0844,-0.0298,-0.0137,2.4795
I250,0,A,24.73,I,1.46,0.0,30/08/2022,1,1460.0,0.37,0.6964,0.1626,-0.0378,-0.0259,2.0286
I252,0,A,25.23,I,1.36,0.007,29/08/2022,10,5944.0,0.36,0.6849,0.1674,-0.038,-0.0279,2.0958
I260,0,A,25.73,A,0.85,-0.191,30/08/2022,22,9597.0,0.343,0.562,0.2044,-0.0391,-0.046,2.218
I265,0,A,26.23,A,0.65,-0.133,30/08/2022,37,12131.0,0.343,0.4289,0.2046,-0.0371,-0.0571,2.1966
I270,0,A,26.73,O,0.44,-0.083,30/08/2022,14,5279.0,0.334,0.3556,0.1982,-0.0339,-0.077,2.0957
I275,0,A,27.23,O,0.31,-0.205,30/08/2022,10,1324.0,0.333,0.2645,0.1748,-0.0291,-0.0939,1.8404
I277,0,A,27.73,O,0.22,-0.45,29/08/2022,23,3739.0,0.334,0.1864,0.1431,-0.0235,-0.1068,1.5069
I285,0,A,28.23,O,0.12,-0.333,30/08/2022,1,492.0,0.339,0.1342,0.1134,-0.019,-0.1583,1.216
I295,0,A,29.23,O,0.08,0.143,30/08/2022,1,24.0,0.377,0.0762,0.0677,-0.0136,-0.17,0.8042
I300,0,A,29.73,O,0.05,-0.286,26/08/2022,1,40.0,0.375,0.0571,0.0541,-0.0109,-0.218,0.6465
I302,0,E,29.98,O,0.07,-0.3,25/08/2022,3,42.0,0.368,0.0743,0.0601,-0.012,-0.1714,0.8922
I305,0,A,30.23,O,0.2,0.0,17/08/2022,3,580.0,0.375,0.0791,0.0598,-0.0124,-0.062,0.97
I307,0,E,30.48,O,0.32,0.333,15/08/2022,21,3100.0,0.371,0.0792,0.0599,-0.0124,-0.0388,0.9799
I310,0,A,30.73,O,0.03,-0.4,26/08/2022,1,30.0,0.372,0.0784,0.0588,-0.0125,-0.4167,0.9802
I320,0,A,31.73,O,0.07,-0.461,26/08/2022,5,35.0,,,,,,
I330,0,A,32.73,O,0.02,-0.714,19/08/2022,1,2.0,0.423,0.0197,0.0166,-0.0041,-0.205,0.3256
I337,0,A,33.73,O,,,,,,,,,,,
I347,0,A,34.73,O,,,,,,,,,,,
I357,0,A,35.73,O,,,,,,,,,,,
I367,0,A,36.73,O,,,,,,,,,,,
I377,0,A,37.73,O,,,,,,,,,,,
