TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B180,0,A,16.43,I,,,,,,,,,,,
B185,0,A,16.93,I,,,,,,,,,,,
B190,0,A,17.43,I,,,,,,,,,,,
B195,0,A,17.93,I,,,,,,,,,,,
B200,0,A,18.43,I,,,,,,,,,,,
B205,0,A,18.93,I,,,,,,,,,,,
B210,0,A,19.43,I,,,,,,,,,,,
B215,0,A,19.93,I,,,,,,,,,,,
B220,0,A,20.43,I,,,,,,,,,,,
B225,0,A,20.93,I,,,,,,,,,,,
B230,0,A,21.43,I,,,,,,,,,,,
B235,0,A,21.93,I,,,,,,,,,,,
B240,0,A,22.43,I,,,,,,,,,,,
B245,0,A,22.93,I,6.5,-0.058,10/02/2023,1,650.0,,,,,,
B250,0,A,23.43,I,,,,,,,,,,,
B255,0,A,23.93,I,4.5,0.0,13/02/2023,1,900.0,,,,,,
B260,0,A,24.43,I,7.75,,20/01/2023,1,6975.0,,,,,,
B265,0,A,24.93,I,4.45,0.047,14/02/2023,1,445.0,,,,,,
B270,0,A,25.43,I,3.3,-0.065,14/02/2023,1,13200.0,,,,,,
B275,0,A,25.93,I,3.2,-0.198,13/02/2023,3,3193.0,,,,,,
B280,0,A,26.43,I,3.45,-0.415,06/02/2023,1,690.0,,,,,,
B268,0,E,26.68,I,3.81,-0.245,02/02/2023,2,10807.0,,,,,,
B285,0,A,26.93,I,2.9,-0.383,09/02/2023,9,3492.0,0.329,0.5873,0.0918,-0.0217,-0.0075,5.0116
B290,0,A,27.43,I,1.62,-0.4,13/02/2023,13,11519.0,0.329,0.6455,0.0848,-0.0229,-0.0141,4.9551
B295,0,A,27.93,I,1.36,-0.337,13/02/2023,11,8386.0,0.318,0.6784,0.0836,-0.0232,-0.0171,4.8335
B300,0,A,28.43,A,0.92,0.165,13/02/2023,11,1542.0,0.313,0.6356,0.1015,-0.0255,-0.0277,4.4416
B305,0,A,28.93,A,0.6,0.364,13/02/2023,6,3887.0,0.308,0.698,0.0989,-0.0268,-0.0446,3.9995
B310,0,A,29.43,O,0.19,-0.387,14/02/2023,6,1309.0,0.33,0.3023,0.262,-0.051,-0.2686,1.4064
B315,0,A,29.93,O,0.11,-0.389,14/02/2023,1,110.0,0.343,0.2954,0.2462,-0.053,-0.4814,1.4128
B320,0,A,30.43,O,0.07,-0.222,14/02/2023,2,70.0,0.369,0.1474,0.1717,-0.0409,-0.5847,0.8388
B325,0,A,30.93,O,0.04,-0.2,13/02/2023,3,555.0,0.334,0.0745,0.1154,-0.0226,-0.5661,0.515
B31,0,A,31.43,O,0.03,-0.667,10/02/2023,5,93.0,0.386,0.0605,0.0767,-0.0197,-0.6555,0.4859
B319,0,A,31.93,O,0.03,0.0,13/02/2023,1,6.0,0.458,0.0449,0.0568,-0.0204,-0.6789,0.3436
B32,0,A,32.43,O,0.06,-0.25,08/02/2023,1,6.0,0.332,0.0881,0.0907,-0.019,-0.3166,0.8471
B330,0,A,32.93,O,0.06,-0.143,14/02/2023,9,137.0,0.364,0.0781,0.0715,-0.0178,-0.2964,0.818
B335,0,A,33.43,O,0.01,-0.857,13/02/2023,1,10.0,0.337,0.0401,0.0457,-0.0097,-0.9707,0.4848
B340,0,A,33.93,O,0.09,-0.667,03/02/2023,2,2700.0,0.315,0.1375,0.1026,-0.0219,-0.2432,1.4966
B344,0,A,34.43,O,0.1,-0.444,01/02/2023,2,1160.0,0.344,0.0856,0.0703,-0.0172,-0.1723,1.0111
B349,0,A,34.93,O,0.02,-0.6,14/02/2023,1,2.0,,,,,,
B359,0,A,35.93,O,,,,,,0.296,0.0705,0.0585,-0.0116,,1.0525
B369,0,A,36.93,O,,,,,,,,,,,
B379,0,A,37.93,O,0.01,,27/01/2023,1,1.0,,,,,,
B389,0,A,38.93,O,,,,,,,,,,,
B399,0,A,39.93,O,,,,,,,,,,,
B409,0,A,40.93,O,,,,,,,,,,,
