TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A705,0,E,7.03,I,,,,,,,,,,,
A805,0,E,8.03,I,,,,,,,,,,,
A950,0,E,9.03,I,1.62,-0.443,16/11/2022,3,868.0,,,,,,
A100,0,A,9.53,O,0.28,0.4,19/12/2022,4,845.0,0.3,0.4643,0.4529,-0.0092,-0.0327,1.1614
A102,0,E,9.78,O,0.11,0.0,19/12/2022,1,110.0,0.264,0.2846,0.4623,-0.0068,-0.0616,0.943
A103,0,E,10.28,O,0.04,-0.2,19/12/2022,7,833.0,0.299,0.4349,0.3791,-0.0088,-0.2193,1.3668
A112,0,E,10.78,O,0.01,-0.8,19/12/2022,2,11.0,0.289,0.0597,0.1466,-0.0024,-0.2377,0.3317
A118,0,E,11.78,O,,,,,,,,,,,
A128,0,E,12.78,O,0.06,,09/12/2022,2,18.0,,,,,,
A138,0,E,13.78,O,,,,,,,,,,,
A148,0,E,14.78,O,,,,,,,,,,,
