TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A651,0,A,6.51,I,,,,,,,,,,,
A780,0,A,7.51,I,,,,,,,,,,,
A800,0,A,7.71,I,,,,,,,,,,,
A820,0,A,7.91,I,,,,,,,,,,,
A840,0,A,8.11,I,,,,,,,,,,,
A860,0,A,8.31,I,,,,,,,,,,,
A880,0,A,8.51,I,,,,,,,,,,,
A900,0,A,8.71,I,,,,,,,,,,,
A920,0,A,8.91,I,,,,,,,,,,,
A940,0,A,9.11,I,,,,,,,,,,,
A960,0,A,9.31,I,,,,,,,,,,,
A980,0,A,9.51,I,,,,,,,,,,,
A100,0,A,9.71,I,,,,,,,,,,,
A10,1,A,9.91,I,0.64,,16/12/2022,6,26077.0,0.367,0.6297,0.3304,-0.0121,-0.0189,1.176
A105,0,A,10.21,A,0.6,,14/12/2022,1,180.0,,,,,,
A110,1,A,10.71,O,0.24,-0.385,16/12/2022,9,3550.0,0.341,0.3485,0.3482,-0.01,-0.0416,1.1515
A115,1,A,11.21,O,0.11,-0.389,16/12/2022,9,12760.0,0.337,0.2047,0.2703,-0.0073,-0.0661,0.8848
A120,1,A,11.71,O,0.06,-0.25,16/12/2022,10,1348.0,0.325,0.1066,0.1806,-0.0045,-0.0744,0.5759
A125,0,A,12.21,O,0.04,0.333,16/12/2022,1,80.0,0.37,0.1554,0.1836,-0.0064,-0.1594,0.8377
A130,0,A,12.71,O,0.02,-0.333,16/12/2022,8,2737.0,0.376,0.0595,0.0965,-0.0032,-0.1612,0.3859
A135,0,A,13.21,O,0.02,-0.75,16/12/2022,1,2.0,0.318,0.2221,0.2112,-0.0072,-0.3579,1.3198
A140,0,A,13.71,O,,,,,,,,,,,
A145,0,A,14.21,O,,,,,,,,,,,
A150,0,A,14.71,O,0.26,-0.071,24/10/2022,1,260.0,,,,,,
A155,0,A,15.21,O,0.04,-0.333,02/12/2022,1,4.0,0.389,0.0339,0.0478,-0.0021,-0.0528,0.3048
A160,0,A,15.71,O,,,,,,,,,,,
A165,0,A,16.21,O,,,,,,,,,,,
A170,0,A,16.71,O,,,,,,,,,,,
A175,0,A,17.21,O,,,,,,,,,,,
A180,0,A,17.71,O,,,,,,,,,,,
A185,0,A,18.21,O,,,,,,,,,,,
A190,0,A,18.71,O,,,,,,,,,,,
A195,0,A,19.21,O,,,,,,,,,,,
