TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B288,0,A,2.8,I,2.17,,20/12/2022,1,217.0,,,,,,
B298,0,A,2.9,I,2.23,,18/01/2023,1,2230.0,,,,,,
B308,0,A,3.0,I,2.06,0.084,30/01/2023,1,76220.0,,,,,,
B318,0,A,3.1,I,1.93,-0.01,19/01/2023,2,22145.0,,,,,,
B328,0,A,3.2,I,1.9,0.145,27/01/2023,1,1520.0,,,,,,
B338,0,A,3.3,I,1.73,-0.023,19/01/2023,3,26362.0,,,,,,
B348,0,A,3.4,I,,,,,,,,,,,
B358,0,A,3.5,I,,,,,,,,,,,
B368,0,A,3.6,I,1.31,-0.115,20/01/2023,3,1570.0,,,,,,
B390,0,A,3.7,I,1.35,-0.1,30/01/2023,2,4852.0,,,,,,
B388,0,A,3.8,I,1.23,-0.024,19/01/2023,1,3321.0,0.576,0.9384,0.1282,-0.0039,-0.0032,0.2002
B398,0,A,3.9,I,0.99,-0.244,05/01/2023,1,8910.0,,,,,,
B408,0,A,4.0,I,1.04,-0.028,19/01/2023,4,70950.0,,,,,,
B418,0,A,4.1,I,0.85,-0.086,17/01/2023,1,170.0,0.473,0.6252,0.4406,-0.0048,-0.0056,0.6901
B440,0,A,4.2,I,0.98,-0.109,31/01/2023,2,1574.0,0.46,0.7197,0.3736,-0.0048,-0.0049,0.6604
B438,0,A,4.3,I,0.7,0.0,30/01/2023,1,70.0,0.44,0.7383,0.3698,-0.0048,-0.0068,0.6505
B448,0,A,4.4,I,0.68,-0.056,30/01/2023,1,6120.0,0.469,0.7787,0.3115,-0.0051,-0.0075,0.6039
B458,0,A,4.5,I,0.53,-0.185,20/01/2023,2,2544.0,0.504,0.7424,0.4374,-0.0069,-0.0129,0.473
B468,0,A,4.6,I,0.57,-0.05,31/01/2023,5,8760.0,0.472,0.7144,0.4187,-0.0061,-0.0106,0.584
B478,0,A,4.7,I,0.49,-0.269,27/01/2023,3,896.0,0.468,0.8177,0.4869,-0.0075,-0.0154,0.307
B488,0,A,4.8,I,0.46,-0.233,30/01/2023,6,2320.0,0.462,0.7453,0.6014,-0.0084,-0.0183,0.3703
B498,1,A,4.9,I,0.28,-0.2,31/01/2023,21,110788.0,0.466,0.6362,0.7062,-0.0093,-0.0331,0.4281
B500,1,A,5.0,A,0.23,0.0,31/01/2023,44,44460.0,0.442,0.5794,0.7736,-0.0091,-0.0394,0.4476
B530,0,E,5.1,A,0.18,-0.143,31/01/2023,34,22728.0,0.463,0.4954,0.7545,-0.0094,-0.052,0.4557
B520,1,A,5.2,O,0.15,0.0,31/01/2023,46,63910.0,0.457,0.4281,0.7509,-0.009,-0.0599,0.4492
B53,0,E,5.3,O,0.13,0.0,31/01/2023,15,9151.0,0.457,0.3577,0.7138,-0.0084,-0.0648,0.4273
B540,1,A,5.4,O,0.11,0.0,31/01/2023,62,38544.0,0.481,0.2915,0.6262,-0.008,-0.0725,0.3913
B553,0,A,5.45,O,0.08,-0.111,31/01/2023,20,7696.0,0.479,0.2686,0.6022,-0.0076,-0.0955,0.3768
B573,1,A,5.65,O,0.06,0.0,31/01/2023,23,6812.0,0.497,0.1859,0.4707,-0.0063,-0.1056,0.3065
B593,0,A,5.85,O,0.04,-0.2,31/01/2023,25,14704.0,0.517,0.1253,0.3481,-0.005,-0.1256,0.2361
B613,0,A,6.05,O,0.02,-0.333,31/01/2023,17,997.0,0.521,0.0928,0.2751,-0.0041,-0.2051,0.1924
B633,0,A,6.25,O,0.02,-0.333,30/01/2023,2,4.0,0.559,0.0575,0.1801,-0.003,-0.1492,0.1319
B653,0,A,6.45,O,0.01,-0.75,30/01/2023,1,200.0,0.597,0.0537,0.1576,-0.003,-0.3045,0.1264
B660,0,A,6.6,O,0.01,-0.667,31/01/2023,2,150.0,0.615,0.0643,0.1668,-0.0036,-0.3557,0.1541
B683,0,E,6.7,O,0.01,0.0,31/01/2023,1,10.0,0.675,0.0488,0.1293,-0.0032,-0.3168,0.1171
B690,0,E,6.9,O,0.01,,27/01/2023,1,125.0,,,,,,
B713,0,A,7.05,O,0.01,-0.5,27/01/2023,1,134.0,,,,,,
B733,0,A,7.25,O,0.02,0.0,26/01/2023,5,235.0,,,,,,
B753,0,A,7.45,O,,,,,,0.561,0.0482,0.0934,-0.0016,,0.1916
B773,0,A,7.65,O,,,,,,0.544,0.0471,0.0889,-0.0015,,0.1999
B793,0,A,7.85,O,,,,,,,,,,,
B813,0,A,8.05,O,0.02,0.0,23/12/2022,2,4.0,,,,,,
B833,0,A,8.25,O,,,,,,,,,,,
B853,0,A,8.45,O,,,,,,,,,,,
B873,0,A,8.65,O,,,,,,,,,,,
B893,0,A,8.85,O,,,,,,,,,,,
B913,0,A,9.05,O,,,,,,,,,,,
B933,0,A,9.25,O,,,,,,,,,,,
B953,0,A,9.45,O,,,,,,,,,,,
