TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B800,0,A,7.65,I,3.29,-0.194,16/02/2023,1,4277.0,,,,,,
B820,0,A,7.85,I,,,,,,,,,,,
B84,0,A,8.05,I,,,,,,,,,,,
B86,0,A,8.25,I,,,,,,,,,,,
B88,0,A,8.45,I,,,,,,,,,,,
B90,0,A,8.65,I,,,,,,,,,,,
B909,0,A,8.85,I,2.1,-0.176,14/02/2023,1,21000.0,,,,,,
B94,0,A,9.05,I,,,,,,,,,,,
B96,0,A,9.25,I,,,,,,,,,,,
B98,0,A,9.45,I,1.5,0.007,16/02/2023,1,15000.0,0.454,0.9717,0.0554,-0.0079,-0.0052,0.1672
B99,0,A,9.65,I,1.3,0.066,13/02/2023,1,5590.0,,,,,,
B985,0,A,9.85,I,,,,,,,,,,,
B104,0,A,10.15,I,0.57,-0.287,16/02/2023,1,1140.0,0.386,0.9201,0.1827,-0.0117,-0.0206,0.3133
B10,0,E,10.4,I,,,,,,0.324,0.9155,0.1927,-0.0103,,0.3841
B101,0,A,10.65,I,0.28,-0.333,16/02/2023,33,13040.0,0.315,0.7106,1.6015,-0.0406,-0.145,0.2318
B114,0,A,11.15,A,0.04,-0.2,16/02/2023,30,374.0,0.451,0.1311,0.6938,-0.0334,-0.8349,0.1446
B93,0,E,11.4,O,0.01,-0.667,16/02/2023,2,11.0,0.317,0.1114,0.5031,-0.0126,-1.2572,0.2257
B119,0,A,11.65,O,0.01,-0.5,16/02/2023,16,120.0,0.466,0.0945,0.3683,-0.0198,-1.9813,0.1652
B113,0,E,11.9,O,0.01,-0.5,16/02/2023,8,79.0,0.469,0.0626,0.2194,-0.0119,-1.1878,0.1473
B121,0,A,12.15,O,0.01,0.0,16/02/2023,2,2.0,0.509,0.0581,0.1885,-0.0123,-1.227,0.1407
B126,0,E,12.4,O,0.01,0.0,16/02/2023,2,6.0,0.516,0.0508,0.1448,-0.0097,-0.9732,0.1462
B129,0,A,12.65,O,0.03,2.0,15/02/2023,2,10.0,0.646,0.0543,0.1225,-0.0127,-0.423,0.1532
B134,0,A,13.15,O,0.01,0.0,16/02/2023,1,1.0,0.63,0.0366,0.0752,-0.0073,-0.7326,0.1355
B139,0,A,13.65,O,0.03,-0.25,13/02/2023,2,23.0,0.353,0.0674,0.1243,-0.0047,-0.1564,0.3877
B144,0,A,14.15,O,0.02,-0.5,18/01/2023,1,20.0,0.499,0.0383,0.0608,-0.004,-0.2004,0.2277
B149,0,A,14.65,O,0.05,,20/12/2022,1,100.0,,,,,,
B154,0,A,15.15,O,0.02,1.0,03/02/2023,7,3930.0,0.627,0.0254,0.0359,-0.0036,-0.1816,0.1555
B159,0,A,15.65,O,0.02,,10/01/2023,1,200.0,0.445,0.0253,0.0358,-0.002,-0.1013,0.2191
B164,0,A,16.15,O,0.03,,14/02/2023,1,300.0,,,,,,
B169,0,A,16.65,O,0.02,,29/12/2022,1,200.0,,,,,,
B174,0,A,17.15,O,0.02,1.0,08/02/2023,7,520.0,0.725,0.0205,0.0235,-0.0034,-0.1684,0.1433
B179,0,A,17.65,O,,,,,,,,,,,
B184,0,A,18.15,O,,,,,,,,,,,
B189,0,A,18.65,O,,,,,,,,,,,
B194,0,A,19.15,O,0.02,,15/12/2022,1,2.0,0.727,0.0176,0.0172,-0.0026,-0.1303,0.1512
