TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B110,0,A,1.1,I,,,,,,,,,,,
B120,0,A,1.2,I,,,,,,,,,,,
B130,0,A,1.3,I,,,,,,,,,,,
B140,0,A,1.4,I,,,,,,,,,,,
B150,0,A,1.5,I,,,,,,,,,,,
B160,0,A,1.6,I,,,,,,,,,,,
B170,0,A,1.7,I,,,,,,,,,,,
B180,0,A,1.8,I,0.37,-0.026,19/01/2023,2,407.0,0.591,0.7233,0.8113,-0.0028,-0.0075,0.2337
B190,0,A,1.9,I,0.36,-0.1,25/01/2023,1,396.0,0.504,0.7775,0.8305,-0.0026,-0.0072,0.2123
B200,0,A,2.0,I,0.31,0.033,26/01/2023,5,338.0,0.472,0.8555,0.8271,-0.0027,-0.0088,0.1323
B210,1,A,2.1,I,0.18,-0.1,26/01/2023,64,59079.0,0.477,0.6734,1.42,-0.0038,-0.0209,0.1918
B220,1,A,2.2,A,0.12,-0.143,26/01/2023,157,256536.0,0.476,0.5199,1.573,-0.0039,-0.0327,0.2119
B230,1,A,2.3,O,0.09,0.125,26/01/2023,112,62037.0,0.424,0.3492,1.6421,-0.0032,-0.0352,0.1968
B240,1,A,2.4,O,0.04,0.0,26/01/2023,47,28757.0,0.466,0.2495,1.2742,-0.0029,-0.0729,0.1696
B250,0,A,2.5,O,0.03,0.5,26/01/2023,19,1041.0,0.502,0.1523,0.8853,-0.0023,-0.0753,0.1247
B260,0,A,2.6,O,0.02,0.0,25/01/2023,6,159.0,0.63,0.1039,0.5592,-0.0021,-0.1026,0.0925
B265,0,E,2.65,O,0.01,0.0,26/01/2023,8,513.0,0.532,0.111,0.6384,-0.0019,-0.188,0.1054
B270,0,A,2.7,O,0.01,0.0,26/01/2023,4,201.0,0.49,0.079,0.4999,-0.0012,-0.1231,0.0886
B275,0,E,2.75,O,0.01,0.0,23/01/2023,2,10.0,0.58,0.1189,0.5395,-0.0019,-0.1875,0.1262
B280,0,A,2.8,O,0.01,0.0,23/01/2023,1,10.0,0.561,0.0953,0.4732,-0.0016,-0.1551,0.1081
B285,0,E,2.85,O,0.01,-0.5,20/01/2023,1,64.0,0.592,0.091,0.4333,-0.0016,-0.1576,0.1045
B290,0,A,2.9,O,0.01,0.0,25/01/2023,1,20.0,0.495,0.094,0.4606,-0.0013,-0.1283,0.1233
B295,0,E,2.95,O,0.01,0.0,23/01/2023,1,23.0,0.522,0.09,0.4227,-0.0013,-0.1305,0.1195
B300,0,A,3.0,O,0.01,0.0,18/01/2023,1,250.0,0.72,0.073,0.2728,-0.0011,-0.1137,0.0978
B305,0,E,3.05,O,0.01,0.0,16/01/2023,1,750.0,0.683,0.0733,0.2773,-0.0011,-0.1129,0.1021
B310,0,A,3.1,O,0.01,0.0,16/01/2023,1,1.0,0.575,0.077,0.3078,-0.0011,-0.1052,0.1179
B315,0,E,3.15,O,0.02,,12/01/2023,1,50.0,0.567,0.0747,0.2899,-0.001,-0.0481,0.121
B320,0,A,3.2,O,0.01,0.0,17/01/2023,10,35.0,0.595,0.0717,0.2663,-0.0009,-0.0932,0.1181
B325,0,E,3.25,O,,,,,,,,,,,
B330,0,A,3.3,O,0.01,0.0,20/12/2022,1,109.0,0.749,0.0798,0.238,-0.0011,-0.1081,0.1237
B335,0,E,3.35,O,0.01,,28/12/2022,2,490.0,,,,,,
B340,0,A,3.4,O,0.01,0.0,11/01/2023,3,3000.0,0.667,0.0645,0.2121,-0.0008,-0.0844,0.1122
B345,0,E,3.45,O,,,,,,,,,,,
B350,0,A,3.5,O,0.01,0.0,28/12/2022,2,580.0,0.611,0.0643,0.2129,-0.0008,-0.0811,0.1216
B355,0,E,3.55,O,,,,,,,,,,,
B360,0,A,3.6,O,0.01,,07/12/2022,2,600.0,,,,,,
B370,0,A,3.7,O,,,,,,,,,,,
B380,0,A,3.8,O,,,,,,,,,,,
B390,0,A,3.9,O,,,,,,,,,,,
B399,0,A,4.0,O,0.01,,20/12/2022,4,255.0,,,,,,
B410,0,A,4.1,O,,,,,,,,,,,
B420,0,A,4.2,O,0.01,0.0,13/01/2023,1,20.0,,,,,,
B430,0,A,4.3,O,,,,,,,,,,,
B440,0,A,4.4,O,,,,,,,,,,,
B449,0,A,4.5,O,,,,,,,,,,,
B460,0,A,4.6,O,,,,,,,,,,,
B470,0,A,4.7,O,,,,,,,,,,,
B480,0,A,4.8,O,0.02,,20/12/2022,5,12221.0,,,,,,
B490,0,A,4.9,O,,,,,,,,,,,
B499,0,A,5.0,O,,,,,,,,,,,
B540,0,A,5.4,O,,,,,,,,,,,
B870,0,E,8.7,O,,,,,,,,,,,
