TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L450,0,A,4.19,I,2.82,-0.06,17/11/2022,1,16920.0,,,,,,
L490,0,A,4.59,I,,,,,,,,,,,
L500,0,A,4.69,I,,,,,,,,,,,
L520,0,A,4.89,I,,,,,,,,,,,
L540,0,A,5.09,I,,,,,,,,,,,
L560,0,A,5.29,I,,,,,,,,,,,
L580,0,A,5.49,I,2.57,2.096,23/11/2022,1,514.0,,,,,,
L600,0,A,5.69,I,2.2,-0.134,06/12/2022,1,6600.0,,,,,,
L620,0,A,5.89,I,1.38,0.0,11/11/2022,1,138.0,0.247,0.8442,0.3636,-0.0047,-0.0034,0.6355
L640,0,A,6.09,I,1.82,-0.133,06/12/2022,1,1820.0,0.223,0.8748,0.3443,-0.0046,-0.0025,0.5522
L660,0,A,6.29,I,1.68,0.031,07/12/2022,4,3889.0,0.94,0.9449,0.0894,-0.0131,-0.0078,0.1475
L680,0,A,6.49,I,1.51,0.071,07/12/2022,1,7550.0,0.278,0.8228,0.3479,-0.0057,-0.0038,0.6966
L70,0,A,6.69,I,1.09,-0.027,06/12/2022,11,16600.0,,,,,,
L720,0,A,6.89,I,0.92,-0.343,06/12/2022,11,14722.0,,,,,,
L740,0,A,7.09,I,0.85,0.149,07/12/2022,2,2135.0,0.338,0.959,0.1105,-0.0056,-0.0066,0.2069
L760,0,A,7.29,I,0.74,0.396,07/12/2022,4,2076.0,,,,,,
L780,0,A,7.49,I,0.6,0.225,07/12/2022,3,530.0,,,,,,
L800,0,A,7.69,I,0.4,0.539,07/12/2022,2,14200.0,0.352,0.7527,0.6769,-0.0136,-0.034,0.4192
L820,1,A,7.89,A,0.26,0.529,07/12/2022,10,8477.0,0.38,0.5991,0.7652,-0.0164,-0.0631,0.5135
L840,1,A,8.09,A,0.15,0.667,07/12/2022,6,2613.0,0.348,0.4269,0.8492,-0.0147,-0.0981,0.5203
L860,1,A,8.29,O,0.1,0.667,07/12/2022,8,1114.0,0.392,0.2981,0.6658,-0.0141,-0.1414,0.4599
L880,1,A,8.49,O,0.06,0.0,06/12/2022,6,664.0,0.374,0.1734,0.5161,-0.0098,-0.1637,0.34
L900,0,A,8.69,O,0.03,-0.25,07/12/2022,1,6.0,0.389,0.0869,0.3087,-0.0062,-0.2052,0.2085
L920,0,A,8.89,O,0.02,-0.5,06/12/2022,2,4.0,0.572,0.1051,0.219,-0.0088,-0.441,0.2642
L940,0,A,9.09,O,0.03,0.0,06/12/2022,5,356.0,0.517,0.0654,0.1762,-0.006,-0.2008,0.178
L960,0,A,9.29,O,0.04,-0.5,23/11/2022,1,4.0,0.316,0.1854,0.3728,-0.0061,-0.1536,0.6072
L980,0,A,9.49,O,0.01,-0.929,23/11/2022,1,1.0,,,,,,
L100,0,A,9.69,O,0.01,0.0,06/12/2022,1,6.0,0.47,0.1041,0.1907,-0.0062,-0.6154,0.3644
L105,0,A,10.19,O,,,,,,,,,,,
L110,0,A,10.69,O,,,,,,,,,,,
L115,0,A,11.19,O,,,,,,,,,,,
L120,0,A,11.69,O,0.04,,14/10/2022,1,48.0,,,,,,
L125,0,A,12.19,O,,,,,,,,,,,
L130,0,A,12.69,O,,,,,,,,,,,
L135,0,A,13.19,O,,,,,,,,,,,
