TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B860,0,A,8.6,I,,,,,,,,,,,
B880,0,A,8.8,I,,,,,,,,,,,
B900,0,A,9.0,I,,,,,,,,,,,
B920,0,A,9.2,I,,,,,,,,,,,
B940,0,A,9.4,I,,,,,,,,,,,
B960,0,A,9.6,I,,,,,,,,,,,
B980,0,A,9.8,I,,,,,,,,,,,
B100,0,A,10.0,I,,,,,,,,,,,
B105,0,A,10.5,I,,,,,,,,,,,
B110,0,A,11.0,I,,,,,,,,,,,
B115,0,A,11.5,I,,,,,,,,,,,
B120,0,A,12.0,I,,,,,,,,,,,
B125,0,A,12.5,I,,,,,,,,,,,
B130,0,A,13.0,I,4.3,,18/01/2023,4,23160.0,,,,,,
B135,0,A,13.5,I,,,,,,,,,,,
B140,0,A,14.0,I,,,,,,,,,,,
B142,0,E,14.25,I,,,,,,,,,,,
B145,0,A,14.5,I,,,,,,,,,,,
B147,0,E,14.75,I,2.35,-0.161,02/01/2023,1,940.0,,,,,,
B150,0,A,15.0,I,1.55,-0.162,01/02/2023,1,155.0,,,,,,
B152,0,E,15.25,I,2.0,-0.2,12/12/2022,1,200.0,,,,,,
B155,0,A,15.5,I,1.44,-0.089,31/01/2023,5,3585.0,0.347,0.8189,0.1708,-0.0179,-0.0124,1.1705
B157,0,E,15.75,I,1.0,-0.083,30/01/2023,7,834.0,0.369,0.7923,0.2236,-0.0232,-0.0232,0.9944
B160,0,A,16.0,I,0.86,-0.14,01/02/2023,2,2570.0,0.341,0.7435,0.2723,-0.0236,-0.0274,1.1185
B162,0,E,16.25,A,0.67,0.0,25/01/2023,1,67.0,0.341,0.6713,0.2446,-0.0213,-0.0318,1.5664
B165,1,A,16.5,A,0.55,-0.179,01/02/2023,7,2823.0,0.34,0.5845,0.3301,-0.0259,-0.0471,1.3533
B167,0,E,16.75,A,0.44,-0.137,01/02/2023,12,3827.0,0.339,0.5007,0.3392,-0.0256,-0.0582,1.3844
B170,1,A,17.0,O,0.3,-0.167,01/02/2023,12,3526.0,0.337,0.4877,0.337,-0.0257,-0.0856,1.4013
B172,0,E,17.25,O,0.26,0.238,01/02/2023,4,849.0,0.333,0.3996,0.3302,-0.024,-0.0924,1.3561
B175,1,A,17.5,O,0.2,-0.2,01/02/2023,20,8925.0,0.328,0.3192,0.3104,-0.0215,-0.1075,1.2543
B177,0,E,17.75,O,0.11,-0.389,01/02/2023,1,55.0,0.35,0.1646,0.1988,-0.0143,-0.1298,0.8826
B180,1,A,18.0,O,0.11,-0.214,01/02/2023,11,511.0,0.346,0.1639,0.1974,-0.0143,-0.1301,0.8931
B182,0,E,18.25,O,0.06,-0.25,01/02/2023,4,88.0,0.361,0.0945,0.1313,-0.0098,-0.1635,0.599
B185,0,A,18.5,O,0.05,-0.167,01/02/2023,1,5.0,0.359,0.0889,0.1164,-0.0087,-0.1741,0.6189
B187,0,E,18.75,O,0.05,0.0,31/01/2023,6,111.0,0.35,0.0781,0.1107,-0.0081,-0.1616,0.5495
B190,0,A,19.0,O,0.05,0.0,01/02/2023,2,30.0,0.327,0.0578,0.0792,-0.0049,-0.0989,0.5168
B192,0,E,19.25,O,0.05,0.667,01/02/2023,1,50.0,0.419,0.0511,0.0725,-0.0073,-0.1468,0.3621
B195,0,A,19.5,O,0.03,-0.4,30/01/2023,5,50.0,0.312,0.0996,0.1134,-0.0073,-0.244,0.8639
B197,0,E,19.75,O,0.01,0.0,27/01/2023,1,13.0,,,,,,
B200,0,A,20.0,O,0.01,0.0,31/01/2023,3,38.0,0.35,0.036,0.0546,-0.0041,-0.4137,0.327
B202,0,E,20.25,O,0.03,0.0,26/01/2023,1,6.0,0.405,0.0303,0.0389,-0.0036,-0.1204,0.2981
B205,0,A,20.5,O,,,,,,,,,,,
B210,0,A,21.0,O,,,,,,,,,,,
B215,0,A,21.5,O,0.1,,20/12/2022,1,10.0,,,,,,
B220,0,A,22.0,O,0.03,,10/01/2023,3,27.0,,,,,,
B225,0,A,22.5,O,,,,,,,,,,,
B230,0,A,23.0,O,,,,,,,,,,,
B235,0,A,23.5,O,,,,,,,,,,,
B240,0,A,24.0,O,,,,,,,,,,,
B245,0,A,24.5,O,,,,,,,,,,,
B250,0,A,25.0,O,,,,,,,,,,,
B255,0,A,25.5,O,,,,,,,,,,,
B260,0,A,26.0,O,,,,,,,,,,,
B265,0,A,26.5,O,,,,,,,,,,,
