TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
K110,0,A,10.87,I,,,,,,,,,,,
K120,0,A,11.87,I,,,,,,,,,,,
K130,0,A,12.87,I,3.06,0.53,19/10/2022,1,12546.0,,,,,,
K135,0,A,13.37,I,1.77,-0.115,08/11/2022,1,885.0,,,,,,
K140,0,A,13.87,I,1.03,-0.208,10/11/2022,2,321.0,,,,,,
K145,0,A,14.37,I,0.69,-0.434,10/11/2022,3,446.0,0.336,0.9243,0.1439,-0.015,-0.0217,0.4213
K150,0,A,14.87,A,0.51,0.417,10/11/2022,4,4467.0,0.384,0.2378,0.1721,-0.0103,-0.0202,1.4473
K160,0,A,15.87,O,0.1,-0.412,10/11/2022,3,42.0,0.533,0.1743,0.2329,-0.0297,-0.2973,0.5327
K170,0,A,16.87,O,0.04,-0.636,10/11/2022,1,24.0,0.463,0.0916,0.1509,-0.0157,-0.3919,0.387
K180,0,A,17.87,O,0.02,0.0,09/11/2022,3,6.0,,,,,,
K190,0,A,18.87,O,,,,,,,,,,,
K200,0,A,19.87,O,,,,,,,,,,,
K218,0,A,21.87,O,,,,,,,,,,,
K238,0,A,23.87,O,,,,,,,,,,,
