TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I500,0,A,5.0,I,,,,,,,,,,,
I540,0,A,5.4,I,,,,,,,,,,,
I580,0,A,5.8,I,,,,,,,,,,,
I620,0,A,6.2,I,,,,,,0.649,0.7218,0.2005,-0.0098,,0.865
I640,0,A,6.4,I,0.81,-0.471,22/08/2022,1,81.0,0.672,0.6466,0.2189,-0.0106,-0.0131,0.9399
I660,0,A,6.6,I,0.9,-0.25,19/08/2022,5,11645.0,0.629,0.7372,0.2027,-0.0107,-0.0119,0.834
I680,0,A,6.8,I,0.67,-0.173,23/08/2022,1,670.0,0.679,0.6705,0.2862,-0.0157,-0.0234,0.674
I700,1,A,7.0,I,0.63,0.235,23/08/2022,27,20967.0,0.679,0.5875,0.3107,-0.0163,-0.0259,0.7179
I720,1,A,7.2,A,0.46,0.095,23/08/2022,15,8933.0,0.664,0.5461,0.3204,-0.0163,-0.0354,0.738
I740,1,A,7.4,O,0.42,0.105,23/08/2022,21,10254.0,0.67,0.4484,0.3218,-0.0158,-0.0376,0.7254
I760,1,A,7.6,O,0.3,-0.032,23/08/2022,9,7607.0,0.663,0.4025,0.316,-0.0153,-0.051,0.7146
I780,0,A,7.8,O,0.26,0.13,23/08/2022,34,31895.0,0.653,0.3452,0.3051,-0.0143,-0.055,0.6815
I800,0,A,8.0,O,0.22,0.048,23/08/2022,31,13362.0,0.671,0.3126,0.2835,-0.0141,-0.0641,0.6594
I820,0,A,8.2,O,0.18,0.0,23/08/2022,3,1160.0,0.68,0.268,0.26,-0.0132,-0.0733,0.6135
I840,0,A,8.4,O,0.19,0.583,23/08/2022,6,1432.0,0.717,0.1935,0.2071,-0.0108,-0.0568,0.5075
I860,0,A,8.6,O,0.1,0.0,23/08/2022,2,400.0,0.733,0.1745,0.1929,-0.0107,-0.107,0.4678
I880,0,A,8.8,O,0.1,-0.167,23/08/2022,1,50.0,0.693,0.1595,0.1881,-0.0098,-0.098,0.4523
I900,0,A,9.0,O,0.09,-0.182,23/08/2022,9,959.0,0.727,0.1414,0.1658,-0.0094,-0.1044,0.4161
I920,0,A,9.2,O,,,,,,,,,,,
I940,0,A,9.4,O,,,,,,,,,,,
I960,0,A,9.6,O,0.06,-0.88,22/08/2022,3,43.0,,,,,,
I980,0,A,9.8,O,0.08,-0.5,18/08/2022,4,576.0,,,,,,
I100,0,A,10.0,O,0.04,0.333,23/08/2022,3,44.0,0.815,0.0655,0.0842,-0.0056,-0.14,0.2374
I102,0,E,10.25,O,,,,,,,,,,,
I105,0,A,10.5,O,0.09,-0.526,17/08/2022,1,9.0,,,,,,
I107,0,E,10.75,O,,,,,,,,,,,
I110,0,A,11.0,O,0.16,-0.158,08/08/2022,3,852.0,,,,,,
I115,0,A,11.5,O,,,,,,,,,,,
I120,0,A,12.0,O,,,,,,,,,,,
I125,0,A,12.5,O,,,,,,,,,,,
I135,0,A,13.5,O,,,,,,,,,,,
I140,0,A,14.0,O,,,,,,,,,,,
I141,0,A,14.5,O,,,,,,,,,,,
I150,0,A,15.0,O,,,,,,,,,,,
I152,0,E,15.25,O,,,,,,,,,,,
I155,0,A,15.5,O,,,,,,,,,,,
I167,0,E,16.75,O,,,,,,,,,,,
I170,0,A,17.0,O,,,,,,,,,,,
I147,0,E,17.25,O,,,,,,,,,,,
I145,0,A,17.5,O,,,,,,,,,,,
I146,0,A,18.0,O,,,,,,,,,,,
I157,0,E,18.25,O,,,,,,,,,,,
I160,0,A,18.5,O,,,,,,,,,,,
I197,0,E,19.75,O,,,,,,,,,,,
I200,0,A,20.0,O,,,,,,,,,,,
I202,0,E,20.25,O,,,,,,,,,,,
I205,0,A,20.5,O,,,,,,,,,,,
I230,0,A,23.0,O,,,,,,,,,,,
I355,0,A,35.5,O,,,,,,,,,,,
