TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H914,0,A,9.14,I,,,,,,,,,,,
H934,0,A,9.34,I,4.57,0.02,03/06/2022,1,2285.0,,,,,,
H954,0,A,9.54,I,,,,,,,,,,,
H974,0,A,9.74,I,2.66,-0.015,14/07/2022,1,26334.0,0.464,0.9526,0.0544,-0.0082,-0.0031,0.387
H994,0,A,9.94,I,2.48,,14/07/2022,1,24800.0,0.46,0.9392,0.0668,-0.0089,-0.0036,0.4711
H104,0,A,10.44,I,,,,,,0.438,0.898,0.1039,-0.0106,,0.6971
H109,0,A,10.94,I,,,,,,0.434,0.8244,0.1523,-0.0129,,1.0099
H114,0,A,11.44,I,3.59,0.941,04/08/2022,1,4667.0,0.424,0.7332,0.1982,-0.0146,-0.0041,1.2849
H119,0,A,11.94,I,2.65,-0.011,15/08/2022,1,1325.0,0.377,0.8076,0.2252,-0.0152,-0.0057,0.882
H124,0,A,12.44,I,2.71,0.178,16/08/2022,1,4336.0,0.31,0.9979,0.007,-0.007,-0.0026,0.0208
H129,0,A,12.94,I,2.2,-0.12,16/08/2022,7,12705.0,0.41,0.9751,0.0449,-0.0102,-0.0046,0.1846
H131,0,E,13.19,I,2.15,0.08,16/08/2022,1,4300.0,0.38,0.6347,0.3377,-0.0216,-0.01,1.1027
H134,0,A,13.44,I,1.84,-0.08,16/08/2022,20,25824.0,0.43,0.9584,0.0821,-0.0138,-0.0075,0.2241
H139,0,A,13.94,I,1.45,-0.052,16/08/2022,12,10378.0,0.444,0.8893,0.1684,-0.0218,-0.015,0.4772
H144,0,A,14.44,I,0.95,-0.112,16/08/2022,9,24276.0,0.389,0.6564,0.4565,-0.0346,-0.0364,0.7617
H149,0,A,14.94,I,0.44,-0.323,16/08/2022,7,6953.0,0.416,0.7682,0.3762,-0.037,-0.0841,0.5943
H154,0,A,15.44,A,0.2,-0.333,16/08/2022,10,7144.0,0.423,0.357,0.5337,-0.0463,-0.2315,0.6162
H159,0,A,15.94,O,0.07,-0.3,16/08/2022,5,2290.0,0.387,0.1979,0.4296,-0.0316,-0.4514,0.4656
H161,0,E,16.19,O,0.03,-0.571,16/08/2022,8,585.0,0.414,0.1195,0.2882,-0.024,-0.8,0.3332
H170,0,A,16.44,O,0.02,-0.667,16/08/2022,4,330.0,0.461,0.0487,0.133,-0.0132,-0.66,0.166
H169,0,A,16.94,O,,,,,,,,,,,
H174,0,A,17.44,O,0.02,-0.5,04/08/2022,11,5078.0,,,,,,
H179,0,A,17.94,O,0.02,,10/08/2022,1,100.0,,,,,,
H184,0,A,18.44,O,,,,,,,,,,,
H195,0,A,18.94,O,0.02,0.0,04/08/2022,1,2.0,,,,,,
H194,0,A,19.44,O,,,,,,,,,,,
H199,0,A,19.94,O,,,,,,,,,,,
H204,0,A,20.44,O,,,,,,,,,,,
H209,0,A,20.94,O,,,,,,,,,,,
H214,0,A,21.44,O,,,,,,,,,,,
H219,0,A,21.94,O,,,,,,,,,,,
H224,0,A,22.44,O,,,,,,,,,,,
H229,0,A,22.94,O,,,,,,,,,,,
H234,0,A,23.44,O,,,,,,,,,,,
H239,0,A,23.94,O,,,,,,,,,,,
