TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I908,0,A,9.08,I,,,,,,,,,,,
I100,0,A,10.03,I,2.91,,18/08/2022,1,2037.0,,,,,,
I115,0,A,11.03,I,1.35,-0.426,19/08/2022,6,14239.0,,,,,,
I120,0,A,12.03,A,0.6,,22/08/2022,2,252.0,,,,,,
I125,0,A,12.53,O,0.4,-0.2,22/08/2022,2,2358.0,0.514,0.3786,0.2351,-0.0193,-0.0483,1.1974
I130,0,A,13.03,O,0.24,,22/08/2022,1,2688.0,,,,,,
I135,0,A,13.53,O,0.16,-0.304,22/08/2022,1,32.0,0.511,0.2048,0.1753,-0.014,-0.0875,0.9001
I140,0,A,14.03,O,0.11,,22/08/2022,1,451.0,,,,,,
I145,0,A,14.53,O,0.09,,19/08/2022,1,63.0,,,,,,
I150,0,A,15.03,O,,,,,,,,,,,
I160,0,A,16.03,O,,,,,,,,,,,
I170,0,A,17.03,O,,,,,,,,,,,
