TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
C210,0,A,2.1,I,,,,,,,,,,,
C220,0,A,2.2,I,,,,,,,,,,,
C230,0,A,2.3,I,,,,,,,,,,,
C240,0,A,2.4,I,,,,,,,,,,,
C250,0,A,2.5,I,,,,,,,,,,,
C260,0,A,2.6,I,,,,,,,,,,,
C270,0,A,2.7,I,,,,,,,,,,,
C280,0,A,2.8,I,,,,,,,,,,,
C290,0,A,2.9,I,,,,,,,,,,,
C300,0,A,3.0,I,,,,,,,,,,,
C310,0,A,3.1,I,,,,,,,,,,,
C320,0,A,3.2,I,,,,,,,,,,,
C330,0,A,3.3,I,,,,,,,,,,,
C335,0,E,3.35,I,,,,,,,,,,,
C340,0,A,3.4,I,,,,,,,,,,,
C345,0,E,3.45,I,,,,,,,,,,,
C350,0,A,3.5,I,,,,,,,,,,,
C355,0,E,3.55,I,,,,,,,,,,,
C360,0,A,3.6,I,,,,,,,,,,,
C365,0,E,3.65,I,,,,,,,,,,,
C370,0,A,3.7,I,,,,,,,,,,,
C375,0,E,3.75,I,,,,,,,,,,,
C380,0,A,3.8,I,,,,,,0.481,0.7379,0.5922,-0.0059,,0.3726
C385,0,E,3.85,I,,,,,,,,,,,
C390,0,A,3.9,I,0.21,0.0,22/02/2023,1,63.0,0.444,0.6812,0.7025,-0.0059,-0.028,0.4084
C395,0,E,3.95,I,,,,,,,,,,,
C400,1,A,4.0,I,0.19,-0.24,22/02/2023,5,731.0,0.412,0.6282,0.8938,-0.0063,-0.033,0.3888
C405,0,E,4.05,A,,,,,,0.412,0.491,0.9353,-0.006,,0.4123
C410,1,A,4.1,A,0.12,-0.294,22/02/2023,2,48.0,0.421,0.5264,0.9214,-0.0064,-0.0537,0.4082
C415,0,E,4.15,A,,,,,,0.404,0.5166,0.9525,-0.0063,,0.4128
C420,1,A,4.2,O,0.08,-0.467,22/02/2023,3,582.0,0.416,0.4255,0.9212,-0.0061,-0.0761,0.401
C425,0,E,4.25,O,,,,,,0.401,0.3855,0.9293,-0.0057,,0.3922
C430,1,A,4.3,O,0.09,,17/02/2023,1,576.0,0.4,0.3326,0.8877,-0.0053,-0.0593,0.3716
C435,0,E,4.35,O,0.06,,22/02/2023,3,836.0,0.373,0.3304,0.9369,-0.0051,-0.0846,0.3761
C440,1,A,4.4,O,0.08,1.0,16/02/2023,1,144.0,0.351,0.2567,0.8636,-0.0041,-0.051,0.3423
C445,0,E,4.45,O,,,,,,0.395,0.3108,0.7846,-0.0048,,0.4024
C450,0,A,4.5,O,0.03,-0.4,22/02/2023,2,540.0,0.361,0.1609,0.6619,-0.0032,-0.1052,0.2498
C460,0,A,4.6,O,0.05,0.25,17/02/2023,3,1250.0,0.435,0.1575,0.5411,-0.0037,-0.0736,0.2464
C470,0,A,4.7,O,0.01,-0.96,17/02/2023,3,951.0,0.443,0.2525,0.529,-0.0041,-0.4098,0.435
C480,0,A,4.8,O,0.1,-0.667,06/02/2023,1,10.0,0.414,0.1047,0.3439,-0.0021,-0.0205,0.2314
C490,0,A,4.9,O,0.07,-0.588,06/02/2023,1,175.0,0.481,0.2141,0.44,-0.004,-0.0575,0.4016
C500,0,A,5.0,O,0.01,-0.5,22/02/2023,2,2.0,0.484,0.0682,0.2514,-0.0021,-0.2057,0.1425
C520,0,A,5.2,O,0.12,1.0,02/02/2023,4,1700.0,0.407,0.2811,0.5221,-0.0044,-0.0368,0.5354
C540,0,A,5.4,O,,,,,,,,,,,
C560,0,A,5.6,O,,,,,,,,,,,
C580,0,A,5.8,O,,,,,,,,,,,
C600,0,A,6.0,O,,,,,,,,,,,
C620,0,A,6.2,O,,,,,,,,,,,
C640,0,A,6.4,O,,,,,,,,,,,
C660,0,A,6.6,O,,,,,,,,,,,
C680,0,A,6.8,O,,,,,,,,,,,
C700,0,A,7.0,O,,,,,,,,,,,
C720,0,A,7.2,O,,,,,,,,,,,
C740,0,A,7.4,O,,,,,,,,,,,
C760,0,A,7.6,O,,,,,,,,,,,
C780,0,A,7.8,O,,,,,,,,,,,
C800,0,A,8.0,O,,,,,,,,,,,
