TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B307,0,A,30.71,I,,,,,,,,,,,
B317,0,A,31.71,I,,,,,,,,,,,
B327,0,A,32.71,I,,,,,,,,,,,
B337,0,A,33.71,I,,,,,,,,,,,
B355,0,A,34.71,I,,,,,,,,,,,
B360,0,A,35.21,I,,,,,,,,,,,
B365,0,A,35.71,I,3.73,0.696,26/01/2023,1,1865.0,0.235,0.732,0.1101,-0.0299,-0.008,4.1849
B359,0,E,35.96,I,,,,,,0.233,0.7068,0.116,-0.0301,,4.3735
B370,0,A,36.21,I,2.45,0.0,02/02/2023,1,245.0,0.248,0.7647,0.0968,-0.0312,-0.0127,3.9369
B375,0,A,36.71,A,1.78,-0.156,06/02/2023,2,1236.0,0.237,0.7197,0.1112,-0.0312,-0.0175,4.3119
B380,1,A,37.21,A,1.4,-0.278,07/02/2023,1,140.0,0.23,0.7583,0.1165,-0.0329,-0.0235,3.6289
B385,1,A,37.71,A,0.56,-0.477,07/02/2023,53,62995.0,0.235,0.4738,0.2543,-0.0483,-0.0863,2.6534
B390,1,A,38.21,O,0.35,-0.533,07/02/2023,37,15689.0,0.234,0.3468,0.2363,-0.0429,-0.1226,2.4593
B395,1,A,38.71,O,0.25,-0.456,07/02/2023,12,1992.0,0.235,0.2427,0.1999,-0.0354,-0.1417,2.0844
B400,1,A,39.21,O,0.12,-0.6,07/02/2023,11,856.0,0.237,0.1596,0.154,-0.0271,-0.2262,1.6189
B405,0,A,39.71,O,0.08,-0.6,07/02/2023,18,699.0,0.239,0.101,0.1108,-0.0196,-0.2454,1.1779
B410,0,A,40.21,O,0.07,-0.417,07/02/2023,11,2113.0,0.269,0.076,0.0799,-0.0175,-0.2502,0.9513
B415,0,A,40.71,O,0.05,-0.286,07/02/2023,7,128.0,0.232,0.0785,0.093,-0.0161,-0.3211,0.9978
B420,0,A,41.21,O,0.03,-0.4,07/02/2023,4,21.0,,,,,,
B425,0,A,41.71,O,0.04,0.333,06/02/2023,2,45.0,0.229,0.0582,0.0634,-0.0109,-0.2727,0.9342
B430,0,A,42.21,O,0.04,0.0,02/02/2023,2,92.0,0.207,0.0722,0.0722,-0.0108,-0.271,1.2622
B435,0,A,42.71,O,0.02,0.0,03/02/2023,1,30.0,,,,,,
B440,0,A,43.21,O,0.08,1.0,11/01/2023,1,16.0,0.233,0.0269,0.0314,-0.0057,-0.071,0.5264
B445,0,A,43.71,O,0.01,-0.857,25/01/2023,1,1.0,,,,,,
B450,0,A,44.21,O,0.01,-0.8,02/02/2023,1,10.0,,,,,,
B452,0,A,45.21,O,,,,,,,,,,,
