TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H200,0,A,19.27,I,25.5,-0.062,07/07/2022,1,2550.0,,,,,,
H220,0,A,21.27,I,,,,,,,,,,,
H250,0,A,24.27,I,,,,,,,,,,,
H270,0,A,26.27,I,16.95,-0.122,11/07/2022,4,11865.0,,,,,,
H312,0,A,31.27,I,13.05,-0.011,19/07/2022,1,13050.0,,,,,,
H317,0,A,31.77,I,14.59,0.127,29/07/2022,2,17483.0,,,,,,
H322,0,A,32.27,I,,,,,,,,,,,
H327,0,A,32.77,I,,,,,,,,,,,
H332,0,A,33.27,I,,,,,,,,,,,
H337,0,A,33.77,I,,,,,,,,,,,
H342,0,A,34.27,I,,,,,,,,,,,
H347,0,A,34.77,I,8.4,,11/07/2022,2,6720.0,,,,,,
H352,0,A,35.27,I,8.45,,12/07/2022,1,19435.0,,,,,,
H355,0,E,35.52,I,8.17,,14/07/2022,1,22876.0,,,,,,
H357,0,A,35.77,I,8.2,0.226,14/07/2022,1,3280.0,,,,,,
H362,0,A,36.27,I,7.1,0.049,12/07/2022,1,10650.0,,,,,,
H367,0,A,36.77,I,9.15,,04/07/2022,2,80856.0,,,,,,
H372,0,A,37.27,I,8.24,0.144,27/07/2022,4,12335.0,,,,,,
H377,0,A,37.77,I,6.74,,23/06/2022,1,674.0,,,,,,
H382,0,A,38.27,I,6.54,-0.02,22/07/2022,1,1308.0,,,,,,
H387,0,A,38.77,I,3.85,,12/07/2022,1,385.0,,,,,,
H392,0,A,39.27,I,4.5,0.111,13/07/2022,1,450.0,,,,,,
H397,0,A,39.77,I,4.88,0.061,15/07/2022,1,9272.0,0.368,0.693,0.0532,-0.0372,-0.0076,6.3034
H402,0,A,40.27,I,3.23,,11/07/2022,2,160250.0,0.369,0.6648,0.0551,-0.0377,-0.0117,6.5389
H407,0,A,40.77,I,2.91,-0.076,12/07/2022,1,3201.0,0.365,0.6687,0.0553,-0.0382,-0.0131,6.5274
H420,0,A,41.27,I,2.26,-0.062,14/07/2022,1,678.0,0.363,0.6402,0.0572,-0.0384,-0.017,6.7315
H417,0,A,41.77,I,4.8,0.519,29/07/2022,1,960.0,0.313,0.6577,0.0823,-0.0427,-0.0089,5.2298
H422,0,A,42.27,I,4.42,0.263,29/07/2022,2,5294.0,0.313,0.6702,0.0815,-0.0436,-0.0099,5.1397
H427,0,A,42.77,I,2.86,0.0,25/07/2022,1,858.0,0.348,0.6745,0.0746,-0.0488,-0.0171,5.0012
H432,0,A,43.27,I,3.66,0.262,29/07/2022,2,4710.0,0.315,0.6633,0.0886,-0.0483,-0.0132,4.777
H437,0,A,43.77,I,3.04,0.13,29/07/2022,8,2397.0,0.294,0.6775,0.0992,-0.0489,-0.0161,4.4166
H442,0,A,44.27,I,2.8,0.228,29/07/2022,3,820.0,0.304,0.6763,0.1002,-0.0528,-0.0189,4.2324
H447,1,A,44.77,I,2.46,0.249,29/07/2022,3,44600.0,0.272,0.7124,0.1117,-0.0508,-0.0207,3.8265
H452,1,A,45.27,A,1.9,0.152,29/07/2022,9,28333.0,0.271,0.6532,0.1213,-0.0523,-0.0275,4.1429
H457,1,A,45.77,A,1.69,0.29,29/07/2022,7,28940.0,0.268,0.5909,0.1292,-0.0525,-0.0311,4.3604
H462,1,A,46.27,A,1.45,0.343,29/07/2022,5,17641.0,0.263,0.5254,0.1347,-0.0513,-0.0354,4.4682
H465,0,E,46.52,A,1.3,0.3,29/07/2022,8,9888.0,0.263,0.492,0.135,-0.0506,-0.0389,4.4764
H467,1,A,46.77,O,1.08,0.213,29/07/2022,8,25851.0,0.259,0.4591,0.1364,-0.0491,-0.0455,4.4547
H472,0,A,47.27,O,0.77,0.055,29/07/2022,35,93811.0,0.257,0.392,0.1333,-0.046,-0.0597,4.3131
H477,0,A,47.77,O,0.71,0.449,29/07/2022,22,138141.0,0.254,0.3855,0.1331,-0.0457,-0.0644,4.3345
H482,0,A,48.27,O,0.51,0.159,29/07/2022,3,365.0,0.27,0.2344,0.0993,-0.035,-0.0686,3.5153
H487,0,A,48.77,O,0.43,0.72,29/07/2022,1,430.0,0.297,0.3411,0.0738,-0.0344,-0.08,6.1366
H492,0,A,49.27,O,0.33,0.222,29/07/2022,3,1815.0,0.249,0.2047,0.1008,-0.0315,-0.0955,3.2148
H497,0,A,49.77,O,0.25,-0.265,29/07/2022,4,2925.0,0.291,0.3423,0.0719,-0.0338,-0.1352,6.4455
H500,0,E,50.02,O,0.2,0.053,27/07/2022,1,360.0,0.316,0.1419,0.052,-0.0233,-0.1165,3.069
H505,0,A,50.52,O,0.2,0.0,19/07/2022,1,60.0,,,,,,
H515,0,A,51.52,O,0.15,0.0,20/07/2022,2,300.0,,,,,,
H525,0,A,52.52,O,0.05,,29/07/2022,1,5.0,,,,,,
H535,0,A,53.52,O,,,,,,,,,,,
H540,0,E,54.02,O,0.01,-0.8,29/07/2022,1,1.0,,,,,,
H545,0,A,54.52,O,0.05,0.0,18/07/2022,1,10.0,,,,,,
