TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A60,0,A,6.0,I,,,,,,,,,,,
A62,0,A,6.2,I,9.77,0.132,30/03/2022,1,977.0,,,,,,
A64,0,A,6.4,I,,,,,,,,,,,
A66,0,A,6.6,I,,,,,,,,,,,
A68,0,A,6.8,I,,,,,,,,,,,
A70,0,A,7.0,I,7.5,,07/04/2022,1,1500.0,,,,,,
A72,0,A,7.2,I,,,,,,,,,,,
A74,0,A,7.4,I,,,,,,,,,,,
A76,0,A,7.6,I,,,,,,,,,,,
A78,0,A,7.8,I,,,,,,,,,,,
A80,0,A,8.0,I,,,,,,,,,,,
A82,0,A,8.2,I,,,,,,,,,,,
A84,0,A,8.4,I,,,,,,,,,,,
A86,0,A,8.6,I,,,,,,,,,,,
A88,0,A,8.8,I,,,,,,,,,,,
A90,0,A,9.0,I,,,,,,,,,,,
A92,0,A,9.2,I,,,,,,,,,,,
A94,0,A,9.4,I,,,,,,,,,,,
A96,0,A,9.6,I,,,,,,,,,,,
A98,0,A,9.8,I,12.04,-0.018,14/12/2021,2,24100.0,,,,,,
A10,0,A,10.0,I,4.09,-0.002,15/12/2022,1,409.0,,,,,,
A101,0,E,10.25,I,,,,,,,,,,,
A105,0,A,10.5,I,,,,,,,,,,,
A106,0,E,10.75,I,,,,,,,,,,,
A110,0,A,11.0,I,,,,,,,,,,,
A11,0,E,11.25,I,,,,,,,,,,,
A115,0,A,11.5,I,,,,,,,,,,,
A116,0,E,11.75,I,2.4,0.143,02/01/2023,1,4800.0,,,,,,
A120,0,A,12.0,I,1.5,-0.318,29/09/2022,1,150.0,,,,,,
A121,0,E,12.25,I,,,,,,0.476,0.7662,0.1443,-0.0163,,1.3655
A124,0,A,12.5,I,1.25,-0.224,09/12/2022,3,6064.0,0.45,0.7375,0.1624,-0.0163,-0.013,1.455
A126,0,E,12.75,I,1.4,-0.067,26/12/2022,1,140.0,0.44,0.7021,0.1905,-0.0176,-0.0126,1.4332
A13,0,A,13.0,I,1.79,0.409,21/12/2022,1,179.0,0.457,0.7612,0.1638,-0.0184,-0.0103,1.2834
A131,0,E,13.25,I,1.11,-0.105,26/12/2022,5,8673.0,0.401,0.7428,0.215,-0.0185,-0.0167,1.206
A134,0,A,13.5,I,1.2,0.0,02/01/2023,3,1845.0,0.391,0.7769,0.2265,-0.0195,-0.0163,1.0066
A136,0,E,13.75,I,0.83,-0.144,02/01/2023,1,1328.0,0.396,0.7008,0.261,-0.0215,-0.0259,1.1681
A14,1,A,14.0,I,0.73,-0.12,02/01/2023,13,14139.0,0.395,0.6364,0.2823,-0.0224,-0.0307,1.2644
A141,0,E,14.25,A,0.58,-0.159,02/01/2023,18,37240.0,0.383,0.5669,0.3047,-0.0222,-0.0383,1.3257
A144,1,A,14.5,A,0.46,-0.148,02/01/2023,8,4921.0,0.381,0.4901,0.3106,-0.0219,-0.0475,1.3442
A146,0,E,14.75,O,0.34,-0.171,02/01/2023,5,748.0,0.38,0.4145,0.3045,-0.0208,-0.0613,1.3136
A15,1,A,15.0,O,0.28,-0.097,02/01/2023,4,1166.0,0.373,0.343,0.292,-0.0191,-0.0681,1.2399
A151,0,E,15.25,O,0.2,-0.2,02/01/2023,5,696.0,0.382,0.2769,0.2602,-0.0174,-0.0871,1.1276
