TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I155,0,A,15.5,I,,,,,,,,,,,
I160,0,A,16.0,I,,,,,,,,,,,
I165,0,A,16.5,I,,,,,,,,,,,
I170,0,A,17.0,I,,,,,,,,,,,
I175,0,A,17.5,I,,,,,,,,,,,
I180,0,A,18.0,I,,,,,,,,,,,
I185,0,A,18.5,I,,,,,,,,,,,
I190,0,A,19.0,I,,,,,,,,,,,
I195,0,A,19.5,I,3.63,,11/08/2022,1,2904.0,,,,,,
I200,0,A,20.0,I,3.15,1.046,10/08/2022,9,12632.0,0.228,0.8206,0.134,-0.0144,-0.0046,2.2405
I205,0,A,20.5,I,3.25,1.355,15/08/2022,1,2925.0,0.236,0.808,0.1377,-0.0154,-0.0047,2.2979
I210,0,A,21.0,I,3.11,0.08,18/08/2022,1,3110.0,0.257,0.8177,0.1214,-0.0166,-0.0053,2.2391
I215,0,A,21.5,I,2.53,0.095,18/08/2022,1,6578.0,0.248,0.8374,0.1353,-0.018,-0.0071,1.805
I220,0,A,22.0,I,2.02,0.0,23/08/2022,1,202.0,0.252,0.7918,0.16,-0.0198,-0.0098,2.0405
I225,0,A,22.5,I,1.48,-0.045,23/08/2022,3,13776.0,0.254,0.8257,0.1478,-0.0204,-0.0138,1.7634
I230,1,A,23.0,A,1.04,-0.119,23/08/2022,6,15957.0,0.215,0.7312,0.2505,-0.0216,-0.0208,2.018
I235,1,A,23.5,A,0.62,-0.235,23/08/2022,7,15341.0,0.2,0.5937,0.3168,-0.0213,-0.0344,2.3716
I240,1,A,24.0,O,0.35,-0.222,23/08/2022,7,10832.0,0.191,0.426,0.3354,-0.0188,-0.0537,2.3961
I245,1,A,24.5,O,0.15,-0.516,23/08/2022,5,9868.0,0.18,0.2667,0.2979,-0.014,-0.0933,2.0098
I250,0,A,25.0,O,0.07,-0.3,23/08/2022,3,195.0,0.18,0.1373,0.1998,-0.0088,-0.1257,1.3411
I260,0,A,26.0,O,0.01,,23/08/2022,1,36.0,,,,,,
