TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I375,0,A,37.5,I,,,,,,,,,,,
I380,0,A,38.0,I,,,,,,,,,,,
I385,0,A,38.5,I,6.03,0.086,29/07/2022,1,7839.0,,,,,,
I390,0,A,39.0,I,7.05,0.469,08/08/2022,1,9870.0,0.259,0.7132,0.0771,-0.0302,-0.0043,5.7942
I395,0,A,39.5,I,,,,,,0.25,0.657,0.092,-0.031,,5.8691
I400,0,A,40.0,I,,,,,,0.242,0.7862,0.0736,-0.0308,,4.7563
I405,0,A,40.5,I,,,,,,0.239,0.7502,0.0815,-0.0313,,5.1904
I410,0,A,41.0,I,,,,,,0.239,0.707,0.0904,-0.0325,,5.4717
I415,0,A,41.5,I,5.0,1.242,08/08/2022,1,7000.0,0.237,0.6607,0.0973,-0.0326,-0.0065,5.8245
I420,0,A,42.0,I,,,,,,0.23,0.7064,0.0933,-0.0328,,5.5224
I425,0,A,42.5,I,,,,,,0.238,0.7389,0.09,-0.0358,,4.9258
I430,0,A,43.0,I,,,,,,0.238,0.6909,0.0978,-0.0364,,5.3391
I435,0,A,43.5,I,3.65,,18/08/2022,2,4380.0,0.235,0.6964,0.0984,-0.037,-0.0101,5.2731
I440,0,A,44.0,I,1.71,,04/08/2022,1,855.0,0.243,0.8332,0.0662,-0.0361,-0.0211,3.8916
I445,0,A,44.5,I,,,,,,0.234,0.7099,0.1041,-0.0399,,4.8164
I450,0,A,45.0,I,1.79,,11/08/2022,4,35200.0,0.229,0.6872,0.1091,-0.04,-0.0223,5.0124
I455,0,A,45.5,I,,,,,,0.238,0.7136,0.1015,-0.0417,,4.7978
I460,0,A,46.0,I,,,,,,0.224,0.7692,0.099,-0.0408,,4.1795
I465,1,A,46.5,A,2.06,0.791,17/08/2022,1,824.0,0.234,0.6564,0.1214,-0.0452,-0.0219,4.7606
I470,1,A,47.0,A,1.45,,16/08/2022,1,290.0,0.222,0.7083,0.1113,-0.0426,-0.0294,4.7592
I475,1,A,47.5,A,1.15,0.769,19/08/2022,1,115.0,0.219,0.651,0.1217,-0.0429,-0.0373,5.1303
I480,1,A,48.0,O,,,,,,0.219,0.6021,0.1267,-0.0429,,5.3613
I485,1,A,48.5,O,,,,,,,,,,,
I490,0,A,49.0,O,,,,,,,,,,,
I500,0,A,50.0,O,,,,,,,,,,,
I510,0,A,51.0,O,,,,,,,,,,,
