TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A105,0,A,10.25,I,,,,,,,,,,,
A115,0,A,11.25,I,5.21,,06/12/2022,1,521.0,,,,,,
A125,0,A,12.25,I,,,,,,,,,,,
A135,0,A,13.25,I,,,,,,,,,,,
A140,0,A,13.75,I,,,,,,,,,,,
A145,0,A,14.25,I,,,,,,0.353,0.7639,0.1764,-0.016,,1.525
A150,1,A,14.75,I,0.85,0.024,21/12/2022,1,170.0,0.334,0.7143,0.2358,-0.0177,-0.0208,1.4669
A155,1,A,15.25,A,0.51,-0.25,02/01/2023,3,9451.0,0.357,0.5061,0.3143,-0.022,-0.0431,1.4197
A160,1,A,15.75,O,0.25,-0.468,02/01/2023,1,500.0,0.358,0.3613,0.2937,-0.0199,-0.0795,1.3345
A165,1,A,16.25,O,0.17,-0.433,02/01/2023,6,8900.0,0.329,0.3395,0.2932,-0.018,-0.1057,1.3884
A170,1,A,16.75,O,0.1,-0.375,02/01/2023,2,100.0,0.407,0.1422,0.1569,-0.0126,-0.1262,0.7916
A175,0,A,17.25,O,0.09,0.0,02/01/2023,1,162.0,0.385,0.1388,0.1579,-0.0122,-0.1354,0.8057
A180,0,A,17.75,O,0.01,-0.857,02/01/2023,2,2.0,0.244,0.5356,0.2495,-0.0141,-1.4127,2.5892
A185,0,A,18.25,O,0.1,0.0,13/12/2022,1,30.0,0.246,0.3081,0.2288,-0.011,-0.1095,2.2041
A190,0,A,18.75,O,0.07,0.4,29/12/2022,2,147.0,0.459,0.0793,0.0718,-0.0075,-0.1075,0.6617
A195,0,A,19.25,O,0.07,0.0,14/12/2022,1,70.0,,,,,,
A200,0,A,19.75,O,0.2,,29/11/2022,1,300.0,,,,,,
A205,0,A,20.25,O,,,,,,,,,,,
A210,0,A,20.75,O,,,,,,,,,,,
A215,0,A,21.25,O,,,,,,,,,,,
A220,0,A,21.75,O,,,,,,,,,,,
A225,0,A,22.25,O,,,,,,,,,,,
A230,0,A,22.75,O,,,,,,,,,,,
A250,0,A,24.75,O,,,,,,,,,,,
A260,0,A,25.75,O,,,,,,,,,,,
A270,0,A,26.75,O,,,,,,,,,,,
