TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I99,0,A,1.0,I,,,,,,,,,,,
I120,0,A,1.2,A,0.07,-0.461,31/08/2022,4,150.0,0.702,0.5897,2.1713,-0.0035,-0.05,0.0991
I130,0,A,1.3,O,0.04,-0.2,30/08/2022,1,3200.0,0.692,0.3302,2.0863,-0.0031,-0.0775,0.0908
I140,0,A,1.4,O,0.02,-0.333,31/08/2022,1,14.0,0.77,0.2003,1.4516,-0.0026,-0.13,0.0703
I149,0,A,1.5,O,0.02,-0.333,30/08/2022,1,500.0,0.892,0.142,1.0044,-0.0024,-0.12,0.0563
I160,0,A,1.6,O,0.01,0.0,31/08/2022,6,556.0,0.995,0.1255,0.7856,-0.0023,-0.23,0.0545
I180,0,A,1.8,O,,,,,,,,,,,
I199,0,A,2.0,O,,,,,,,,,,,
I280,0,A,2.8,O,,,,,,,,,,,
I380,0,A,3.8,O,0.02,,25/08/2022,1,60.0,,,,,,
I4,0,A,4.0,O,,,,,,,,,,,
I45,0,A,4.5,O,,,,,,,,,,,
