TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H120,0,A,12.02,I,,,,,,,,,,,
H130,0,A,13.02,I,,,,,,,,,,,
H140,0,A,14.02,I,,,,,,,,,,,
H150,0,A,15.02,I,,,,,,,,,,,
H160,0,A,16.02,I,7.62,,13/07/2022,1,7620.0,,,,,,
H165,0,A,16.52,I,,,,,,,,,,,
H170,0,A,17.02,I,,,,,,,,,,,
H175,0,A,17.52,I,6.26,0.237,08/07/2022,2,1256.0,,,,,,
H180,0,A,18.02,I,5.94,0.151,20/07/2022,2,3556.0,,,,,,
H185,0,A,18.52,I,5.56,,18/07/2022,6,82760.0,,,,,,
H190,0,A,19.02,I,,,,,,,,,,,
H195,0,A,19.52,I,5.15,0.112,25/07/2022,1,515.0,,,,,,
H200,0,A,20.02,I,3.2,,01/07/2022,2,6200.0,,,,,,
H205,0,A,20.52,I,,,,,,,,,,,
H210,0,A,21.02,I,2.1,-0.3,14/07/2022,1,5880.0,,,,,,
H215,0,A,21.52,I,2.5,-0.138,02/08/2022,1,250.0,0.466,0.6548,0.1106,-0.0303,-0.0121,2.6374
H220,0,A,22.02,I,2.85,0.14,02/08/2022,1,285.0,0.453,0.7281,0.099,-0.03,-0.0105,2.4519
H225,0,A,22.52,I,2.08,-0.184,29/07/2022,2,10400.0,0.448,0.6749,0.1087,-0.0311,-0.015,2.6598
H230,1,A,23.02,A,0.96,-0.52,03/08/2022,10,14771.0,0.425,0.7246,0.1178,-0.0331,-0.0345,2.2252
H235,1,A,23.52,A,1.09,-0.347,03/08/2022,251,556976.0,0.422,0.5364,0.1838,-0.0419,-0.0384,2.0347
H240,1,A,24.02,O,0.72,-0.459,03/08/2022,132,221669.0,0.42,0.4432,0.1838,-0.0405,-0.0562,2.0216
H242,0,E,24.27,O,0.56,-0.5,03/08/2022,23,30629.0,0.418,0.4002,0.1805,-0.0391,-0.0698,1.979
H245,1,A,24.52,O,0.47,-0.535,03/08/2022,155,198453.0,0.416,0.3566,0.1752,-0.0372,-0.0791,1.9097
H250,1,A,25.02,O,0.35,-0.568,03/08/2022,625,1094997.0,0.417,0.278,0.1572,-0.0331,-0.0946,1.7182
H252,0,E,25.27,O,0.3,-0.524,03/08/2022,48,48760.0,0.423,0.2447,0.1452,-0.0312,-0.104,1.6084
H255,0,A,25.52,O,0.23,-0.603,03/08/2022,90,37515.0,0.417,0.2078,0.1341,-0.0279,-0.1213,1.4657
H260,0,A,26.02,O,0.16,-0.636,03/08/2022,205,270175.0,0.422,0.1564,0.1109,-0.0234,-0.1462,1.2273
H262,0,E,26.27,O,0.14,-0.622,03/08/2022,21,31075.0,0.42,0.1342,0.1005,-0.021,-0.15,1.1085
H265,0,A,26.52,O,0.1,-0.677,03/08/2022,13,15316.0,0.428,0.1164,0.0893,-0.0193,-0.193,1.0029
H270,0,A,27.02,O,0.08,-0.667,03/08/2022,63,155308.0,0.432,0.0824,0.0688,-0.015,-0.1875,0.778
H272,0,E,27.27,O,0.07,-0.682,03/08/2022,19,16868.0,0.439,0.0726,0.0614,-0.0138,-0.1971,0.7066
H275,0,A,27.52,O,0.05,-0.722,03/08/2022,17,4513.0,0.445,0.063,0.0543,-0.0125,-0.25,0.6334
H277,0,E,27.77,O,0.04,-0.714,03/08/2022,5,1058.0,0.448,0.0536,0.0475,-0.011,-0.275,0.5576
H280,0,A,28.02,O,0.03,-0.786,03/08/2022,17,14129.0,0.462,0.0476,0.042,-0.0103,-0.3433,0.507
H282,0,E,28.27,O,0.04,-0.667,03/08/2022,8,4598.0,0.466,0.0427,0.0381,-0.0095,-0.2375,0.4651
H285,0,A,28.52,O,0.03,-0.727,03/08/2022,4,295.0,0.485,0.0369,0.0327,-0.0087,-0.29,0.4104
H290,0,A,29.02,O,0.03,-0.625,03/08/2022,3,1059.0,0.497,0.0269,0.0247,-0.0068,-0.2267,0.3156
H292,0,E,29.27,O,0.04,-0.429,03/08/2022,2,65.0,0.512,0.0218,0.0202,-0.0058,-0.145,0.2618
H295,0,A,29.52,O,0.04,-0.2,01/08/2022,2,80.0,0.508,0.0216,0.02,-0.0058,-0.145,0.2629
H297,0,E,29.77,O,0.05,0.25,02/08/2022,1,130.0,0.545,0.037,0.0286,-0.0099,-0.198,0.4188
H300,0,A,30.02,O,0.02,-0.6,03/08/2022,3,902.0,0.529,0.0162,0.0151,-0.0047,-0.235,0.2042
H302,0,E,30.27,O,0.05,0.0,29/07/2022,1,100.0,0.543,0.0288,0.0233,-0.0081,-0.162,0.3423
H310,0,A,30.52,O,0.05,0.25,02/08/2022,1,10.0,0.525,0.0162,0.015,-0.0047,-0.094,0.2081
H31,0,A,31.02,O,0.02,-0.333,27/07/2022,1,2.0,0.53,0.0317,0.0242,-0.0084,-0.42,0.3954
H312,0,E,31.27,O,0.07,0.75,22/07/2022,1,70.0,0.55,0.0308,0.0228,-0.0085,-0.1214,0.3857
H320,0,A,31.52,O,0.03,-0.4,21/07/2022,3,211.0,0.598,0.0186,0.0147,-0.0061,-0.2033,0.2348
H32,0,A,32.02,O,0.01,-0.9,14/07/2022,1,10.0,0.492,0.0319,0.0213,-0.0064,-0.64,0.4896
H322,0,E,32.27,O,0.02,0.0,29/07/2022,1,288.0,0.487,0.0307,0.0197,-0.0057,-0.285,0.5025
H325,0,A,32.52,O,0.03,-0.571,18/07/2022,1,15.0,0.504,0.0248,0.0172,-0.0054,-0.18,0.387
H335,0,A,33.02,O,0.07,-0.919,08/07/2022,1,70.0,0.519,0.0281,0.0163,-0.005,-0.0714,0.4887
H332,0,E,33.27,O,0.01,-0.667,27/07/2022,1,4.0,0.537,0.0313,0.0161,-0.0049,-0.49,0.5743
H33,0,A,33.52,O,,,,,,0.494,0.0466,0.0219,-0.0064,,0.8782
H345,0,A,34.02,O,0.09,-0.91,20/06/2022,1,1800.0,0.501,0.0125,0.0089,-0.0026,-0.0289,0.2346
H342,0,E,34.27,O,,,,,,0.472,0.0498,0.0221,-0.0061,,1.0128
H34,0,A,34.52,O,,,,,,0.475,0.0448,0.0203,-0.0056,,0.9261
H350,0,A,35.02,O,0.02,-0.5,11/07/2022,1,900.0,0.482,0.044,0.0196,-0.0057,-0.285,0.9198
H355,0,A,35.52,O,,,,,,0.488,0.0389,0.0175,-0.0052,,0.8291
H360,0,A,36.02,O,,,,,,,,,,,
H365,0,A,36.52,O,0.1,-0.444,14/06/2022,2,22.0,0.349,0.1382,0.0475,-0.012,-0.12,2.9421
H370,0,A,37.02,O,0.17,-0.191,09/06/2022,2,34.0,,,,,,
H375,0,A,37.52,O,0.1,-0.286,14/06/2022,2,24.0,0.479,0.0471,0.0187,-0.006,-0.06,1.0774
H347,0,A,38.02,O,,,,,,,,,,,
