TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L720,0,A,7.2,I,,,,,,,,,,,
L740,0,A,7.4,I,1.08,,24/11/2022,1,1080.0,0.697,0.7795,0.2042,-0.0164,-0.0151,0.6178
L760,0,A,7.6,I,,,,,,0.694,0.7325,0.2275,-0.0176,,0.6859
L780,0,A,7.8,I,,,,,,0.685,0.683,0.2497,-0.0185,,0.7423
L800,0,A,8.0,I,0.72,,24/11/2022,1,864.0,0.673,0.6327,0.2683,-0.019,-0.0264,0.7858
L820,1,A,8.2,A,0.88,,21/11/2022,2,1550.0,0.67,0.574,0.2808,-0.0194,-0.022,0.817
L840,1,A,8.4,A,0.45,-0.366,23/11/2022,1,450.0,0.663,0.5198,0.2879,-0.0193,-0.0429,0.8313
L860,1,A,8.6,O,0.4,-0.245,24/11/2022,4,2245.0,0.657,0.4627,0.2899,-0.0189,-0.0471,0.8287
L880,1,A,8.8,O,0.32,0.067,24/11/2022,1,192.0,0.66,0.406,0.282,-0.0183,-0.0572,0.8081
L900,0,A,9.0,O,0.3,0.111,24/11/2022,2,620.0,0.659,0.3571,0.2712,-0.0175,-0.0583,0.7783
L920,0,A,9.2,O,0.37,0.156,21/11/2022,2,231.0,0.661,0.3123,0.2562,-0.0166,-0.0447,0.7393
L940,0,A,9.4,O,0.17,0.062,24/11/2022,2,2510.0,0.657,0.2663,0.2394,-0.0152,-0.0892,0.6859
L960,0,A,9.6,O,0.16,-0.111,23/11/2022,2,56.0,0.646,0.2173,0.2184,-0.0133,-0.0829,0.6127
L980,0,A,9.8,O,0.13,0.0,24/11/2022,1,26.0,0.661,0.1808,0.1919,-0.012,-0.0925,0.5457
L100,0,A,10.0,O,0.11,-0.267,24/11/2022,2,396.0,0.679,0.1653,0.1755,-0.0117,-0.1062,0.5178
L105,0,A,10.5,O,0.07,0.0,24/11/2022,2,360.0,0.636,0.2064,0.1738,-0.0115,-0.1647,0.7366
L110,0,A,11.0,O,0.06,-0.4,21/11/2022,1,18.0,0.659,0.1347,0.1294,-0.0088,-0.1472,0.5509
L115,0,A,11.5,O,0.02,-0.833,24/11/2022,1,20.0,0.595,0.1823,0.1458,-0.0097,-0.4864,0.807
L120,0,A,12.0,O,0.05,0.25,24/11/2022,1,10.0,0.673,0.1146,0.1048,-0.0083,-0.166,0.5318
L125,0,A,12.5,O,0.06,-0.667,14/11/2022,1,30.0,0.604,0.1029,0.0951,-0.0065,-0.1083,0.5583
L130,0,A,13.0,O,,,,,,,,,,,
L132,0,E,13.25,O,0.2,0.0,18/10/2022,1,20.0,,,,,,
L135,0,A,13.5,O,,,,,,,,,,,
L137,0,E,13.75,O,,,,,,,,,,,
L180,0,A,18.0,O,,,,,,,,,,,
L200,0,A,20.0,O,0.5,0.0,26/08/2022,1,5000.0,,,,,,
L220,0,A,22.0,O,,,,,,,,,,,
L235,0,A,25.0,O,,,,,,,,,,,
L265,0,A,26.5,O,,,,,,,,,,,
L287,0,E,28.75,O,0.11,,15/09/2022,1,11.0,,,,,,
L290,0,A,29.0,O,,,,,,,,,,,
L292,0,E,29.25,O,,,,,,,,,,,
L295,0,A,29.5,O,0.04,,21/11/2022,2,900.0,,,,,,
L297,0,E,29.75,O,0.04,,21/11/2022,2,540.0,,,,,,
L300,0,A,30.0,O,,,,,,,,,,,
