TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I588,0,A,5.88,I,,,,,,,,,,,
I608,0,A,6.08,I,,,,,,,,,,,
I628,0,A,6.28,I,,,,,,,,,,,
I648,0,A,6.48,I,,,,,,,,,,,
I668,0,A,6.68,I,0.75,,22/08/2022,1,300.0,,,,,,
I688,0,A,6.88,I,,,,,,,,,,,
I708,0,A,7.08,I,,,,,,,,,,,
I728,0,A,7.28,I,0.5,0.282,25/08/2022,1,50.0,,,,,,
I748,0,A,7.48,A,0.39,,25/08/2022,1,2340.0,0.375,0.6269,0.5442,-0.0112,-0.0287,0.7029
I768,0,A,7.68,A,0.27,0.35,24/08/2022,1,27.0,,,,,,
I788,0,A,7.88,O,0.15,0.0,23/08/2022,3,290.0,0.397,0.2969,0.4564,-0.0088,-0.0587,0.6606
I808,0,A,8.08,O,0.11,0.0,24/08/2022,1,110.0,,,,,,
I818,0,E,8.18,O,,,,,,0.375,0.2609,0.4665,-0.0086,,0.6041
I828,0,A,8.28,O,0.07,0.0,23/08/2022,2,140.0,0.391,0.1762,0.3351,-0.0062,-0.0886,0.512
I848,0,A,8.48,O,0.05,,25/08/2022,1,5.0,0.358,0.126,0.3122,-0.0051,-0.102,0.3827
I868,0,A,8.68,O,,,,,,,,,,,
I908,0,A,9.08,O,0.01,,24/08/2022,1,60.0,,,,,,
I960,0,A,9.48,O,,,,,,,,,,,
