TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H170,0,A,1.7,I,,,,,,,,,,,
H180,0,A,1.8,I,,,,,,,,,,,
H190,0,A,1.9,I,,,,,,,,,,,
H199,0,A,2.0,I,,,,,,,,,,,
H210,0,A,2.1,I,,,,,,,,,,,
H220,0,A,2.2,I,,,,,,,,,,,
H230,0,A,2.3,I,,,,,,0.587,0.6193,1.0579,-0.0047,,0.2335
H240,0,A,2.4,I,0.12,,19/07/2022,1,960.0,0.586,0.6776,0.9636,-0.005,-0.0417,0.2278
H249,0,A,2.5,A,0.18,0.636,21/07/2022,1,18.0,0.577,0.5519,1.0885,-0.0051,-0.0283,0.2492
H260,0,A,2.6,O,0.08,,20/07/2022,1,8.0,0.604,0.4185,1.0394,-0.0051,-0.0638,0.2431
H270,0,A,2.7,O,0.16,,12/07/2022,2,640.0,0.562,0.3712,1.054,-0.0047,-0.0294,0.241
H280,0,A,2.8,O,0.16,0.6,13/07/2022,1,144.0,0.646,0.196,0.6951,-0.0035,-0.0219,0.1702
H290,0,A,2.9,O,0.05,0.0,21/07/2022,1,500.0,0.63,0.1968,0.7042,-0.0036,-0.072,0.1732
H299,0,A,3.0,O,,,,,,0.665,0.1759,0.5634,-0.0032,,0.1785
H310,0,A,3.1,O,,,,,,0.662,0.1897,0.5142,-0.003,,0.216
H320,0,A,3.2,O,,,,,,0.626,0.2519,0.5024,-0.0029,,0.3238
H330,0,A,3.3,O,0.07,0.0,24/06/2022,1,7.0,0.685,0.2237,0.4226,-0.0027,-0.0386,0.3087
H340,0,A,3.4,O,,,,,,,,,,,
H349,0,A,3.5,O,,,,,,,,,,,
H360,0,A,3.6,O,,,,,,,,,,,
H370,0,A,3.7,O,,,,,,,,,,,
H380,0,A,3.8,O,,,,,,,,,,,
H390,0,A,3.9,O,,,,,,,,,,,
H399,0,A,4.0,O,,,,,,,,,,,
H410,0,A,4.1,O,,,,,,,,,,,
H420,0,A,4.2,O,,,,,,,,,,,
H430,0,A,4.3,O,,,,,,,,,,,
H440,0,A,4.4,O,,,,,,,,,,,
H449,0,A,4.5,O,,,,,,,,,,,
H460,0,A,4.6,O,,,,,,,,,,,
H470,0,A,4.7,O,,,,,,,,,,,
H480,0,A,4.8,O,,,,,,,,,,,
H490,0,A,4.9,O,,,,,,,,,,,
H499,0,A,5.0,O,,,,,,,,,,,
