TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
K325,0,A,32.33,I,17.37,0.395,01/11/2022,2,3423.0,,,,,,
K335,0,A,33.33,I,,,,,,,,,,,
K345,0,A,34.33,I,13.93,,18/10/2022,1,20895.0,,,,,,
K355,0,A,35.33,I,14.24,0.204,09/11/2022,5,73048.0,,,,,,
K365,0,A,36.33,I,9.71,,14/10/2022,1,53405.0,,,,,,
K370,0,A,36.83,I,12.5,0.071,01/11/2022,1,2500.0,,,,,,
K380,0,A,37.83,I,,,,,,,,,,,
K385,0,A,38.33,I,10.05,0.196,07/11/2022,1,3015.0,,,,,,
K390,0,A,38.83,I,,,,,,,,,,,
K395,0,A,39.33,I,,,,,,,,,,,
K400,0,A,39.83,I,,,,,,,,,,,
K403,0,E,40.08,I,6.0,-0.306,26/10/2022,1,900000.0,,,,,,
K405,0,A,40.33,I,,,,,,,,,,,
K410,0,A,40.83,I,7.64,,18/10/2022,1,11460.0,,,,,,
K415,0,A,41.33,I,7.4,-0.024,08/11/2022,2,1488.0,0.354,0.7336,0.0522,-0.0404,-0.0055,5.8302
K420,0,A,41.83,I,7.8,0.114,01/11/2022,2,31100.0,0.352,0.7062,0.0551,-0.041,-0.0053,6.1131
K425,0,A,42.33,I,3.83,0.49,19/09/2022,8,23972.0,0.353,0.6751,0.0575,-0.0416,-0.0109,6.3839
K430,0,A,42.83,I,4.2,0.173,25/10/2022,1,420.0,0.345,0.8093,0.0502,-0.0433,-0.0103,4.2799
K435,0,A,43.33,I,5.58,0.213,09/11/2022,2,13976.0,0.329,0.8553,0.0463,-0.0418,-0.0075,3.4011
K440,0,A,43.83,I,5.45,0.247,20/10/2022,1,3815.0,0.343,0.7658,0.0638,-0.0494,-0.0091,4.3005
K445,0,A,44.33,I,4.19,-0.233,08/11/2022,1,1257.0,0.342,0.7311,0.0687,-0.0511,-0.0122,4.6261
K450,0,A,44.83,I,3.12,-0.22,08/11/2022,1,312.0,0.342,0.6929,0.0733,-0.0524,-0.0168,4.9237
K456,0,E,45.08,I,3.95,0.771,20/10/2022,1,2765.0,0.341,0.6742,0.0754,-0.0529,-0.0134,5.0493
K455,0,A,45.33,I,3.1,-0.04,07/11/2022,2,632.0,0.332,0.7244,0.072,-0.0521,-0.0168,4.6641
K460,0,A,45.83,I,3.25,-0.188,09/11/2022,1,3250.0,0.388,0.7198,0.077,-0.0697,-0.0214,3.7915
K465,0,A,46.33,I,2.6,0.061,08/11/2022,1,260.0,0.304,0.9156,0.0463,-0.0443,-0.017,1.6992
K470,0,A,46.83,I,1.97,-0.066,08/11/2022,3,2380.0,0.312,0.8159,0.1048,-0.0687,-0.0349,2.1657
K475,0,A,47.33,I,1.93,0.116,08/11/2022,7,5224.0,0.317,0.7524,0.1227,-0.0771,-0.0399,2.5716
K480,0,A,47.83,A,1.72,0.0,09/11/2022,3,1688.0,0.336,0.7105,0.1346,-0.0905,-0.0526,2.5859
K485,1,A,48.33,A,1.28,-0.072,09/11/2022,9,7690.0,0.327,0.5826,0.159,-0.0946,-0.0739,2.9286
K490,1,A,48.83,A,1.01,-0.098,09/11/2022,4,14098.0,0.327,0.5019,0.1625,-0.0944,-0.0935,2.9929
K495,1,A,49.33,A,0.77,-0.049,09/11/2022,98,110495.0,0.329,0.4224,0.1585,-0.0913,-0.1186,2.9362
K500,1,A,49.83,O,0.55,0.0,09/11/2022,143,84798.0,0.328,0.3461,0.15,-0.0845,-0.1536,2.7674
K510,0,A,50.83,O,0.51,0.961,09/11/2022,4,1317.0,0.33,0.217,0.1185,-0.0663,-0.13,2.2041
K520,0,A,51.83,O,0.22,0.158,09/11/2022,5,944.0,0.324,0.0965,0.0659,-0.0341,-0.1552,1.3694
K530,0,A,52.83,O,0.1,-0.091,09/11/2022,2,62.0,0.338,0.0649,0.0438,-0.0245,-0.2452,1.0809
K540,0,A,53.83,O,0.08,-0.2,04/11/2022,3,2410.0,0.347,0.152,0.0654,-0.0424,-0.5299,2.434
