TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A660,0,E,66000.0,I,,,,,,,,,,,
A670,0,E,67000.0,I,,,,,,,,,,,
A629,0,E,68000.0,I,,,,,,,,,,,
A690,0,E,69000.0,I,,,,,,,,,,,
A700,0,E,70000.0,I,,,,,,,,,,,
A710,0,E,71000.0,I,,,,,,,,,,,
A720,0,E,72000.0,I,,,,,,,,,,,
A730,0,E,73000.0,I,,,,,,,,,,,
A740,0,E,74000.0,I,,,,,,,,,,,
A750,0,E,75000.0,I,,,,,,,,,,,
A760,0,E,76000.0,I,,,,,,,,,,,
A770,0,E,77000.0,I,,,,,,,,,,,
A780,0,E,78000.0,I,,,,,,,,,,,
A790,0,E,79000.0,I,,,,,,,,,,,
A800,0,E,80000.0,I,37776.0,-0.087,07/11/2022,1,6195264.0,,,,,,
A810,0,E,81000.0,I,,,,,,,,,,,
A820,0,E,82000.0,I,,,,,,,,,,,
A830,0,E,83000.0,I,,,,,,,,,,,
A840,0,E,84000.0,I,,,,,,,,,,,
A850,0,E,85000.0,I,,,,,,,,,,,
A860,0,E,86000.0,I,,,,,,,,,,,
A870,0,E,87000.0,I,,,,,,,,,,,
A880,0,E,88000.0,I,,,,,,,,,,,
A890,0,E,89000.0,I,,,,,,,,,,,
A900,0,E,90000.0,I,,,,,,,,,,,
A910,0,E,91000.0,I,,,,,,,,,,,
A920,0,E,92000.0,I,,,,,,,,,,,
A930,0,E,93000.0,I,,,,,,,,,,,
A940,0,E,94000.0,I,,,,,,,,,,,
A950,0,E,95000.0,I,,,,,,,,,,,
A960,0,E,96000.0,I,,,,,,,,,,,
A970,0,E,97000.0,I,,,,,,,,,,,
A980,0,E,98000.0,I,8443.0,,12/12/2022,1,16886.0,,,,,,
A990,0,E,99000.0,I,,,,,,,,,,,
A100,0,E,100000.0,I,,,,,,,,,,,
A101,1,E,101000.0,I,6164.0,-0.41,15/12/2022,5,2205448.0,,,,,,
A102,1,E,102000.0,A,4719.0,-0.066,15/12/2022,19,105688.0,,,,,,
A3,1,E,103000.0,A,4411.0,-0.009,15/12/2022,30,340288.0,,,,,,
A4,1,E,104000.0,A,3820.0,0.004,15/12/2022,6,63993.0,,,,,,
A5,1,E,105000.0,A,3390.0,0.039,15/12/2022,19,703357.0,,,,,,
A6,1,E,106000.0,O,2950.0,0.073,15/12/2022,10,431665.0,,,,,,
A7,1,E,107000.0,O,2425.0,0.073,15/12/2022,8,504710.0,,,,,,
A8,1,E,108000.0,O,1780.0,-0.11,15/12/2022,23,13635794.0,,,,,,
A9,1,E,109000.0,O,1462.0,-0.082,15/12/2022,19,862212.0,,,,,,
A10,1,E,110000.0,O,1190.0,-0.05,15/12/2022,52,1281102.0,,,,,,
A11,1,E,111000.0,O,944.0,-0.134,15/12/2022,35,2435551.0,,,,,,
A12,1,E,112000.0,O,762.0,-0.022,15/12/2022,22,2322949.0,,,,,,
A13,1,E,113000.0,O,700.0,0.0,15/12/2022,15,11144733.0,,,,,,
A14,1,E,114000.0,O,668.0,0.166,15/12/2022,91,1007808.0,,,,,,
A15,1,E,115000.0,O,436.0,-0.05,15/12/2022,6,11272.0,,,,,,
A16,1,E,116000.0,O,368.0,-0.037,14/12/2022,51,73796.0,,,,,,
A17,0,E,117000.0,O,260.0,-0.205,14/12/2022,30,63742.0,,,,,,
A18,0,E,118000.0,O,228.0,-0.026,15/12/2022,1,22800.0,,,,,,
A19,0,E,119000.0,O,146.0,-0.569,14/12/2022,11,16460.0,,,,,,
A20,0,E,120000.0,O,17.0,-0.929,15/12/2022,1,278001.0,,,,,,
A21,0,E,121000.0,O,91.0,-0.697,14/12/2022,1,91.0,,,,,,
A22,0,E,122000.0,O,250.0,-0.132,12/12/2022,13,10071.0,,,,,,
A123,0,E,123000.0,O,120.0,-0.462,12/12/2022,6,6733.0,,,,,,
A124,0,E,124000.0,O,120.0,-0.333,12/12/2022,2,1150.0,,,,,,
A125,0,E,125000.0,O,45.0,-0.73,14/12/2022,1,180.0,,,,,,
A126,0,E,126000.0,O,248.0,0.06,07/12/2022,5,4678.0,,,,,,
A127,0,E,127000.0,O,190.0,-0.069,07/12/2022,7,5720.0,,,,,,
A128,0,E,128000.0,O,35.0,-0.461,13/12/2022,3,345.0,,,,,,
A129,0,E,129000.0,O,251.0,-0.31,30/11/2022,4,2636.0,,,,,,
A130,0,E,130000.0,O,100.0,-0.167,13/12/2022,1,900.0,,,,,,
A131,0,E,131000.0,O,118.0,-0.496,08/12/2022,1,41300.0,,,,,,
A132,0,E,132000.0,O,2.0,-0.975,12/12/2022,1,1000.0,,,,,,
A133,0,E,133000.0,O,380.0,-0.331,14/11/2022,1,1140.0,,,,,,
A134,0,E,134000.0,O,35.0,-0.956,07/12/2022,1,70.0,,,,,,
A135,0,E,135000.0,O,635.0,-0.082,28/10/2022,1,1079500.0,,,,,,
A136,0,E,136000.0,O,55.0,-0.214,06/12/2022,4,2150.0,,,,,,
A137,0,E,137000.0,O,,,,,,,,,,,
A138,0,E,138000.0,O,,,,,,,,,,,
A139,0,E,139000.0,O,,,,,,,,,,,
A140,0,E,140000.0,O,530.0,1.65,27/09/2022,1,3683500.0,,,,,,
A141,0,E,141000.0,O,,,,,,,,,,,
A142,0,E,142000.0,O,,,,,,,,,,,
A143,0,E,143000.0,O,367.0,-0.013,07/11/2022,1,60188.0,,,,,,
A144,0,E,144000.0,O,41.0,,28/11/2022,8,960.0,,,,,,
A145,0,E,145000.0,O,,,,,,,,,,,
A146,0,E,146000.0,O,,,,,,,,,,,
A147,0,E,147000.0,O,,,,,,,,,,,
A148,0,E,148000.0,O,,,,,,,,,,,
A149,0,E,149000.0,O,,,,,,,,,,,
A150,0,E,150000.0,O,,,,,,,,,,,
A151,0,E,151000.0,O,,,,,,,,,,,
A152,0,E,152000.0,O,,,,,,,,,,,
A153,0,E,153000.0,O,,,,,,,,,,,
A154,0,E,154000.0,O,,,,,,,,,,,
A155,0,E,155000.0,O,,,,,,,,,,,
A156,0,E,156000.0,O,,,,,,,,,,,
A157,0,E,157000.0,O,,,,,,,,,,,
A158,0,E,158000.0,O,,,,,,,,,,,
