TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H100,0,A,1.0,I,1.38,,27/06/2022,2,278.0,,,,,,
H110,0,A,1.1,I,0.99,0.222,03/08/2022,1,594.0,,,,,,
H120,0,A,1.2,I,,,,,,,,,,,
H130,0,A,1.3,I,,,,,,,,,,,
H140,0,A,1.4,I,,,,,,,,,,,
H150,0,A,1.5,I,,,,,,,,,,,
H160,0,A,1.6,I,0.6,0.2,04/08/2022,1,60.0,,,,,,
H170,0,A,1.7,I,0.63,0.212,05/08/2022,4,358.0,0.452,0.9119,0.8058,-0.002,-0.0032,0.0701
H180,0,A,1.8,I,0.42,-0.067,05/08/2022,5,534.0,0.85,0.9038,0.4327,-0.0039,-0.0093,0.0791
H190,0,A,1.9,I,0.42,0.235,05/08/2022,2,1700.0,0.83,0.8982,0.4676,-0.0043,-0.0102,0.0815
H200,0,A,2.0,I,0.3,0.304,05/08/2022,43,21068.0,0.425,0.951,0.5259,-0.002,-0.0067,0.0461
H210,1,A,2.1,I,0.2,0.176,05/08/2022,27,21638.0,0.549,0.8042,1.1088,-0.0043,-0.0215,0.1255
H220,1,A,2.2,I,0.15,0.364,05/08/2022,100,72908.0,0.567,0.677,1.3867,-0.0054,-0.036,0.1638
H230,1,A,2.3,A,0.1,0.667,05/08/2022,136,55483.0,0.544,0.6367,1.5474,-0.0058,-0.058,0.1674
H240,1,A,2.4,O,0.07,0.75,05/08/2022,113,24127.0,0.549,0.4587,1.6282,-0.0059,-0.0843,0.1762
H250,1,A,2.5,O,0.04,1.0,05/08/2022,65,5652.0,0.586,0.3371,1.3967,-0.0057,-0.1425,0.1629
H260,0,A,2.6,O,0.02,0.0,05/08/2022,63,4944.0,0.597,0.2357,1.1501,-0.0049,-0.245,0.1379
H265,0,E,2.65,O,0.02,0.0,05/08/2022,12,961.0,0.665,0.1695,0.8661,-0.0043,-0.215,0.1107
H270,0,A,2.7,O,0.02,0.0,05/08/2022,1,40.0,0.667,0.1673,0.8413,-0.0043,-0.215,0.1117
H275,0,E,2.75,O,0.01,0.0,04/08/2022,4,155.0,0.77,0.1509,0.6905,-0.0046,-0.46,0.1031
H280,0,A,2.8,O,0.01,0.0,05/08/2022,1,20.0,0.73,0.1041,0.5646,-0.0033,-0.33,0.0792
H285,0,E,2.85,O,0.01,0.0,05/08/2022,31,4611.0,0.727,0.1024,0.5505,-0.0033,-0.33,0.0797
H290,0,A,2.9,O,0.01,0.0,05/08/2022,3,1930.0,,,,,,
H295,0,E,2.95,O,0.01,0.0,05/08/2022,4,800.0,0.837,0.0923,0.445,-0.0035,-0.35,0.0735
H299,0,A,3.0,O,0.01,0.0,05/08/2022,1,1.0,0.895,0.0876,0.4023,-0.0036,-0.36,0.0704
H305,0,E,3.05,O,0.01,0.0,05/08/2022,7,852.0,0.95,0.0821,0.3499,-0.0034,-0.34,0.0692
H310,0,A,3.1,O,0.01,0.0,02/08/2022,2,50.0,0.705,0.0763,0.301,-0.0015,-0.15,0.0969
H315,0,E,3.15,O,0.01,0.0,18/07/2022,3,32.0,0.706,0.0751,0.293,-0.0015,-0.15,0.0971
H320,0,A,3.2,O,0.01,0.0,04/08/2022,1,60.0,0.739,0.0729,0.275,-0.0015,-0.15,0.0945
H325,0,E,3.25,O,0.01,-0.667,13/07/2022,1,12.0,0.787,0.0855,0.2756,-0.0017,-0.17,0.1125
H330,0,A,3.3,O,0.01,0.0,18/07/2022,3,110.0,0.767,0.0686,0.2424,-0.0014,-0.14,0.0939
H335,0,E,3.35,O,,,,,,0.567,0.1346,0.3816,-0.0017,,0.2167
H340,0,A,3.4,O,0.01,0.0,05/08/2022,2,100.0,0.808,0.0649,0.2172,-0.0013,-0.13,0.0916
H345,0,E,3.45,O,0.01,-0.5,04/08/2022,3,10.0,0.815,0.0782,0.2303,-0.0014,-0.14,0.1138
H349,0,A,3.5,O,0.01,0.0,20/07/2022,1,4.0,0.745,0.0653,0.219,-0.0013,-0.13,0.0992
H355,0,E,3.55,O,,,,,,0.626,0.1104,0.3022,-0.0016,,0.1878
H360,0,A,3.6,O,0.02,1.0,11/07/2022,2,4.0,0.887,0.0601,0.1821,-0.0012,-0.06,0.0881
H370,0,A,3.7,O,0.01,0.0,22/07/2022,3,300.0,0.834,0.0591,0.1778,-0.0012,-0.12,0.0934
H380,0,A,3.8,O,0.01,0.0,04/08/2022,2,299.0,0.78,0.0583,0.1749,-0.0011,-0.11,0.0996
H390,0,A,3.9,O,0.01,-0.5,30/06/2022,1,10.0,0.675,0.0739,0.2073,-0.0012,-0.12,0.14
H399,0,A,4.0,O,0.01,0.0,01/07/2022,1,1.0,0.699,0.0715,0.1946,-0.0013,-0.13,0.1371
H405,0,E,4.05,O,0.01,0.0,04/08/2022,2,38.0,0.738,0.0562,0.1624,-0.0011,-0.11,0.1068
H410,0,A,4.1,O,0.01,0.0,27/06/2022,4,600.0,0.7,0.0562,0.1635,-0.001,-0.1,0.1118
H420,0,A,4.2,O,0.01,-0.75,24/06/2022,1,100.0,0.587,0.0727,0.2033,-0.0012,-0.12,0.1598
H430,0,A,4.3,O,0.01,,24/06/2022,1,100.0,0.614,0.07,0.189,-0.0012,-0.12,0.1552
H440,0,A,4.4,O,0.03,2.0,21/06/2022,2,10.0,0.64,0.0679,0.1771,-0.0012,-0.04,0.1516
H449,0,A,4.5,O,,,,,,0.673,0.0528,0.1435,-0.001,,0.1201
H460,0,A,4.6,O,0.03,2.0,21/06/2022,7,5103.0,0.711,0.0631,0.1527,-0.0012,-0.04,0.1414
H470,0,A,4.7,O,,,,,,,,,,,
H480,0,A,4.8,O,0.01,,21/06/2022,1,500.0,,,,,,
H490,0,A,4.9,O,0.01,0.0,21/06/2022,1,500.0,,,,,,
H499,0,A,5.0,O,0.01,0.0,19/07/2022,2,1150.0,0.776,0.0467,0.1119,-0.001,-0.1,0.1098
H520,0,A,5.2,O,0.01,-0.667,17/06/2022,1,600.0,0.731,0.0452,0.1055,-0.0009,-0.09,0.1174
H540,0,A,5.4,O,,,,,,,,,,,
