TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A124,0,A,11.8,I,13.33,-0.006,29/12/2022,1,3999.0,,,,,,
A123,0,A,15.8,I,,,,,,,,,,,
A126,0,A,16.3,I,,,,,,,,,,,
A119,0,E,16.55,I,,,,,,,,,,,
A131,0,A,16.8,I,,,,,,,,,,,
A173,0,A,17.3,I,,,,,,,,,,,
A148,0,E,17.55,I,,,,,,,,,,,
A141,0,A,17.8,I,,,,,,,,,,,
A129,0,A,18.3,I,5.97,-0.163,04/01/2023,4,5969.0,,,,,,
A193,0,E,18.55,I,5.74,-0.034,19/12/2022,2,11420.0,0.531,0.9874,0.0108,-0.0134,-0.0023,0.1861
A166,0,A,18.8,I,5.39,-0.156,04/01/2023,4,21590.0,0.486,0.9923,0.008,-0.0123,-0.0023,0.1173
A185,0,A,19.3,I,5.04,-0.054,04/01/2023,1,5040.0,0.477,0.9898,0.0107,-0.0132,-0.0026,0.144
A176,0,A,19.8,I,4.62,-0.133,04/01/2023,2,9170.0,0.424,0.9912,0.0111,-0.0129,-0.0028,0.1204
A181,0,A,20.3,I,4.95,0.266,06/01/2023,1,4950.0,0.395,0.9879,0.0158,-0.0137,-0.0028,0.1594
A206,0,A,20.8,I,3.54,-0.054,04/01/2023,1,3540.0,,,,,,
A203,0,A,21.3,I,3.84,0.215,09/01/2023,2,20445.0,0.42,0.999,0.002,-0.012,-0.0031,0.0133
A230,0,A,21.8,I,4.55,0.096,11/01/2023,1,4550.0,0.5,0.9848,0.0177,-0.0175,-0.0039,0.1655
A228,0,E,22.05,I,4.4,1.076,11/01/2023,2,42650.0,0.466,0.985,0.0189,-0.0172,-0.0039,0.164
A235,0,A,22.3,I,3.55,0.145,10/01/2023,1,7100.0,0.459,0.98,0.0244,-0.0187,-0.0053,0.2095
A240,0,A,22.8,I,3.25,0.032,11/01/2023,1,3250.0,0.448,0.9645,0.0404,-0.0227,-0.007,0.3376
A158,0,E,23.05,I,3.0,0.136,10/01/2023,1,3000.0,0.384,0.9734,0.0372,-0.0194,-0.0065,0.2664
A245,0,A,23.3,I,2.34,0.109,09/01/2023,1,234.0,0.407,0.9517,0.0571,-0.0246,-0.0105,0.4333
A216,0,E,23.55,I,3.0,0.744,11/01/2023,2,3200.0,0.392,0.9377,0.0789,-0.0278,-0.0093,0.4868
A250,0,A,23.8,I,2.6,0.106,11/01/2023,14,17318.0,0.359,0.9359,0.081,-0.0259,-0.01,0.5421
A223,0,E,24.05,I,2.29,0.186,11/01/2023,2,4790.0,0.34,0.9216,0.0996,-0.0273,-0.0119,0.6325
A255,0,A,24.3,I,1.81,-0.027,11/01/2023,15,48683.0,0.326,0.9335,0.0907,-0.0254,-0.014,0.5642
A201,0,E,24.55,I,1.79,0.119,11/01/2023,4,13406.0,0.328,0.8624,0.1553,-0.0336,-0.0188,0.9503
A260,0,A,24.8,I,1.71,0.257,11/01/2023,42,149888.0,0.322,0.8978,0.1257,-0.03,-0.0176,0.7846
A195,0,E,25.05,I,1.37,0.151,11/01/2023,37,33647.0,0.327,0.7712,0.2314,-0.0433,-0.0316,1.2096
A265,0,A,25.3,I,1.25,0.226,11/01/2023,299,1137453.0,0.282,0.8156,0.2332,-0.0364,-0.0291,1.0769
A236,0,E,25.55,I,1.29,0.613,11/01/2023,36,20302.0,0.287,0.7294,0.2856,-0.0419,-0.0325,1.3352
A270,1,A,25.8,I,0.88,0.333,11/01/2023,191,288864.0,0.276,0.677,0.3216,-0.0427,-0.0485,1.4514
A218,0,E,26.05,A,0.7,0.346,11/01/2023,203,517712.0,0.276,0.5922,0.3484,-0.0442,-0.0632,1.5695
A275,1,A,26.3,A,0.56,0.436,11/01/2023,207,556867.0,0.274,0.5034,0.3602,-0.0438,-0.0782,1.6128
A248,0,E,26.55,A,0.44,0.467,11/01/2023,198,299236.0,0.277,0.416,0.348,-0.0422,-0.0959,1.5769
A261,1,A,26.8,A,0.31,0.348,11/01/2023,103,86292.0,0.277,0.3328,0.3248,-0.0385,-0.1242,1.469
A278,0,E,27.05,O,0.25,0.562,11/01/2023,65,143865.0,0.275,0.2591,0.2916,-0.0336,-0.1343,1.3094
A281,1,A,27.3,O,0.11,-0.083,11/01/2023,463,276014.0,0.277,0.1965,0.2469,-0.0286,-0.2603,1.1202
A266,0,E,27.55,O,0.13,0.625,11/01/2023,28,28413.0,0.282,0.1473,0.2018,-0.024,-0.1843,0.9315
A287,1,A,27.8,O,0.1,0.429,11/01/2023,14,4498.0,0.287,0.109,0.1607,-0.0196,-0.1963,0.7557
A290,0,E,28.05,O,0.07,0.167,11/01/2023,58,4885.0,0.29,0.085,0.1322,-0.0164,-0.235,0.6306
A289,0,A,28.3,O,0.04,0.0,11/01/2023,8,2859.0,0.3,0.0669,0.1067,-0.0141,-0.3519,0.526
A293,0,E,28.55,O,0.03,0.0,11/01/2023,4,723.0,0.308,0.0491,0.0816,-0.0113,-0.3753,0.4124
A284,0,A,28.8,O,0.02,-0.333,11/01/2023,1,2.0,0.331,0.0382,0.0621,-0.0098,-0.4884,0.3352
A243,0,E,29.05,O,0.02,0.0,10/01/2023,3,28.0,0.332,0.0294,0.0498,-0.0079,-0.3954,0.271
A285,0,A,29.3,O,0.01,-0.5,11/01/2023,3,21.0,0.373,0.0266,0.0411,-0.0081,-0.8067,0.2479
A294,0,E,29.55,O,0.01,-0.5,10/01/2023,1,1.0,0.415,0.0244,0.0346,-0.0083,-0.8265,0.2292
A301,0,A,29.8,O,0.01,-0.5,11/01/2023,1,10.0,0.417,0.0241,0.0338,-0.0083,-0.8288,0.2286
A304,0,E,30.05,O,0.01,-0.5,10/01/2023,19,44.0,0.424,0.0239,0.0328,-0.0084,-0.8388,0.2281
A303,0,A,30.3,O,0.01,-0.5,11/01/2023,5,880.0,0.481,0.0196,0.022,-0.0067,-0.6665,0.2132
A309,0,E,30.55,O,0.01,0.0,03/01/2023,1,1.0,0.493,0.0191,0.021,-0.0067,-0.6712,0.2095
A305,0,A,30.8,O,0.01,0.0,11/01/2023,7,2000.0,0.526,0.02,0.0231,-0.0088,-0.8775,0.1938
A319,0,E,31.05,O,0.02,1.0,09/01/2023,3,980.0,0.471,0.0187,0.0201,-0.006,-0.3023,0.2213
A311,0,A,31.3,O,0.01,0.0,09/01/2023,2,31.0,0.379,0.0171,0.0168,-0.0032,-0.3185,0.2815
A318,0,E,31.55,O,0.01,0.0,09/01/2023,1,1.0,0.39,0.0166,0.0159,-0.0032,-0.3188,0.2743
A321,0,A,31.8,O,0.01,-0.5,09/01/2023,1,1.0,0.394,0.0165,0.0156,-0.0032,-0.3218,0.2745
A324,0,E,32.05,O,0.01,-0.5,27/12/2022,6,50.0,0.414,0.0159,0.0144,-0.0032,-0.3244,0.2643
A326,0,A,32.3,O,0.01,-0.5,26/12/2022,2,10.0,0.406,0.02,0.0172,-0.0039,-0.3859,0.3362
