TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H500,0,A,5.04,I,,,,,,,,,,,
H520,0,A,5.24,I,,,,,,0.429,0.7914,0.4555,-0.0074,,0.4212
H540,0,A,5.44,I,0.45,0.324,09/08/2022,1,135.0,0.406,0.7333,0.652,-0.0089,-0.0198,0.408
H560,0,A,5.64,I,0.83,0.976,10/08/2022,4,7616.0,0.456,0.9582,0.1838,-0.006,-0.0072,0.0951
H580,0,A,5.84,I,0.88,0.467,15/08/2022,1,352.0,0.425,0.9165,0.3386,-0.0078,-0.0089,0.1637
H600,0,A,6.04,I,0.59,0.735,12/08/2022,4,15990.0,,,,,,
H620,0,A,6.24,I,0.55,0.31,15/08/2022,3,31332.0,,,,,,
H650,0,E,6.34,I,0.45,0.286,15/08/2022,1,2250.0,0.522,0.5555,0.7707,-0.0187,-0.0416,0.3883
H640,0,A,6.44,I,0.18,-0.053,12/08/2022,1,36.0,0.331,0.7695,0.9812,-0.0121,-0.0672,0.2843
H680,0,A,6.64,A,0.21,0.5,15/08/2022,3,1402.0,0.452,0.4255,0.9431,-0.0177,-0.0843,0.3605
H68,0,A,6.84,A,0.12,1.4,15/08/2022,2,810.0,0.377,0.3463,1.0402,-0.0143,-0.1192,0.3466
H700,0,A,7.04,O,0.05,0.0,15/08/2022,2,108.0,0.378,0.2803,0.3617,-0.0049,-0.098,0.8288
H720,0,A,7.24,O,0.02,-0.5,12/08/2022,1,10.0,0.544,0.0619,0.1546,-0.0032,-0.16,0.1771
