TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I105,0,A,10.14,I,,,,,,,,,,,
I115,0,A,11.14,I,,,,,,,,,,,
I125,0,A,12.14,I,,,,,,,,,,,
I135,0,A,13.14,I,,,,,,,,,,,
I140,0,A,13.64,I,,,,,,,,,,,
I150,0,A,14.64,I,,,,,,,,,,,
I155,0,A,15.14,I,,,,,,,,,,,
I160,0,A,15.64,I,4.73,0.261,15/08/2022,1,9460.0,,,,,,
I165,0,A,16.14,I,3.9,0.013,08/08/2022,1,3900.0,,,,,,
I170,0,A,16.64,I,3.24,,10/08/2022,1,4860.0,,,,,,
I175,0,A,17.14,I,,,,,,,,,,,
I180,0,A,17.64,I,1.67,0.44,27/07/2022,3,3016.0,0.319,0.8059,0.117,-0.0161,-0.0096,2.0219
I185,0,A,18.14,I,2.7,0.274,19/08/2022,1,2700.0,0.31,0.7413,0.1419,-0.0169,-0.0063,2.3785
I190,0,A,18.64,I,1.83,-0.194,25/08/2022,1,915.0,0.306,0.777,0.148,-0.0182,-0.0099,1.9635
I195,0,A,19.14,I,1.41,-0.09,24/08/2022,1,141.0,0.285,0.7976,0.1582,-0.0184,-0.013,1.7622
I200,1,A,19.64,I,1.2,0.091,25/08/2022,2,250.0,0.307,0.8032,0.1499,-0.0205,-0.0171,1.6697
I205,1,A,20.14,A,0.65,-0.235,25/08/2022,17,14567.0,0.304,0.54,0.2669,-0.0252,-0.0388,1.9436
I210,1,A,20.64,O,0.41,-0.255,25/08/2022,31,19356.0,0.301,0.4368,0.2661,-0.024,-0.0585,1.9395
I215,1,A,21.14,O,0.31,-0.162,25/08/2022,423,232239.0,0.319,0.2959,0.2215,-0.0211,-0.0681,1.6901
I220,1,A,21.64,O,0.15,-0.348,25/08/2022,13,5736.0,0.304,0.2133,0.1945,-0.0168,-0.112,1.4319
I225,0,A,22.14,O,0.1,-0.167,25/08/2022,15,345.0,0.29,0.1674,0.1731,-0.0139,-0.139,1.251
I230,0,A,22.64,O,0.08,0.6,25/08/2022,1,40.0,0.295,0.1183,0.1235,-0.0101,-0.1262,1.0774
I235,0,A,23.14,O,0.01,,25/08/2022,1,1.0,,,,,,
I240,0,A,23.64,O,0.05,0.667,25/08/2022,3,1102.0,,,,,,
I245,0,A,24.14,O,0.04,-0.957,23/08/2022,1,40.0,,,,,,
I250,0,A,24.64,O,0.19,0.267,17/08/2022,1,19.0,,,,,,
I255,0,A,25.14,O,,,,,,,,,,,
I260,0,A,25.64,O,,,,,,,,,,,
I270,0,A,26.64,O,0.27,-0.156,24/05/2022,1,621.0,,,,,,
I280,0,A,27.64,O,,,,,,,,,,,
I290,0,A,28.64,O,0.02,,18/07/2022,1,200.0,,,,,,
I300,0,A,29.64,O,,,,,,,,,,,
