TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B151,0,A,14.94,I,6.1,,20/01/2023,1,12200.0,,,,,,
B156,0,A,15.44,I,,,,,,,,,,,
B161,0,A,15.94,I,,,,,,,,,,,
B166,0,A,16.44,I,,,,,,,,,,,
B171,0,A,16.94,I,,,,,,,,,,,
B176,0,A,17.44,I,,,,,,0.506,0.7812,0.0874,-0.0234,,1.9704
B181,0,A,17.94,I,3.3,0.347,11/01/2023,1,330.0,0.552,0.7206,0.0927,-0.0273,-0.0083,2.2084
B186,0,A,18.44,I,2.8,0.152,18/01/2023,1,560.0,0.504,0.6755,0.1069,-0.0262,-0.0094,2.4003
B191,0,A,18.94,I,3.2,0.203,25/01/2023,2,3430.0,0.509,0.6827,0.1054,-0.0278,-0.0087,2.3672
B196,0,A,19.44,I,2.74,0.096,26/01/2023,1,548.0,0.502,0.7153,0.1108,-0.0306,-0.0112,2.0723
B201,0,A,19.94,I,2.31,0.242,26/01/2023,1,462.0,0.421,0.7584,0.1307,-0.0285,-0.0123,1.7701
B206,0,A,20.44,I,2.0,0.081,26/01/2023,2,2400.0,0.418,0.684,0.15,-0.0305,-0.0153,2.0174
B211,1,A,20.94,I,1.55,0.007,26/01/2023,9,11630.0,0.464,0.6625,0.1491,-0.0369,-0.0238,1.929
B213,0,E,21.19,I,1.38,0.34,25/01/2023,14,17597.0,0.444,0.6703,0.1475,-0.035,-0.0253,2.0005
B216,1,A,21.44,A,1.33,0.108,26/01/2023,11,20439.0,0.451,0.5847,0.1638,-0.0372,-0.028,2.0587
B221,1,A,21.94,A,1.05,0.154,26/01/2023,16,34688.0,0.443,0.5026,0.1707,-0.0365,-0.0348,2.1072
B220,0,E,22.19,A,0.93,0.134,26/01/2023,30,24518.0,0.427,0.5102,0.1689,-0.035,-0.0377,2.2038
B226,1,A,22.44,O,0.8,0.127,26/01/2023,25,39707.0,0.421,0.4693,0.1709,-0.0341,-0.0426,2.199
B231,1,A,22.94,O,0.6,0.111,26/01/2023,29,43179.0,0.419,0.3855,0.1652,-0.032,-0.0533,2.1131
B236,0,A,23.44,O,0.45,0.154,26/01/2023,18,5960.0,0.416,0.3085,0.1533,-0.0287,-0.0638,1.9452
B238,0,E,23.69,O,0.35,0.129,26/01/2023,13,17705.0,0.415,0.2733,0.1452,-0.0269,-0.0768,1.838
B241,0,A,23.94,O,0.29,0.16,26/01/2023,11,11167.0,0.412,0.2394,0.1363,-0.0248,-0.0855,1.7153
B246,0,A,24.44,O,0.2,0.111,26/01/2023,19,45276.0,0.405,0.1775,0.1162,-0.0202,-0.101,1.4373
B251,0,A,24.94,O,0.14,0.4,26/01/2023,6,7995.0,0.402,0.1274,0.0941,-0.0159,-0.1136,1.1522
B253,0,E,25.19,O,0.11,0.571,26/01/2023,6,730.0,0.398,0.1043,0.0823,-0.0136,-0.1238,0.9985
B256,0,A,25.44,O,0.09,0.125,26/01/2023,2,429.0,0.409,0.0859,0.0698,-0.012,-0.1332,0.8613
B261,0,A,25.94,O,0.04,0.0,26/01/2023,2,120.0,0.4,0.0556,0.0511,-0.0083,-0.2084,0.6162
B263,0,E,26.19,O,0.03,0.0,24/01/2023,3,90.0,,,,,,
B266,0,A,26.44,O,0.07,-0.588,19/01/2023,1,63.0,0.404,0.0451,0.0425,-0.0072,-0.1022,0.5249
B271,0,A,26.94,O,0.03,0.5,25/01/2023,1,12.0,0.401,0.0178,0.0183,-0.0027,-0.0901,0.2627
B276,0,A,27.44,O,0.02,-0.714,26/01/2023,3,262.0,0.461,0.0761,0.0398,-0.0079,-0.3973,1.117
B281,0,A,27.94,O,,,,,,,,,,,
B286,0,A,28.44,O,0.02,-0.6,26/01/2023,6,1906.0,,,,,,
B291,0,A,28.94,O,0.06,-0.5,27/12/2022,1,102.0,,,,,,
B296,0,A,29.44,O,0.04,0.0,16/01/2023,1,4.0,0.468,0.0259,0.0187,-0.004,-0.1002,0.4141
B300,0,E,29.69,O,0.01,-0.5,24/01/2023,4,20.0,0.599,0.0239,0.0158,-0.005,-0.5008,0.3333
B301,0,A,29.94,O,0.02,,12/01/2023,1,900.0,,,,,,
B311,0,A,30.94,O,0.01,-0.5,24/01/2023,1,2.0,,,,,,
B313,0,E,31.19,O,0.01,-0.5,24/01/2023,1,2.0,,,,,,
B323,0,E,32.19,O,,,,,,,,,,,
B329,0,A,32.94,O,,,,,,,,,,,
B343,0,E,34.19,O,0.7,,04/11/2022,1,227500.0,,,,,,
B358,0,E,35.69,O,0.02,-0.333,26/01/2023,5,4798.0,0.801,0.0107,0.0064,-0.004,-0.1997,0.1547
B36,0,E,36.69,O,0.03,,19/12/2022,1,3.0,,,,,,
B371,0,E,37.19,O,,,,,,,,,,,
B368,0,E,39.69,O,,,,,,,,,,,
