TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H320,0,A,3.2,I,,,,,,,,,,,
H360,0,A,3.6,I,,,,,,,,,,,
H400,0,A,4.0,I,,,,,,,,,,,
H440,0,A,4.4,I,,,,,,,,,,,
H480,0,A,4.8,I,,,,,,,,,,,
H500,0,A,5.0,I,1.15,,14/07/2022,1,2300.0,,,,,,
H520,0,A,5.2,I,1.61,0.309,20/07/2022,2,314.0,0.843,0.6379,0.1989,-0.0096,-0.006,0.8378
H540,0,A,5.4,I,1.37,0.015,27/07/2022,3,381.0,0.806,0.8693,0.1315,-0.0101,-0.0074,0.4254
H560,0,A,5.6,I,1.3,0.032,22/07/2022,1,6500.0,0.788,0.8382,0.1552,-0.0111,-0.0085,0.4911
H580,0,A,5.8,I,3.4,0.259,04/08/2022,3,38600.0,0.72,0.771,0.2225,-0.0119,-0.0035,0.5728
H600,0,A,6.0,I,2.4,0.752,03/08/2022,3,714.0,0.736,0.7655,0.2083,-0.0124,-0.0052,0.6148
H620,0,A,6.2,I,1.9,1.714,02/08/2022,2,1875.0,0.686,0.7283,0.2761,-0.0139,-0.0073,0.5806
H640,0,A,6.4,I,1.7,0.932,02/08/2022,1,1700.0,0.668,0.6661,0.3322,-0.0153,-0.009,0.5965
H660,0,A,6.6,I,2.56,0.243,04/08/2022,67,92393.0,0.637,0.7291,0.3104,-0.015,-0.0059,0.5542
H680,0,A,6.8,I,1.64,0.291,03/08/2022,3,14262.0,0.719,0.8139,0.2127,-0.0157,-0.0096,0.4691
H700,0,A,7.0,I,1.22,0.312,03/08/2022,2,12347.0,0.676,0.7736,0.2544,-0.0163,-0.0134,0.527
H720,0,A,7.2,I,0.91,1.459,02/08/2022,9,11071.0,0.68,0.7138,0.2857,-0.0181,-0.0199,0.5957
H740,0,A,7.4,I,2.01,0.971,04/08/2022,1,7839.0,0.697,0.8085,0.2161,-0.0173,-0.0086,0.4939
H760,0,A,7.6,I,0.99,0.303,03/08/2022,4,4768.0,0.654,0.7681,0.2574,-0.0179,-0.0181,0.5525
H780,0,A,7.8,I,1.01,1.02,03/08/2022,27,46443.0,0.672,0.7853,0.2313,-0.0184,-0.0182,0.5485
H800,0,A,8.0,I,1.32,0.517,04/08/2022,3,2624.0,0.698,0.7258,0.2541,-0.021,-0.0159,0.626
H820,0,A,8.2,I,1.12,2.294,04/08/2022,17,30016.0,0.723,0.7852,0.2129,-0.0215,-0.0192,0.5539
H840,0,A,8.4,I,1.05,0.693,04/08/2022,3,2280.0,,,,,,
H860,0,A,8.6,I,0.82,1.278,04/08/2022,23,40916.0,0.726,0.6821,0.259,-0.0252,-0.0307,0.6766
H880,1,A,8.8,I,0.92,,04/08/2022,5,7360.0,0.724,0.6264,0.2757,-0.0264,-0.0287,0.7185
H900,1,A,9.0,A,0.61,1.033,04/08/2022,10,11075.0,0.719,0.589,0.2828,-0.0269,-0.0441,0.7436
H920,1,A,9.2,A,0.41,,04/08/2022,1,4141.0,0.743,0.5683,0.2729,-0.0283,-0.069,0.7621
H940,1,A,9.4,O,0.53,1.524,04/08/2022,6,4186.0,0.644,0.2282,0.2582,-0.0157,-0.0296,0.5496
H960,1,A,9.6,O,,,,,,,,,,,
H980,0,A,9.8,O,0.3,,04/08/2022,5,4434.0,,,,,,
H100,0,A,10.0,O,0.22,0.833,04/08/2022,9,7628.0,0.705,0.2942,0.2578,-0.0223,-0.1014,0.6537
H105,0,A,10.5,O,0.2,,04/08/2022,3,838.0,,,,,,
H110,0,A,11.0,O,,,,,,,,,,,
