TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A99,0,A,1.0,I,,,,,,,,,,,
A110,0,A,1.1,I,,,,,,,,,,,
A119,0,A,1.2,I,,,,,,,,,,,
A130,0,A,1.3,I,,,,,,,,,,,
A140,0,A,1.4,I,,,,,,,,,,,
A150,0,A,1.5,I,,,,,,1.11,0.958,0.1069,-0.0024,,0.0677
A159,0,A,1.6,I,,,,,,1.025,0.9589,0.1102,-0.0023,,0.0686
A170,0,A,1.7,I,2.11,0.675,16/01/2023,2,4220.0,,,,,,
A180,0,A,1.8,I,1.68,0.183,13/01/2023,1,1680.0,0.925,0.9625,0.1613,-0.0026,-0.0016,0.0448
A19,0,A,1.9,I,1.3,0.383,12/01/2023,14,8159.0,1.575,0.9381,0.1433,-0.0067,-0.0051,0.0659
A200,0,A,2.0,I,1.57,-0.013,16/01/2023,1,3140.0,0.882,0.9553,0.2033,-0.0032,-0.002,0.0496
A210,0,A,2.1,I,1.65,0.289,16/01/2023,1,330.0,,,,,,
A22,0,A,2.2,I,1.66,0.258,16/01/2023,3,1986.0,,,,,,
A23,0,A,2.3,I,1.27,0.38,13/01/2023,4,2590.0,1.38,0.9849,0.0572,-0.0038,-0.003,0.0184
A240,0,A,2.4,I,1.3,0.262,16/01/2023,4,2954.0,,,,,,
A25,0,A,2.5,I,1.34,0.41,16/01/2023,20,82235.0,,,,,,
A260,0,A,2.6,I,1.28,0.524,16/01/2023,45,244108.0,1.7,0.979,0.0732,-0.0072,-0.0056,0.0205
A270,0,A,2.7,I,1.15,0.554,16/01/2023,45,765593.0,,,,,,
A280,0,A,2.8,I,1.01,0.554,16/01/2023,150,563328.0,1.45,0.9774,0.0895,-0.0068,-0.0068,0.0222
A290,0,A,2.9,I,0.91,0.596,16/01/2023,116,176951.0,1.305,0.9498,0.1683,-0.0094,-0.0104,0.0488
A300,0,A,3.0,I,0.9,0.837,16/01/2023,243,444691.0,1.38,0.9416,0.2066,-0.0125,-0.0139,0.0477
A310,0,A,3.1,I,0.8,0.905,16/01/2023,86,193396.0,,,,,,
A320,0,A,3.2,I,0.73,1.028,16/01/2023,134,652147.0,1.117,0.9296,0.2463,-0.0108,-0.0148,0.0661
