TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A579,0,A,4.88,I,3.6,0.029,02/01/2023,1,10800.0,,,,,,
A679,0,A,5.88,I,2.6,0.04,10/01/2023,2,14300.0,0.487,0.688,0.3168,-0.0099,-0.0038,0.8113
A700,0,A,6.08,I,1.85,0.609,23/12/2022,2,730.0,,,,,,
A720,0,A,6.28,I,2.1,0.01,10/01/2023,1,14700.0,0.483,0.6961,0.3034,-0.0105,-0.005,0.835
A740,0,A,6.48,I,1.92,-0.119,13/01/2023,2,2135.0,0.506,0.9341,0.1179,-0.0069,-0.0036,0.2755
A760,0,A,6.68,I,2.2,0.089,12/01/2023,2,420.0,0.439,0.8387,0.2671,-0.0085,-0.0039,0.5106
A779,0,A,6.88,I,1.72,-0.044,13/01/2023,1,172.0,0.626,0.9278,0.1067,-0.0093,-0.0054,0.2827
A789,0,E,6.98,I,1.85,0.088,12/01/2023,2,1110.0,0.436,0.7378,0.3577,-0.01,-0.0054,0.68
A799,0,A,7.08,I,1.35,-0.156,13/01/2023,5,10185.0,0.46,0.8564,0.2324,-0.0093,-0.0069,0.4799
A819,0,A,7.28,I,1.1,-0.191,13/01/2023,27,67170.0,0.674,0.9397,0.115,-0.0114,-0.0104,0.1848
A839,0,A,7.48,I,1.02,0.02,13/01/2023,35,18450.0,0.604,0.8774,0.3283,-0.0192,-0.0188,0.208
A859,0,A,7.68,I,0.68,-0.376,13/01/2023,9,8314.0,0.54,0.8829,0.3486,-0.0175,-0.0257,0.2054
A879,0,A,7.88,I,0.54,-0.229,13/01/2023,5,5350.0,0.483,0.7416,0.385,-0.0154,-0.0285,0.5621
A899,0,A,8.08,I,0.4,-0.385,13/01/2023,19,9033.0,0.509,0.4955,0.7731,-0.0278,-0.0695,0.4041
A919,0,A,8.28,A,0.3,-0.388,13/01/2023,78,74660.0,0.511,0.3841,0.7339,-0.0265,-0.0882,0.3893
A939,0,A,8.48,A,0.16,-0.543,13/01/2023,65,29981.0,0.499,0.2535,0.629,-0.0214,-0.134,0.3267
A959,0,A,8.68,O,0.12,-0.5,13/01/2023,138,80007.0,0.558,0.1701,0.4461,-0.0187,-0.1557,0.2577
A979,0,A,8.88,O,0.06,-0.6,13/01/2023,35,13552.0,0.534,0.0998,0.3213,-0.0124,-0.2062,0.179
A999,0,A,9.08,O,0.05,-0.5,13/01/2023,33,15834.0,0.6,0.0595,0.195,-0.0092,-0.1846,0.1197
A104,0,A,9.58,O,0.03,-0.4,13/01/2023,17,1948.0,0.725,0.0498,0.1375,-0.0098,-0.3277,0.1061
A109,0,A,10.08,O,0.02,0.0,09/01/2023,1,4.0,0.49,0.0582,0.1393,-0.0051,-0.2561,0.1984
A112,0,E,10.33,O,0.01,-0.5,12/01/2023,6,50.0,0.647,0.0441,0.108,-0.0069,-0.6904,0.1242
A114,0,A,10.58,O,0.02,1.0,02/01/2023,8,48.0,0.535,0.0476,0.0932,-0.004,-0.1989,0.1973
A119,0,A,11.08,O,0.01,0.0,13/01/2023,1,100.0,0.534,0.036,0.0723,-0.0033,-0.3257,0.1623
A124,0,A,11.58,O,0.01,0.0,09/01/2023,1,1.0,0.652,0.0248,0.0335,-0.0018,-0.1774,0.1543
A129,0,A,12.08,O,0.01,0.0,06/01/2023,1,1.0,0.664,0.0298,0.036,-0.0021,-0.2106,0.1917
A134,0,A,12.58,O,0.01,-0.938,12/01/2023,8,15.0,0.66,0.0286,0.0333,-0.002,-0.2009,0.195
A139,0,A,13.08,O,0.01,,09/12/2022,1,10.0,0.7,0.0274,0.0303,-0.002,-0.2048,0.1882
A150,0,E,13.33,O,0.01,0.0,02/01/2023,1,1.0,0.719,0.0268,0.0289,-0.0021,-0.2058,0.1845
A144,0,A,13.58,O,0.01,-0.5,12/12/2022,1,1.0,0.677,0.0267,0.029,-0.002,-0.1996,0.1948
A149,0,A,14.08,O,,,,,,0.712,0.0256,0.0265,-0.002,,0.188
A154,0,A,14.58,O,0.01,-0.5,01/12/2022,1,500.0,0.686,0.02,0.0216,-0.0016,-0.1588,0.1576
A159,0,A,15.08,O,,,,,,,,,,,
A164,0,A,15.58,O,0.02,-0.75,23/11/2022,1,2.0,0.595,0.0245,0.0245,-0.0018,-0.0883,0.2268
A169,0,A,16.08,O,,,,,,,,,,,
A174,0,A,16.58,O,,,,,,,,,,,
A179,0,A,17.08,O,,,,,,,,,,,
A184,0,A,17.58,O,,,,,,,,,,,
A195,0,E,17.83,O,0.01,0.0,21/11/2022,5,96.0,0.675,0.0167,0.0153,-0.0014,-0.1391,0.1669
A189,0,A,18.08,O,,,,,,,,,,,
A214,0,A,20.58,O,0.01,,17/10/2022,1,810.0,,,,,,
A509,0,A,23.58,O,0.01,,17/10/2022,1,810.0,,,,,,
