TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A440,0,A,4.4,I,,,,,,,,,,,
A480,0,A,4.8,I,,,,,,,,,,,
A520,0,A,5.2,I,,,,,,,,,,,
A560,0,A,5.6,I,,,,,,,,,,,
A600,0,A,6.0,I,,,,,,,,,,,
A640,0,A,6.4,I,1.9,-0.095,06/12/2022,1,380.0,,,,,,
A660,0,A,6.6,I,,,,,,,,,,,
A680,0,A,6.8,I,,,,,,,,,,,
A700,0,A,7.0,I,,,,,,0.444,0.7863,0.285,-0.0093,,0.6703
A720,0,A,7.2,I,0.96,0.231,15/12/2022,2,3700.0,0.41,0.7399,0.3686,-0.0099,-0.0103,0.6964
A740,1,A,7.4,I,0.57,-0.162,21/12/2022,1,2850.0,0.41,0.6575,0.4172,-0.0105,-0.0185,0.7888
A760,1,A,7.6,A,0.4,-0.344,21/12/2022,7,10074.0,0.408,0.5651,0.4499,-0.0107,-0.0269,0.8439
A780,1,A,7.8,O,0.29,-0.54,21/12/2022,10,21002.0,0.395,0.4777,0.4694,-0.0103,-0.0354,0.8551
A800,1,A,8.0,O,0.21,-0.382,21/12/2022,1,315.0,0.386,0.3847,0.4616,-0.0094,-0.0447,0.8204
A820,1,A,8.2,O,0.17,-0.393,21/12/2022,3,1540.0,0.383,0.2957,0.4205,-0.0082,-0.0485,0.7405
A840,0,A,8.4,O,0.12,-0.429,21/12/2022,5,7735.0,0.366,0.2119,0.369,-0.0065,-0.0543,0.6211
A860,0,A,8.6,O,0.09,-0.25,21/12/2022,2,1288.0,0.412,0.1604,0.2789,-0.0059,-0.066,0.5169
A880,0,A,8.8,O,0.05,-0.5,21/12/2022,2,245.0,0.385,0.1065,0.224,-0.0042,-0.0837,0.3912
A900,0,A,9.0,O,0.09,0.5,20/12/2022,43,16762.0,0.41,0.151,0.2482,-0.0056,-0.0625,0.539
A920,0,A,9.2,O,0.05,-0.5,20/12/2022,1,250.0,0.407,0.0567,0.1318,-0.0027,-0.0537,0.2419
A940,0,A,9.4,O,0.04,0.0,21/12/2022,1,80.0,0.464,0.0704,0.1331,-0.0035,-0.0882,0.2944
A980,0,A,9.6,O,0.03,0.5,21/12/2022,1,3.0,0.477,0.0589,0.1125,-0.0031,-0.1049,0.2569
A98,0,A,9.8,O,0.03,0.0,19/12/2022,1,12.0,0.463,0.0478,0.0936,-0.0025,-0.0828,0.228
A100,0,A,10.0,O,0.02,0.0,21/12/2022,5,36.0,0.534,0.0604,0.0978,-0.0034,-0.1709,0.2745
A105,0,A,10.3,O,0.04,0.0,19/12/2022,1,4.0,0.492,0.1281,0.1463,-0.0052,-0.1302,0.6097
A107,0,E,10.55,O,0.06,-0.25,09/12/2022,1,18.0,0.532,0.1006,0.1203,-0.0049,-0.081,0.4849
A108,0,A,10.8,O,0.04,-0.6,14/12/2022,1,8.0,0.527,0.1436,0.1327,-0.0057,-0.1419,0.7326
A110,0,E,11.05,O,0.03,-0.667,12/12/2022,1,30.0,0.533,0.1218,0.1173,-0.0051,-0.1695,0.653
A11,0,A,11.3,O,0.1,-0.5,25/11/2022,1,2000.0,0.571,0.1154,0.1051,-0.0051,-0.0509,0.6308
A118,0,A,11.8,O,0.11,0.0,18/11/2022,1,77.0,0.549,0.104,0.0965,-0.0047,-0.0424,0.6158
A123,0,A,12.3,O,0.2,-0.524,09/11/2022,1,20.0,0.557,0.0562,0.0627,-0.0029,-0.0146,0.3671
A130,0,A,12.8,O,0.04,-0.862,17/11/2022,3,680.0,0.574,0.0636,0.0634,-0.0033,-0.0835,0.4279
A135,0,A,13.3,O,0.45,-0.713,07/11/2022,1,45.0,,,,,,
A138,0,A,13.8,O,,,,,,,,,,,
A143,0,A,14.3,O,,,,,,,,,,,
A148,0,A,14.8,O,,,,,,,,,,,
A153,0,A,15.3,O,0.01,,20/12/2022,1,1.0,,,,,,
