TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A141,0,A,13.87,I,,,,,,,,,,,
A151,0,A,14.87,I,,,,,,,,,,,
A161,0,A,15.87,I,,,,,,,,,,,
A171,0,A,16.87,I,,,,,,,,,,,
A17,0,E,17.12,I,,,,,,,,,,,
A173,0,A,17.37,I,,,,,,,,,,,
A176,0,E,17.62,I,,,,,,,,,,,
A181,0,A,17.87,I,,,,,,,,,,,
A18,0,E,18.12,I,,,,,,,,,,,
A183,0,A,18.37,I,,,,,,,,,,,
A186,0,E,18.62,I,,,,,,,,,,,
A188,0,A,18.87,I,,,,,,,,,,,
A20,0,A,18.97,I,4.96,0.192,18/03/2022,1,496.0,,,,,,
A191,0,E,19.12,I,,,,,,,,,,,
A195,0,A,19.37,I,1.67,,14/12/2022,25,111889.0,0.428,0.6705,0.1294,-0.026,-0.0156,2.3668
A196,0,E,19.62,I,,,,,,,,,,,
A201,0,A,19.87,I,1.02,-0.553,04/01/2023,6,31695.0,0.427,0.6315,0.1993,-0.0361,-0.0354,1.6687
A200,0,E,20.12,A,0.9,-0.135,04/01/2023,1,450.0,0.429,0.5757,0.2065,-0.0368,-0.0409,1.732
A209,1,A,20.37,A,0.77,0.084,04/01/2023,7,31196.0,0.422,0.5275,0.2133,-0.0364,-0.0472,1.7613
A206,0,E,20.62,A,0.69,,04/01/2023,3,1025.0,0.419,0.4721,0.2148,-0.0356,-0.0516,1.7603
A211,1,A,20.87,O,0.7,-0.114,03/01/2023,349,214659.0,0.422,0.4189,0.2092,-0.0347,-0.0496,1.7272
A210,0,E,21.12,O,0.49,-0.69,04/01/2023,2,490.0,0.417,0.369,0.2047,-0.0328,-0.0669,1.6687
A216,1,A,21.37,O,0.43,-0.295,04/01/2023,1,215.0,0.415,0.3206,0.195,-0.0307,-0.0714,1.5831
A215,0,E,21.62,O,0.29,-0.603,03/01/2023,3,782.0,0.416,0.2767,0.1819,-0.0286,-0.0985,1.4804
A221,1,A,21.87,O,0.24,-0.478,03/01/2023,14,4295.0,0.419,0.236,0.1663,-0.0262,-0.1094,1.3619
A220,0,E,22.12,O,0.19,-0.05,04/01/2023,1,1501.0,0.419,0.1978,0.1503,-0.0235,-0.1237,1.2288
A226,0,A,22.37,O,0.24,-0.2,03/01/2023,162,26490.0,0.413,0.1661,0.1363,-0.0208,-0.0865,1.1035
A225,0,E,22.62,O,0.7,0.321,29/12/2022,1,350.0,0.412,0.1398,0.1219,-0.0184,-0.0263,0.9855
A231,0,A,22.87,O,0.14,-0.364,03/01/2023,195,24628.0,0.42,0.1103,0.1017,-0.0157,-0.1122,0.8317
A230,0,E,23.12,O,0.19,-0.698,02/01/2023,1,95.0,0.43,0.0984,0.0913,-0.0148,-0.0778,0.7669
A236,0,A,23.37,O,0.08,0.0,04/01/2023,2,102.0,0.454,0.0941,0.0836,-0.0151,-0.1882,0.743
A235,0,E,23.62,O,,,,,,0.455,0.0606,0.0604,-0.0106,,0.5244
A241,0,A,23.87,O,0.05,-0.167,04/01/2023,2,120.0,0.462,0.0642,0.0615,-0.0114,-0.2273,0.5548
A240,0,E,24.12,O,,,,,,0.445,0.0683,0.0636,-0.0112,,0.6138
A246,0,A,24.37,O,0.02,-0.833,04/01/2023,1,6.0,0.451,0.0579,0.0552,-0.01,-0.4985,0.5391
A245,0,E,24.62,O,,,,,,0.442,0.0747,0.0648,-0.0118,,0.6955
A251,0,A,24.87,O,0.04,-0.714,02/01/2023,1,8.0,0.404,0.1223,0.094,-0.016,-0.3992,1.083
A250,0,E,25.12,O,,,,,,0.416,0.1037,0.0814,-0.0145,,0.9586
A256,0,A,25.37,O,0.11,-0.45,26/12/2022,1,11.0,0.411,0.0956,0.0771,-0.0136,-0.1233,0.9099
A255,0,E,25.62,O,,,,,,0.407,0.0874,0.0724,-0.0126,,0.8569
A261,0,A,25.87,O,0.1,-0.75,23/12/2022,1,50.0,0.409,0.0739,0.0635,-0.0111,-0.1113,0.7545
A260,0,E,26.12,O,,,,,,0.417,0.0638,0.0556,-0.0101,,0.6725
A266,0,A,26.37,O,0.05,-0.688,16/12/2022,2,425.0,0.411,0.0638,0.0558,-0.0101,-0.2017,0.6812
A271,0,A,26.87,O,0.05,-0.849,23/12/2022,2,13.0,0.365,0.1842,0.0795,-0.0133,-0.2656,2.4436
A276,0,A,27.37,O,0.33,0.65,24/11/2022,1,33.0,0.399,0.0247,0.026,-0.0043,-0.0131,0.3235
A281,0,A,27.87,O,0.03,-0.87,16/12/2022,1,225.0,0.279,0.4482,0.1169,-0.0188,-0.6273,4.7924
A286,0,A,28.37,O,,,,,,0.274,0.4624,0.1159,-0.0191,,4.9653
A291,0,A,28.87,O,,,,,,,,,,,
A296,0,A,29.37,O,0.11,,28/11/2022,1,22.0,,,,,,
A301,0,A,29.87,O,0.02,-0.955,14/12/2022,1,10.0,0.565,0.0229,0.0146,-0.004,-0.1992,0.3584
A306,0,A,30.37,O,,,,,,,,,,,
A311,0,A,30.87,O,,,,,,,,,,,
A316,0,A,31.37,O,0.05,,01/12/2022,1,375.0,,,,,,
A321,0,A,31.87,O,,,,,,,,,,,
A326,0,A,32.37,O,,,,,,,,,,,
A331,0,A,32.87,O,0.24,,04/11/2022,1,24.0,,,,,,
A336,0,A,33.37,O,,,,,,,,,,,
A341,0,A,33.87,O,,,,,,,,,,,
A346,0,A,34.37,O,,,,,,,,,,,
A351,0,A,34.87,O,,,,,,,,,,,
