TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L121,0,A,12.13,I,,,,,,,,,,,
L123,0,E,12.38,I,1.75,,22/11/2022,2,1225.0,,,,,,
L126,0,A,12.63,I,,,,,,,,,,,
L128,0,E,12.88,I,0.4,,29/11/2022,1,40.0,,,,,,
L131,0,A,13.13,A,,,,,,,,,,,
L133,0,E,13.38,A,0.35,,29/11/2022,1,70.0,,,,,,
L136,0,A,13.63,O,,,,,,,,,,,
L138,0,E,13.88,O,0.19,,30/11/2022,1,19.0,,,,,,
L141,0,A,14.13,O,,,,,,,,,,,
L156,0,A,15.63,O,0.08,-0.6,28/11/2022,1,392.0,0.402,0.1368,0.1529,-0.0102,-0.1276,0.7821
L161,0,A,16.13,O,0.1,0.25,25/11/2022,1,450.0,,,,,,
L207,0,E,20.38,O,0.09,-0.357,21/11/2022,1,9.0,,,,,,
