TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I143,0,A,14.35,I,,,,,,,,,,,
I146,0,E,14.6,I,,,,,,,,,,,
I148,0,A,14.85,I,,,,,,,,,,,
I151,0,E,15.1,I,2.2,,18/08/2022,64,136614.0,,,,,,
I153,0,A,15.35,I,2.15,,18/08/2022,1,7310.0,,,,,,
I156,0,E,15.6,I,1.21,-0.35,29/08/2022,8,2089.0,,,,,,
I158,0,A,15.85,I,1.02,-0.184,26/08/2022,2,200.0,0.284,0.5123,0.2615,-0.0142,-0.0139,2.1415
I161,0,E,16.1,I,1.29,0.057,18/08/2022,1,903.0,0.295,0.3573,0.2308,-0.0118,-0.0091,2.043
I163,0,A,16.35,A,0.62,-0.088,30/08/2022,2,124.0,,,,,,
I166,0,E,16.6,A,0.85,,12/08/2022,1,255.0,,,,,,
I175,0,A,16.85,A,0.23,-0.258,31/08/2022,5,7420.0,0.264,0.4825,0.4149,-0.0201,-0.0874,1.4498
I171,0,E,17.1,O,0.25,-0.405,29/08/2022,1,1250.0,0.25,0.4971,0.3745,-0.0176,-0.0704,1.6998
I173,0,A,17.35,O,0.22,-0.312,25/08/2022,1,440.0,,,,,,
I176,0,E,17.6,O,0.13,-0.133,30/08/2022,1,130.0,0.293,0.2495,0.2765,-0.0152,-0.1169,1.2441
I181,0,E,18.1,O,,,,,,0.261,0.1841,0.2474,-0.0112,,1.0987
I186,0,E,18.6,O,,,,,,,,,,,
I191,0,E,19.1,O,,,,,,,,,,,
I196,0,E,19.6,O,,,,,,,,,,,
I201,0,E,20.1,O,,,,,,,,,,,
I211,0,E,21.1,O,,,,,,,,,,,
