TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H135,0,A,13.5,I,,,,,,,,,,,
H140,0,A,14.0,I,3.5,,20/06/2022,3,1042.0,,,,,,
H145,0,A,14.5,I,,,,,,,,,,,
H150,0,A,15.0,I,1.76,0.66,08/08/2022,1,704.0,0.469,0.7704,0.1594,-0.0238,-0.0135,1.2322
H155,0,A,15.5,I,1.65,0.138,08/08/2022,3,2400.0,0.447,0.725,0.2104,-0.0276,-0.0167,1.1833
H160,1,A,16.0,I,1.2,0.364,08/08/2022,7,24314.0,0.445,0.7715,0.2129,-0.0304,-0.0253,0.9658
H165,1,A,16.5,I,0.85,0.441,08/08/2022,4,9366.0,0.418,0.6572,0.2752,-0.0329,-0.0387,1.1739
H170,1,A,17.0,A,0.55,0.528,08/08/2022,8,17370.0,0.422,0.511,0.2956,-0.0343,-0.0624,1.2737
H175,1,A,17.5,O,0.33,0.375,08/08/2022,66,26689.0,0.428,0.3678,0.276,-0.0318,-0.0964,1.2028
H180,0,A,18.0,O,0.21,0.909,08/08/2022,5,4932.0,0.428,0.249,0.2317,-0.0263,-0.1252,1.0127
H185,0,A,18.5,O,0.09,0.286,08/08/2022,2,17.0,0.432,0.1066,0.1298,-0.0139,-0.1544,0.6033
H190,0,A,19.0,O,0.07,-0.417,08/08/2022,2,217.0,0.426,0.0631,0.0818,-0.0083,-0.1186,0.441
H195,0,A,19.5,O,0.09,2.0,04/08/2022,4,47.0,0.397,0.1236,0.1085,-0.0107,-0.1189,0.9698
H200,0,A,20.0,O,0.03,2.0,08/08/2022,1,600.0,0.421,0.131,0.0908,-0.01,-0.3333,1.182
H205,0,A,20.5,O,0.01,0.0,03/08/2022,1,2.0,0.435,0.052,0.0492,-0.0052,-0.52,0.5294
H210,0,A,21.0,O,0.03,-0.25,22/07/2022,1,150.0,0.413,0.1264,0.0849,-0.0098,-0.3267,1.2282
H215,0,A,21.5,O,,,,,,0.414,0.1261,0.0816,-0.0099,,1.2714
H220,0,A,22.0,O,0.02,-0.714,21/07/2022,1,6.0,0.454,0.0691,0.0474,-0.0059,-0.295,0.8206
H225,0,A,22.5,O,0.05,-0.643,01/07/2022,9,1431.0,0.449,0.0752,0.047,-0.0058,-0.116,0.9558
H230,0,A,23.0,O,0.02,-0.833,27/07/2022,1,18.0,0.45,0.0386,0.0308,-0.0038,-0.19,0.5073
H235,0,A,23.5,O,0.05,-0.444,28/06/2022,1,50.0,0.443,0.0408,0.0303,-0.0037,-0.074,0.5721
H240,0,A,24.0,O,0.03,0.0,04/07/2022,1,9.0,0.446,0.0325,0.0249,-0.0031,-0.1033,0.4753
H242,0,E,24.25,O,,,,,,,,,,,
H245,0,A,24.5,O,0.03,0.0,22/07/2022,1,36.0,0.463,0.0345,0.0244,-0.0032,-0.1067,0.5166
H250,0,A,25.0,O,0.05,-0.815,20/06/2022,2,65.0,,,,,,
H255,0,A,25.5,O,0.1,,12/07/2022,1,200.0,0.482,0.0259,0.0185,-0.0026,-0.026,0.4073
H260,0,A,26.0,O,0.02,,28/06/2022,4,400.0,,,,,,
H265,0,A,26.5,O,,,,,,,,,,,
H270,0,A,27.0,O,0.19,0.188,03/06/2022,4,70.0,,,,,,
H275,0,A,27.5,O,,,,,,,,,,,
H280,0,A,28.0,O,,,,,,,,,,,
H292,0,E,32.25,O,,,,,,,,,,,
H342,0,E,34.25,O,,,,,,,,,,,
