TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L219,0,A,0.01,I,26.36,0.026,05/12/2022,1,2636.0,,,,,,
L21,0,E,5.81,I,19.28,-0.03,08/12/2022,6,201353.0,,,,,,
L164,0,A,6.01,I,18.65,0.013,09/12/2022,1,22380.0,,,,,,
L249,0,A,8.51,I,16.15,-0.068,09/12/2022,1,14535.0,,,,,,
L251,0,A,9.01,I,17.47,0.174,01/12/2022,1,34940.0,,,,,,
L256,0,E,9.26,I,15.5,-0.044,09/12/2022,1,15500.0,,,,,,
L315,0,A,9.51,I,15.3,-0.056,09/12/2022,4,393410.0,,,,,,
L317,0,E,9.76,I,15.24,-0.037,08/12/2022,3,65799.0,,,,,,
L172,0,E,10.26,I,15.4,0.112,02/12/2022,1,398860.0,,,,,,
L269,0,A,10.51,I,15.0,-0.001,08/12/2022,1,15000.0,,,,,,
L259,0,E,10.76,I,14.02,-0.022,09/12/2022,2,28079.0,,,,,,
L194,0,E,11.26,I,14.7,0.007,06/12/2022,1,1470.0,,,,,,
L130,0,A,11.51,I,14.7,0.005,06/12/2022,2,47040.0,,,,,,
L186,0,E,11.76,I,13.04,-0.003,09/12/2022,6,97590.0,,,,,,
L28,0,E,12.26,I,12.67,0.003,09/12/2022,2,13920.0,,,,,,
L211,0,E,12.76,I,12.11,-0.025,09/12/2022,1,18165.0,1.21,0.9982,0.0009,-0.0086,-0.0007,0.0311
L94,0,A,13.01,I,13.04,0.201,01/12/2022,2,6684.0,2.616,0.9752,0.0075,-0.0629,-0.0048,0.1718
L231,0,E,13.26,I,11.61,-0.025,09/12/2022,4,134676.0,2.604,0.9756,0.0073,-0.063,-0.0054,0.1726
L299,0,A,13.51,I,11.31,-0.058,09/12/2022,1,5655.0,2.857,0.962,0.0096,-0.0958,-0.0085,0.2493
L284,0,E,13.76,I,11.0,-0.028,09/12/2022,8,115230.0,2.909,0.9555,0.0107,-0.1099,-0.01,0.2835
L206,0,E,14.26,I,10.55,-0.007,09/12/2022,1,52750.0,2.087,0.9669,0.0084,-0.0537,-0.0051,0.3118
L343,0,E,14.76,I,10.0,-0.04,09/12/2022,12,1324700.0,,,,,,
L346,0,A,15.01,I,9.83,-0.027,09/12/2022,8,2018201.0,1.455,0.995,0.0033,-0.0159,-0.0016,0.0429
L224,0,E,15.26,I,9.52,-0.119,09/12/2022,4,67538.0,1.22,0.9983,0.0015,-0.0107,-0.0011,0.016
L306,0,A,15.51,I,9.25,-0.038,09/12/2022,4,7408.0,2.349,0.9475,0.0151,-0.1026,-0.0111,0.3234
L229,0,E,15.76,I,9.3,0.005,09/12/2022,1,930.0,,,,,,
L254,0,E,16.26,I,8.69,-0.003,09/12/2022,3,15715.0,,,,,,
L319,0,A,16.51,I,9.13,-0.069,07/12/2022,2,19623.0,,,,,,
L236,0,E,16.76,I,8.06,-0.016,09/12/2022,4,21772.0,1.19,0.9931,0.0053,-0.0176,-0.0022,0.0577
L281,0,A,17.01,I,7.74,-0.014,09/12/2022,5,15642.0,,,,,,
L329,0,E,17.26,I,7.57,-0.009,09/12/2022,11,383858.0,,,,,,
