TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L160,0,A,1.6,I,,,,,,,,,,,
L180,0,A,1.8,I,,,,,,,,,,,
L200,0,A,2.0,I,,,,,,,,,,,
L220,0,A,2.2,I,,,,,,,,,,,
L240,0,A,2.4,A,0.09,-0.1,17/11/2022,1,270.0,,,,,,
L260,0,A,2.6,O,0.06,-0.143,17/11/2022,1,60.0,0.405,0.2987,1.2367,-0.0027,-0.0447,0.2404
L270,0,A,2.7,O,0.06,0.5,18/11/2022,10,28000.0,0.519,0.2552,0.9159,-0.0031,-0.0521,0.2172
L280,0,A,2.8,O,0.03,0.0,17/11/2022,1,30.0,0.461,0.1353,0.7031,-0.0018,-0.0615,0.1458
L290,0,A,2.9,O,0.09,-0.308,10/11/2022,1,18.0,0.57,0.1868,0.6334,-0.0026,-0.0288,0.1997
L299,0,A,3.0,O,0.03,-0.25,16/11/2022,3,51.0,0.596,0.1284,0.4981,-0.0022,-0.072,0.1481
L320,0,A,3.2,O,,,,,,0.359,0.1798,0.8068,-0.0019,,0.2375
L340,0,A,3.4,O,,,,,,,,,,,
L360,0,A,3.6,O,,,,,,,,,,,
L380,0,A,3.8,O,,,,,,,,,,,
L400,0,A,4.0,O,,,,,,,,,,,
L420,0,A,4.2,O,,,,,,,,,,,
L440,0,A,4.4,O,,,,,,,,,,,
L460,0,A,4.6,O,,,,,,,,,,,
