TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A164,0,A,16.43,I,,,,,,,,,,,
A174,0,A,17.43,I,,,,,,,,,,,
A184,0,A,18.43,I,,,,,,,,,,,
A195,0,A,19.43,I,,,,,,,,,,,
A200,0,A,19.93,I,4.31,,01/11/2022,1,862.0,,,,,,
A205,0,A,20.43,I,,,,,,,,,,,
A210,0,A,20.93,I,2.11,1.972,26/12/2022,1,2110.0,,,,,,
A215,0,A,21.43,I,0.69,-0.71,19/12/2022,1,2208.0,,,,,,
A220,0,A,21.93,I,0.68,0.193,20/12/2022,1,68.0,,,,,,
A225,0,A,22.43,A,1.2,0.319,23/12/2022,1,840.0,0.26,0.5613,0.2344,-0.0222,-0.0185,2.5457
A230,0,A,22.93,A,0.75,-0.026,26/12/2022,1,75.0,0.297,0.6203,0.2014,-0.0262,-0.035,2.4239
A235,0,A,23.43,O,0.62,0.378,23/12/2022,3,578.0,0.299,0.1937,0.1374,-0.0131,-0.0211,1.8344
A240,0,A,23.93,O,0.42,0.312,23/12/2022,2,360.0,0.305,0.2746,0.1486,-0.0165,-0.0392,2.4517
A249,0,A,24.93,O,0.14,0.273,23/12/2022,5,548.0,0.279,0.1268,0.1153,-0.0104,-0.0744,1.345
A259,0,A,25.93,O,0.04,-0.2,26/12/2022,1,12.0,0.274,0.0734,0.0806,-0.0072,-0.1805,0.8771
A279,0,A,27.93,O,,,,,,,,,,,
A289,0,A,28.93,O,,,,,,,,,,,
A299,0,A,29.93,O,,,,,,,,,,,
A309,0,A,30.93,O,,,,,,,,,,,
A319,0,A,31.93,O,,,,,,,,,,,
A329,0,A,32.93,O,,,,,,,,,,,
