TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L349,0,E,3.49,I,3.03,,02/12/2022,2,6180.0,,,,,,
L389,0,E,3.89,I,,,,,,,,,,,
L429,0,E,4.29,I,,,,,,,,,,,
L469,0,E,4.69,I,,,,,,,,,,,
L509,0,A,5.09,I,,,,,,,,,,,
L520,0,A,5.29,I,,,,,,,,,,,
L549,0,A,5.49,I,0.47,,28/11/2022,2,641.0,,,,,,
L560,1,A,5.69,A,,,,,,,,,,,
L589,1,A,5.89,A,0.21,-0.4,06/12/2022,2,2320.0,0.626,0.53,0.4197,-0.0126,-0.0599,0.6024
L600,1,A,6.09,O,0.13,,28/11/2022,2,19012.0,,,,,,
L629,1,A,6.29,O,0.14,0.0,07/12/2022,1,28.0,0.704,0.1874,0.4378,-0.0143,-0.1023,0.235
L649,1,A,6.49,O,0.05,0.667,06/12/2022,2,10.0,0.902,0.1367,0.2859,-0.0144,-0.2872,0.1858
L669,0,A,6.69,O,0.3,2.75,02/12/2022,3,79.0,0.53,0.3529,0.4453,-0.0108,-0.036,0.585
L689,0,A,6.89,O,0.02,-0.714,06/12/2022,4,72.0,0.769,0.1112,0.2406,-0.0097,-0.4828,0.1942
L709,0,A,7.09,O,0.04,-0.8,06/12/2022,1,4.0,0.534,0.1171,0.2681,-0.0059,-0.1478,0.2703
L729,0,A,7.29,O,0.01,-0.8,06/12/2022,1,3.0,1.022,0.0448,0.109,-0.0069,-0.6941,0.08
L749,0,A,7.49,O,0.04,-0.867,21/11/2022,1,8.0,0.546,0.0802,0.1708,-0.0039,-0.0963,0.2381
L769,0,A,7.69,O,0.06,2.0,02/12/2022,10,174.0,0.691,0.1478,0.2556,-0.0109,-0.1821,0.3018
L789,0,A,7.89,O,0.62,-0.114,07/11/2022,1,744.0,0.522,0.4347,0.259,-0.009,-0.0145,1.1447
L809,0,A,8.09,O,0.03,-0.4,07/12/2022,1,99.0,0.559,0.2441,0.2521,-0.0083,-0.2781,0.6984
L829,0,A,8.29,O,0.01,-0.933,21/11/2022,1,2.0,0.553,0.2361,0.2448,-0.0083,-0.8282,0.7007
L849,0,A,8.49,O,0.02,1.0,28/11/2022,2,20.0,0.812,0.0359,0.0703,-0.0033,-0.1635,0.109
L869,0,A,8.69,O,0.03,0.0,25/11/2022,1,3.0,0.586,0.1636,0.1874,-0.0068,-0.2274,0.5552
L889,0,A,8.89,O,0.02,0.0,23/11/2022,1,6.0,0.51,0.3829,0.2782,-0.0112,-0.5615,1.0268
L909,0,A,9.09,O,0.01,-0.967,30/11/2022,1,8.0,,,,,,
L929,0,A,9.29,O,0.01,0.0,25/11/2022,3,10.0,0.805,0.0398,0.0638,-0.0032,-0.3161,0.1435
L949,0,A,9.49,O,,,,,,,,,,,
L969,0,A,9.69,O,0.13,,04/11/2022,1,130.0,,,,,,
L989,0,A,9.89,O,,,,,,,,,,,
L102,0,A,10.24,O,0.06,,07/11/2022,1,18.0,,,,,,
L104,0,E,10.49,O,,,,,,,,,,,
L107,0,A,10.74,O,,,,,,,,,,,
L109,0,E,10.99,O,,,,,,,,,,,
L112,0,A,11.24,O,,,,,,,,,,,
L114,0,E,11.49,O,,,,,,,,,,,
L117,0,A,11.74,O,,,,,,,,,,,
L119,0,E,11.99,O,,,,,,,,,,,
L122,0,A,12.24,O,0.01,,26/10/2022,1,5.0,,,,,,
L124,0,E,12.49,O,,,,,,,,,,,
L127,0,A,12.74,O,,,,,,,,,,,
L129,0,E,12.99,O,,,,,,,,,,,
L132,0,A,13.24,O,,,,,,,,,,,
L134,0,E,13.49,O,,,,,,,,,,,
L137,0,A,13.74,O,,,,,,,,,,,
L142,0,A,14.24,O,,,,,,,,,,,
L139,0,E,14.49,O,,,,,,,,,,,
L147,0,A,14.74,O,,,,,,,,,,,
L152,0,A,15.24,O,,,,,,,,,,,
L179,0,E,17.99,O,0.08,0.6,06/10/2022,1,8.0,0.504,0.065,0.0401,-0.0024,-0.03,0.7948
L210,0,A,20.74,O,0.04,3.0,06/12/2022,1,20.0,0.47,0.5166,0.0506,-0.0096,-0.24,6.6816
