TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I426,0,A,42.46,I,,,,,,,,,,,
I431,0,A,42.96,I,,,,,,,,,,,
I436,0,A,43.46,I,,,,,,,,,,,
I441,0,A,43.96,I,,,,,,,,,,,
I446,0,A,44.46,I,,,,,,,,,,,
I451,0,A,44.96,I,,,,,,,,,,,
I456,0,A,45.46,I,,,,,,,,,,,
I461,0,A,45.96,I,,,,,,,,,,,
I466,0,A,46.46,I,,,,,,,,,,,
I471,0,A,46.96,I,,,,,,,,,,,
I476,0,A,47.46,I,,,,,,,,,,,
I481,0,A,47.96,I,,,,,,,,,,,
I486,0,A,48.46,I,,,,,,,,,,,
I491,0,A,48.96,I,,,,,,,,,,,
I496,0,A,49.46,I,,,,,,,,,,,
I506,0,A,50.46,I,,,,,,,,,,,
I511,0,E,50.96,I,,,,,,,,,,,
I520,0,A,51.46,I,,,,,,,,,,,
I521,0,E,51.96,I,,,,,,,,,,,
I526,0,A,52.46,I,,,,,,,,,,,
I531,0,E,52.96,I,,,,,,,,,,,
I536,0,A,53.46,I,8.34,0.476,31/08/2022,1,101748.0,0.317,0.9862,0.0086,-0.035,-0.0042,0.451
I545,0,E,53.96,I,7.86,-0.268,31/08/2022,2,197748.0,0.329,0.977,0.0129,-0.0389,-0.0049,0.699
I546,0,A,54.46,I,7.5,-0.053,29/08/2022,2,13542.0,0.34,0.964,0.0181,-0.044,-0.0059,1.0137
I556,0,A,55.46,I,9.75,0.573,12/09/2022,1,975.0,0.352,0.9324,0.0289,-0.0546,-0.0056,1.676
I566,0,A,56.46,I,5.45,-0.044,08/09/2022,5,58600.0,0.353,0.8941,0.0404,-0.0646,-0.0119,2.3455
I576,0,A,57.46,I,7.55,0.641,12/09/2022,1,20385.0,0.353,0.8442,0.0528,-0.0749,-0.0099,3.0653
I586,0,A,58.46,I,5.4,0.46,09/09/2022,1,16200.0,0.35,0.7833,0.0654,-0.084,-0.0156,3.7634
I596,0,A,59.46,I,5.95,0.587,12/09/2022,1,2975.0,0.36,0.7184,0.0669,-0.0877,-0.0147,4.7295
I610,0,A,60.46,I,4.85,0.516,12/09/2022,3,24382.0,0.356,0.7191,0.0761,-0.0975,-0.0201,4.1972
I616,0,A,61.46,I,2.34,0.307,09/09/2022,43,72149.0,0.366,0.715,0.1045,-0.1336,-0.0571,3.014
I626,0,A,62.46,I,2.6,0.268,12/09/2022,8,23871.0,0.35,0.6067,0.1237,-0.1395,-0.0537,3.4157
I636,0,A,63.46,I,1.84,0.305,12/09/2022,4,3545.0,0.388,0.5253,0.148,-0.1961,-0.1066,2.7572
I646,0,A,64.46,A,1.31,0.472,12/09/2022,28,58268.0,0.327,0.5884,0.1454,-0.1502,-0.1147,3.1796
I660,0,A,65.46,A,0.8,1.0,12/09/2022,34,18868.0,0.325,0.5145,0.1488,-0.1513,-0.1891,3.2829
I666,0,A,66.46,O,0.45,1.046,12/09/2022,13,9422.0,0.338,0.3371,0.1318,-0.1381,-0.3069,2.9943
I676,0,A,67.46,O,0.28,1.333,12/09/2022,10,7999.0,0.336,0.0887,0.0539,-0.0509,-0.1818,1.4269
I694,0,A,69.46,O,,,,,,,,,,,
I699,0,E,69.96,O,0.01,-0.8,12/09/2022,2,7.0,0.342,0.0684,0.0275,-0.0265,-2.65,1.8483
I730,0,A,72.46,O,0.02,-0.5,09/09/2022,1,4.0,0.482,0.0196,0.0112,-0.0209,-1.045,0.4206
