TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I225,0,A,22.11,I,5.6,-0.009,25/07/2022,1,6720.0,,,,,,
I230,0,A,22.61,I,6.5,0.25,08/08/2022,1,8450.0,,,,,,
I235,0,A,23.11,I,,,,,,,,,,,
I240,0,A,23.61,I,,,,,,,,,,,
I245,0,A,24.11,I,5.69,0.016,23/08/2022,1,5690.0,,,,,,
I250,0,A,24.61,I,5.45,-0.035,31/08/2022,2,15805.0,,,,,,
I255,0,A,25.11,I,4.95,0.074,30/08/2022,1,14850.0,,,,,,
I260,0,A,25.61,I,,,,,,,,,,,
I265,0,A,26.11,I,,,,,,0.285,0.6649,0.113,-0.0218,,4.1183
I270,0,A,26.61,I,3.3,0.158,10/08/2022,1,4950.0,0.252,0.7615,0.1078,-0.021,-0.0064,3.5314
I275,0,A,27.11,I,1.98,0.523,29/07/2022,3,593.0,0.231,0.7301,0.144,-0.0222,-0.0112,3.2862
I280,0,A,27.61,I,2.35,-0.152,23/08/2022,2,2375.0,0.228,0.7864,0.1287,-0.0228,-0.0097,2.8852
I285,0,A,28.11,I,1.95,0.01,31/08/2022,1,1170.0,0.221,0.7688,0.1424,-0.0235,-0.0121,2.9444
I290,0,A,28.61,I,1.73,0.0,30/08/2022,1,8304.0,0.198,0.8067,0.1429,-0.0224,-0.0129,2.6562
I295,1,A,29.11,A,0.52,-0.591,01/09/2022,30,5488.0,0.188,0.8311,0.2373,-0.0279,-0.0537,1.4265
I300,1,A,29.61,A,0.59,0.639,02/09/2022,3,478.0,0.197,0.6059,0.3482,-0.0331,-0.0561,2.1627
I305,1,A,30.11,A,0.44,-0.2,02/09/2022,2,438.0,0.201,0.4105,0.312,-0.0285,-0.0648,2.4064
I310,1,A,30.61,O,0.16,0.067,02/09/2022,8,1695.0,0.223,0.2185,0.2257,-0.0227,-0.1419,1.7263
I315,1,A,31.11,O,0.11,0.222,02/09/2022,2,161.0,0.209,0.1448,0.1848,-0.0163,-0.1482,1.3416
I320,0,A,31.61,O,0.07,0.4,02/09/2022,1,14.0,0.201,0.1785,0.1898,-0.0167,-0.2386,1.782
I325,0,A,32.11,O,0.06,-0.333,30/08/2022,1,6.0,0.239,0.1348,0.1148,-0.0135,-0.225,1.7139
I330,0,A,32.61,O,0.1,0.25,26/08/2022,1,10.0,0.249,0.1478,0.1033,-0.0135,-0.135,2.0705
I335,0,A,33.11,O,,,,,,,,,,,
I340,0,A,33.61,O,,,,,,,,,,,
I345,0,A,34.11,O,,,,,,,,,,,
I350,0,A,34.61,O,,,,,,,,,,,
I355,0,A,35.11,O,,,,,,,,,,,
I360,0,A,35.61,O,,,,,,,,,,,
I365,0,A,36.11,O,,,,,,,,,,,
I370,0,A,36.61,O,,,,,,,,,,,
