TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
K340,0,A,34.0,I,,,,,,,,,,,
K345,0,A,34.5,I,22.56,,19/10/2022,1,90240.0,,,,,,
K355,0,A,35.5,I,,,,,,,,,,,
K365,0,A,36.5,I,,,,,,,,,,,
K375,0,A,37.5,I,,,,,,,,,,,
K380,0,A,38.0,I,,,,,,,,,,,
K385,0,A,38.5,I,,,,,,,,,,,
K390,0,A,39.0,I,,,,,,,,,,,
K395,0,A,39.5,I,,,,,,,,,,,
K400,0,A,40.0,I,8.0,-0.059,26/09/2022,1,1600.0,,,,,,
K405,0,A,40.5,I,,,,,,,,,,,
K410,0,A,41.0,I,,,,,,,,,,,
K415,0,A,41.5,I,,,,,,,,,,,
K420,0,A,42.0,I,,,,,,,,,,,
K425,0,A,42.5,I,,,,,,,,,,,
K430,0,A,43.0,I,13.66,,13/10/2022,1,4098.0,,,,,,
K435,0,A,43.5,I,5.96,,28/09/2022,1,59600.0,,,,,,
K440,0,A,44.0,I,13.58,0.035,19/10/2022,1,6790.0,0.646,0.5706,0.0373,-0.0703,-0.0052,6.4054
K445,0,A,44.5,I,4.0,,26/09/2022,11,7987.0,0.643,0.5515,0.0377,-0.0701,-0.0175,6.4517
K450,0,A,45.0,I,13.74,0.296,27/10/2022,1,10305000.0,0.641,0.5321,0.038,-0.0699,-0.0051,6.482
K455,0,A,45.5,I,10.55,1.069,13/10/2022,1,6330.0,0.67,0.5789,0.0354,-0.0772,-0.0073,6.4454
K460,0,A,46.0,I,10.7,-0.121,13/10/2022,1,1070.0,0.67,0.5612,0.0357,-0.0774,-0.0072,6.4969
K465,0,A,46.5,I,4.21,-0.075,29/09/2022,2,83100.0,0.671,0.5436,0.0359,-0.0775,-0.0184,6.5351
K470,0,A,47.0,I,11.5,0.057,24/10/2022,1,1150.0,0.671,0.5262,0.036,-0.0776,-0.0067,6.5603
K475,0,A,47.5,I,11.81,0.169,24/10/2022,1,11810.0,0.671,0.5088,0.0361,-0.0773,-0.0065,6.5729
