TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H850,0,A,85.0,I,,,,,,,,,,,
H860,0,A,86.0,I,,,,,,,,,,,
H870,0,A,87.0,I,,,,,,,,,,,
H880,0,A,88.0,I,,,,,,,,,,,
H890,0,A,89.0,I,,,,,,,,,,,
H900,0,A,90.0,I,,,,,,,,,,,
H910,0,A,91.0,I,,,,,,,,,,,
H920,0,A,92.0,I,,,,,,,,,,,
H930,0,A,93.0,I,,,,,,,,,,,
H940,0,A,94.0,I,,,,,,,,,,,
H950,0,A,95.0,I,2.32,,13/07/2022,1,1160000.0,,,,,,
H960,0,A,96.0,I,,,,,,,,,,,
H970,0,A,97.0,I,11.11,3.768,12/08/2022,2,222190.0,,,,,,
H980,0,A,98.0,I,,,,,,,,,,,
H990,0,A,99.0,I,2.04,,07/07/2022,1,1020000.0,,,,,,
H100,0,A,100.0,I,,,,,,,,,,,
H101,0,E,101.0,I,4.19,2.581,04/08/2022,2,1287467.0,,,,,,
H102,0,A,102.0,I,0.13,-0.924,26/07/2022,2,3692.0,,,,,,
H103,0,E,103.0,I,,,,,,,,,,,
H104,0,A,104.0,I,,,,,,,,,,,
H105,0,E,105.0,I,,,,,,,,,,,
H106,0,A,106.0,I,,,,,,,,,,,
H107,0,E,107.0,A,,,,,,,,,,,
H108,0,A,108.0,A,,,,,,,,,,,
H109,0,E,109.0,A,,,,,,,,,,,
H110,0,A,110.0,A,2.16,5.968,10/08/2022,1,222696.0,,,,,,
H111,0,E,111.0,A,,,,,,,,,,,
H112,0,A,112.0,O,,,,,,,,,,,
H113,0,E,113.0,O,,,,,,,,,,,
H114,0,A,114.0,O,,,,,,,,,,,
H115,0,E,115.0,O,,,,,,,,,,,
H116,0,A,116.0,O,,,,,,,,,,,
H117,0,E,117.0,O,,,,,,,,,,,
H118,0,A,118.0,O,,,,,,,,,,,
H119,0,E,119.0,O,,,,,,,,,,,
H120,0,A,120.0,O,,,,,,,,,,,
H123,0,E,123.0,O,0.14,-0.931,14/06/2022,2,13098.0,,,,,,
