TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A400,0,A,4.0,I,,,,,,,,,,,
A480,0,A,4.8,I,,,,,,,,,,,
A560,0,A,5.6,I,,,,,,,,,,,
A640,0,A,6.4,I,0.35,,14/12/2022,1,35.0,,,,,,
A720,0,A,7.2,O,0.25,0.562,15/12/2022,1,25.0,0.474,0.3098,0.3502,-0.0076,-0.0303,0.7492
A760,0,A,7.6,O,0.2,0.176,16/12/2022,1,60.0,,,,,,
A820,0,A,8.0,O,,,,,,,,,,,
A840,0,A,8.4,O,,,,,,,,,,,
A880,0,A,8.8,O,,,,,,,,,,,
A960,0,A,9.6,O,,,,,,,,,,,
A105,0,A,10.5,O,,,,,,,,,,,
A112,0,E,11.25,O,,,,,,,,,,,
A120,0,A,12.0,O,,,,,,,,,,,
A127,0,E,12.75,O,,,,,,,,,,,
A135,0,A,13.5,O,,,,,,,,,,,
A145,0,A,14.5,O,,,,,,,,,,,
A152,0,E,15.25,O,,,,,,,,,,,
