TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I375,0,A,37.5,I,8.95,-0.131,26/07/2022,1,8950.0,,,,,,
I385,0,A,38.5,I,10.6,0.309,29/07/2022,1,10600.0,,,,,,
I395,0,A,39.5,I,,,,,,,,,,,
I410,0,A,41.0,I,,,,,,,,,,,
I425,0,A,42.5,I,,,,,,,,,,,
I430,0,A,43.0,I,6.95,0.112,08/08/2022,1,20850.0,0.363,0.6269,0.0586,-0.0417,-0.006,6.7455
I435,0,A,43.5,I,7.09,0.192,11/08/2022,1,21270.0,0.372,0.6717,0.0535,-0.0436,-0.0061,6.5601
I440,0,A,44.0,I,6.5,0.032,19/08/2022,2,19500.0,0.368,0.6237,0.058,-0.0439,-0.0068,6.7511
I445,0,A,44.5,I,7.12,0.343,17/08/2022,3,21374.0,0.366,0.6418,0.0563,-0.0444,-0.0062,6.7638
I450,0,A,45.0,I,5.0,-0.242,22/08/2022,1,500.0,0.359,0.6155,0.061,-0.0454,-0.0091,6.6649
I455,0,A,45.5,I,6.05,0.287,18/08/2022,1,18150.0,0.352,0.6589,0.059,-0.046,-0.0076,6.4799
I460,0,A,46.0,I,4.15,0.012,22/08/2022,2,3715.0,0.351,0.6279,0.0611,-0.0462,-0.0111,6.6797
I465,0,A,46.5,I,3.9,0.238,19/08/2022,1,2340.0,0.347,0.6319,0.0635,-0.048,-0.0123,6.4521
I470,0,A,47.0,I,4.98,0.448,17/08/2022,9,35600.0,0.344,0.6373,0.0672,-0.0511,-0.0103,6.0907
I475,0,A,47.5,I,4.1,0.367,12/08/2022,4,13685.0,0.34,0.6416,0.0681,-0.0519,-0.0127,6.0303
I480,0,A,48.0,A,2.65,-0.194,22/08/2022,1,1060.0,0.339,0.6588,0.0673,-0.053,-0.02,5.9073
I485,0,A,48.5,A,3.06,0.0,19/08/2022,2,9180.0,0.324,0.6875,0.0739,-0.0556,-0.0182,5.2292
I490,0,A,49.0,A,1.85,-0.286,22/08/2022,3,5080.0,0.321,0.6497,0.0781,-0.0562,-0.0304,5.4725
I495,1,A,49.5,A,1.59,-0.293,22/08/2022,11,42633.0,0.322,0.4929,0.0949,-0.0588,-0.037,5.1981
I500,1,A,50.0,O,1.34,-0.306,22/08/2022,15,14180.0,0.319,0.4455,0.0952,-0.0567,-0.0423,5.1503
I505,0,E,50.5,O,1.27,-0.266,22/08/2022,6,14705.0,0.316,0.4004,0.0939,-0.0542,-0.0427,5.0382
I510,1,A,51.0,O,0.94,-0.324,22/08/2022,16,28622.0,0.315,0.3541,0.0905,-0.0514,-0.0547,4.8473
I520,1,A,52.0,O,0.6,-0.406,22/08/2022,44,66769.0,0.311,0.2694,0.0815,-0.044,-0.0733,4.3042
I530,1,A,53.0,O,0.32,-0.475,22/08/2022,40,17965.0,0.308,0.1993,0.0695,-0.0363,-0.1134,3.6432
I535,0,E,53.5,O,0.35,-0.444,22/08/2022,21,5190.0,0.31,0.1687,0.0623,-0.0326,-0.0931,3.2809
I540,0,A,54.0,O,0.29,-0.42,22/08/2022,15,10886.0,0.311,0.1426,0.0556,-0.029,-0.1,2.9365
I550,0,A,55.0,O,0.21,-0.364,22/08/2022,18,6225.0,0.314,0.1012,0.0432,-0.0227,-0.1081,2.3072
I560,0,A,56.0,O,0.12,-0.429,22/08/2022,6,2041.0,0.32,0.0723,0.033,-0.0178,-0.1483,1.7937
I570,0,A,57.0,O,0.09,-0.438,22/08/2022,14,695.0,0.328,0.0519,0.0249,-0.0139,-0.1544,1.3836
I600,0,A,60.0,O,0.05,-0.167,22/08/2022,1,10.0,0.317,0.0467,0.0215,-0.0124,-0.248,1.4004
I610,0,A,61.0,O,0.05,-0.375,15/08/2022,1,250.0,0.337,0.0417,0.0172,-0.0108,-0.216,1.3767
I630,0,A,63.0,O,,,,,,,,,,,
I650,0,A,65.0,O,,,,,,,,,,,
I670,0,A,67.0,O,,,,,,,,,,,
