TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B610,0,E,5.94,I,,,,,,,,,,,
B760,0,A,7.44,I,,,,,,,,,,,
B800,0,A,7.84,I,,,,,,,,,,,
B840,0,A,8.24,I,,,,,,,,,,,
B880,0,A,8.64,I,,,,,,,,,,,
B920,0,A,9.04,I,,,,,,,,,,,
B960,0,A,9.44,I,,,,,,,,,,,
B100,0,A,9.84,I,,,,,,,,,,,
B105,0,A,10.34,I,,,,,,,,,,,
B110,0,A,10.84,I,1.18,,12/01/2023,1,826.0,,,,,,
B115,1,A,11.34,A,0.32,-0.273,25/01/2023,4,15992.0,0.247,0.6331,0.5269,-0.0121,-0.038,1.0873
B120,1,A,11.84,O,0.16,-0.2,25/01/2023,6,557.0,0.233,0.3527,0.5525,-0.0099,-0.062,1.0726
B125,1,A,12.34,O,0.06,-0.4,25/01/2023,2,330.0,,,,,,
B130,1,A,12.84,O,0.03,0.5,25/01/2023,1,15.0,0.263,0.0622,0.161,-0.0033,-0.1096,0.3539
B135,1,A,13.34,O,0.01,0.0,25/01/2023,1,5.0,0.327,0.0403,0.0922,-0.0028,-0.2796,0.2495
B140,0,A,13.84,O,0.08,-0.529,02/01/2023,1,40.0,0.276,0.0941,0.1417,-0.0036,-0.0449,0.7203
B145,0,A,14.34,O,0.01,,24/01/2023,1,4.0,,,,,,
B150,0,A,14.84,O,,,,,,,,,,,
B155,0,A,15.34,O,,,,,,,,,,,
B160,0,A,15.84,O,,,,,,,,,,,
B165,0,A,16.34,O,,,,,,,,,,,
B170,0,A,16.84,O,,,,,,,,,,,
B180,0,A,17.84,O,,,,,,,,,,,
B190,0,A,18.84,O,,,,,,,,,,,
B200,0,A,19.84,O,,,,,,,,,,,
B210,0,A,20.84,O,,,,,,,,,,,
B220,0,A,21.84,O,,,,,,,,,,,
B230,0,A,22.84,O,,,,,,,,,,,
B240,0,A,23.84,O,,,,,,,,,,,
B250,0,A,24.84,O,0.02,,27/12/2022,2,4.0,,,,,,
