TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A186,0,A,18.49,I,,,,,,,,,,,
A196,0,A,19.49,I,,,,,,,,,,,
A206,0,A,20.49,I,,,,,,,,,,,
A216,0,A,21.49,I,,,,,,,,,,,
A226,0,A,22.49,I,,,,,,,,,,,
A234,0,E,23.24,I,,,,,,,,,,,
A220,0,A,23.49,I,,,,,,,,,,,
A246,0,A,24.49,I,,,,,,,,,,,
A251,0,A,24.99,I,2.45,,19/12/2022,12,102498.0,0.492,0.6438,0.1353,-0.051,-0.0208,2.0888
A256,1,A,25.49,A,1.6,0.481,04/01/2023,5,4457.0,0.476,0.5754,0.1468,-0.051,-0.0318,2.1964
A261,1,A,25.99,A,1.06,0.277,04/01/2023,1,530.0,0.475,0.4997,0.15,-0.0507,-0.0478,2.2356
A250,0,E,26.24,A,1.0,-0.31,03/01/2023,5,15000.0,,,,,,
A266,1,A,26.49,O,1.01,0.683,04/01/2023,1,1313.0,0.471,0.5268,0.1471,-0.0519,-0.0514,2.2896
A271,1,A,26.99,O,0.87,0.891,04/01/2023,6,4293.0,0.463,0.4544,0.1486,-0.0501,-0.0576,2.2807
A276,0,A,27.49,O,0.37,-0.26,03/01/2023,10,2343.0,0.484,0.2352,0.1115,-0.0356,-0.0963,1.75
A281,0,A,27.99,O,0.38,-0.026,04/01/2023,1,1140.0,0.464,0.2673,0.1167,-0.0366,-0.0964,2.0005
A286,0,A,28.49,O,0.32,-0.475,02/01/2023,18,6420.0,0.46,0.2147,0.1044,-0.032,-0.1001,1.7756
A291,0,A,28.99,O,0.62,0.378,28/12/2022,2,1491.0,0.392,0.4412,0.1299,-0.0378,-0.061,3.061
A296,0,A,29.49,O,0.4,-0.2,29/12/2022,9,2690.0,0.405,0.399,0.1196,-0.0369,-0.0921,3.0804
A301,0,A,29.99,O,0.89,0.978,23/12/2022,2,26359.0,0.43,0.3522,0.089,-0.0298,-0.0335,3.6068
A306,0,A,30.49,O,0.1,-0.286,03/01/2023,1,10.0,0.446,0.3511,0.0845,-0.0311,-0.311,3.6495
A310,0,E,30.74,O,0.23,0.533,21/12/2022,1,184.0,0.418,0.158,0.066,-0.0179,-0.0777,2.1088
A311,0,A,30.99,O,0.1,-0.333,29/12/2022,1,10.0,0.445,0.3169,0.0791,-0.0287,-0.2868,3.6072
A316,0,A,31.49,O,0.1,-0.909,29/12/2022,1,10.0,0.463,0.4358,0.0766,-0.0352,-0.3516,4.3687
A321,0,A,31.99,O,0.53,-0.599,07/12/2022,1,424.0,0.458,0.4002,0.0759,-0.0339,-0.0639,4.2898
A326,0,A,32.49,O,0.09,-0.786,22/12/2022,1,9.0,0.436,0.4342,0.0696,-0.0305,-0.3388,5.1041
A331,0,A,32.99,O,,,,,,0.43,0.4061,0.0694,-0.0295,,5.0456
A335,0,E,33.24,O,1.27,0.024,22/11/2022,1,127.0,,,,,,
A336,0,A,33.49,O,,,,,,0.425,0.3727,0.0685,-0.0282,,4.9236
A341,0,A,33.99,O,,,,,,,,,,,
A351,0,A,34.99,O,,,,,,,,,,,
A361,0,A,35.99,O,,,,,,,,,,,
A371,0,A,36.99,O,,,,,,,,,,,
A381,0,A,37.99,O,,,,,,,,,,,
A391,0,A,38.99,O,,,,,,,,,,,
A401,0,A,39.99,O,,,,,,,,,,,
A411,0,A,40.99,O,,,,,,,,,,,
A421,0,A,41.99,O,,,,,,,,,,,
A431,0,A,42.99,O,,,,,,,,,,,
