TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A710,0,A,7.1,I,,,,,,,,,,,
A810,0,A,8.1,I,3.94,,15/12/2022,2,108350.0,,,,,,
A830,0,A,8.3,I,,,,,,,,,,,
A850,0,A,8.5,I,,,,,,,,,,,
A870,0,A,8.7,I,,,,,,,,,,,
A890,0,A,8.9,I,,,,,,,,,,,
A910,0,A,9.1,I,,,,,,,,,,,
A930,0,A,9.3,I,,,,,,,,,,,
A950,0,A,9.5,I,,,,,,,,,,,
A970,0,A,9.7,I,,,,,,,,,,,
A990,0,A,9.9,I,,,,,,,,,,,
A102,0,A,10.25,I,,,,,,,,,,,
A107,0,A,10.75,I,,,,,,,,,,,
A112,0,A,11.25,I,0.88,-0.178,16/12/2022,2,191.0,,,,,,
A117,0,A,11.75,I,0.83,0.092,06/01/2023,3,3936.0,0.458,0.7338,0.292,-0.0229,-0.0276,0.8056
A122,1,A,12.25,I,1.22,0.419,12/01/2023,2,2450.0,0.416,0.8727,0.2475,-0.0203,-0.0167,0.4217
A127,1,A,12.75,I,0.57,0.036,12/01/2023,5,5252.0,0.424,0.6945,0.4089,-0.0297,-0.0521,0.7091
A132,1,A,13.25,A,0.31,0.148,12/01/2023,7,8508.0,0.409,0.4661,0.4807,-0.0306,-0.0986,0.8041
A137,1,A,13.75,O,0.12,0.5,12/01/2023,16,7728.0,0.404,0.2756,0.4068,-0.0248,-0.2064,0.6794
A142,1,A,14.25,O,0.09,3.5,12/01/2023,3,227.0,0.386,0.2206,0.2165,-0.0122,-0.1351,1.0525
A145,0,E,14.5,O,0.02,1.0,09/01/2023,1,26.0,0.385,0.1774,0.19,-0.0105,-0.5274,0.9238
A147,0,A,14.75,O,0.03,2.0,12/01/2023,2,135.0,0.534,0.0389,0.0632,-0.0054,-0.1786,0.2108
A152,0,A,15.25,O,0.02,-0.714,12/01/2023,2,44.0,0.511,0.0283,0.045,-0.0035,-0.1752,0.1823
A157,0,A,15.75,O,0.02,-0.333,11/01/2023,1,20.0,0.399,0.2004,0.1432,-0.0097,-0.4842,1.3754
A162,0,A,16.25,O,0.01,-0.5,23/12/2022,1,1.0,0.481,0.0272,0.0418,-0.0033,-0.3313,0.1952
A167,0,A,16.75,O,0.02,0.0,16/12/2022,1,14.0,,,,,,
A172,0,A,17.25,O,0.02,0.0,26/12/2022,3,10.0,0.45,0.0229,0.0294,-0.002,-0.1003,0.2229
A177,0,A,17.75,O,,,,,,,,,,,
A182,0,A,18.25,O,,,,,,,,,,,
A187,0,A,18.75,O,,,,,,,,,,,
A192,0,A,19.25,O,0.03,2.0,27/12/2022,4,2278.0,0.651,0.0189,0.0199,-0.0029,-0.0976,0.1635
A197,0,A,19.75,O,0.04,3.0,11/01/2023,4,3596.0,,,,,,
A207,0,A,20.75,O,,,,,,,,,,,
A217,0,A,21.75,O,0.02,,23/12/2022,2,4.0,0.865,0.0194,0.0155,-0.0039,-0.1951,0.1659
