TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
K420,0,A,4.2,I,3.4,0.021,27/10/2022,1,3400.0,,,,,,
K460,0,A,4.6,I,2.79,,27/10/2022,1,55800.0,,,,,,
K500,0,A,5.0,I,2.35,,27/10/2022,1,94000.0,,,,,,
K540,0,A,5.4,I,,,,,,0.748,0.9828,0.0315,-0.0049,,0.0768
K580,0,A,5.8,I,,,,,,0.716,0.9622,0.0636,-0.0068,,0.1485
K620,0,A,6.2,I,1.44,-0.127,26/10/2022,1,144.0,0.678,0.9266,0.1138,-0.0091,-0.0063,0.2515
K660,0,A,6.6,I,1.14,0.075,27/10/2022,11,4505.0,0.606,0.8787,0.1844,-0.0109,-0.0096,0.364
K680,0,A,6.8,I,0.98,0.0,25/10/2022,1,98.0,0.59,0.8367,0.2315,-0.0123,-0.0126,0.4452
K700,0,A,7.0,I,0.9,0.25,27/10/2022,9,16066.0,0.587,0.7947,0.2667,-0.0137,-0.0152,0.5168
K720,0,A,7.2,I,0.7,0.25,27/10/2022,28,578727.0,0.562,0.7422,0.3157,-0.0145,-0.0207,0.5876
K740,0,A,7.4,I,0.61,0.419,27/10/2022,40,43780.0,0.577,0.6667,0.3468,-0.0161,-0.0264,0.6611
K760,1,A,7.6,A,0.5,0.429,27/10/2022,245,152772.0,0.558,0.596,0.3818,-0.0163,-0.0325,0.7048
K780,1,A,7.8,A,0.39,0.444,27/10/2022,106,177368.0,0.558,0.5181,0.3926,-0.0164,-0.0421,0.7252
K800,1,A,8.0,O,0.31,0.55,27/10/2022,214,277209.0,0.558,0.4415,0.3888,-0.016,-0.0516,0.7181
K820,1,A,8.2,O,0.22,0.158,27/10/2022,114,139140.0,0.564,0.367,0.3676,-0.0152,-0.0691,0.6843
K840,0,A,8.4,O,0.18,0.5,27/10/2022,79,97062.0,0.557,0.3053,0.3452,-0.0139,-0.0772,0.6385
K860,0,A,8.6,O,0.15,0.667,27/10/2022,112,83248.0,0.577,0.2483,0.3022,-0.0128,-0.0854,0.5754
K880,0,A,8.8,O,0.1,0.429,27/10/2022,47,26531.0,0.566,0.1955,0.2682,-0.0109,-0.1092,0.5025
K900,0,A,9.0,O,0.08,0.333,27/10/2022,46,25240.0,0.584,0.1612,0.23,-0.0099,-0.124,0.4449
K920,0,A,9.2,O,0.06,0.5,27/10/2022,13,591.0,0.581,0.1219,0.1915,-0.0081,-0.1352,0.3676
K940,0,A,9.4,O,0.04,0.0,27/10/2022,23,1423.0,0.579,0.0873,0.1516,-0.0063,-0.1572,0.2875
K980,0,A,9.8,O,0.03,0.5,27/10/2022,5,2383.0,0.611,0.0652,0.1139,-0.0053,-0.1773,0.2317
K105,0,A,10.5,O,0.02,0.0,27/10/2022,11,325.0,0.691,0.0413,0.0701,-0.0042,-0.2077,0.1616
K107,0,E,10.75,O,0.01,0.0,27/10/2022,3,600.0,0.715,0.0316,0.0548,-0.0034,-0.341,0.1287
K110,0,A,11.0,O,0.01,0.0,26/10/2022,10,535.0,0.809,0.0364,0.0538,-0.0041,-0.4079,0.1462
K112,0,E,11.25,O,0.01,-0.5,24/10/2022,1,3.0,0.699,0.0286,0.045,-0.0026,-0.262,0.1365
K120,0,A,12.0,O,0.01,-0.5,27/10/2022,1,10.0,0.679,0.0261,0.0375,-0.0021,-0.2141,0.1442
K125,0,A,12.5,O,,,,,,0.666,0.0249,0.034,-0.0019,,0.1492
K130,0,A,13.0,O,0.01,0.0,10/10/2022,1,1.0,0.73,0.0235,0.0302,-0.002,-0.2047,0.1392
K150,0,A,15.0,O,0.01,0.0,05/10/2022,1,30.0,,,,,,
K157,0,E,15.75,O,0.01,0.0,13/10/2022,1,1.0,,,,,,
K165,0,A,16.5,O,0.01,0.0,06/10/2022,2,80.0,,,,,,
K190,0,A,19.0,O,0.01,0.0,03/10/2022,1,12.0,,,,,,
